4056-2019-06-16_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.25
+;4;8.75;Forrer Marco (2003);;18;54.0;1;10.0;-3;1.25;10.0
+;4;18.75;Burkhard Patrick;*;12;55.5;5;18.5;1;-0.25;10.0
o;3;28.75;Leuppi Samir;**;4;57.5;6;28.0;3;-0.75;8.5
+;8;37.25;Lehmann Philipp;*;14;55.0;6;37.75;-2;0.5;9.75
o;8;47.0;Kuster Marcel;***;8;56.5;10;46.5;2;-0.5;8.5

12c;Oertle Daniel;*;;;;;;;;;55.5
o;;;Jörger Corsin;;;;;;;;8.5
+;5;8.5;Götti Samuel;;18;54.0;2;9.75;-3;1.25;10.0
o;5;18.5;Jörger Marc;*;6;57.0;3;19.0;-2;0.5;8.5
+;10;27.0;Wehrli Jan (2002);;13;55.25;5;28.25;-5;1.25;9.75
+;10;36.75;Flütsch Marco;;20;53.5;11;36.5;1;-0.25;10.0
-;9;46.75;Gartmann Mauro;*;9;56.25;6;47.5;-3;0.75;8.75

12d;Badat Thomas;;;;;;;;;;55.5
+;;;Sieber Marc;;;;;;;;10.0
o;1;10.0;Wittenwiler Roman;*;6;57.0;3;9.0;2;-1.0;8.5
o;5;18.5;Kuster Thomas;*;8;56.5;5;18.5;0;0.0;8.5
+;10;27.0;Brülisauer Thomas (2003);;24;52.5;10;27.0;0;0.0;10.0
o;9;37.0;Burkhalter Stefan;***;9;56.25;12;36.25;3;-0.75;8.5
+;14;45.5;Schnyder Christian;;17;54.25;13;45.75;-1;0.25;10.0

12e;Aebli Nino;;;;;;;;;;55.5
-;;;Fäh Tobias;;;;;;;;8.75
+;4;8.75;Christen Jérôme (2002);;17;54.25;5;8.5;1;-0.25;10.0
o;4;18.75;Kolb Pirmin (2001);*;14;55.0;8;17.75;4;-1.0;8.5
+;9;27.25;Salnajs Leo;;18;54.0;10;27.0;1;-0.25;9.75
o;9;37.0;Inauen Andreas;*;12;55.5;10;36.75;1;-0.25;8.5
+;14;45.5;Burch Dean (2001);;19;53.75;15;45.25;1;-0.25;10.0

12f;Lötscher Abraham;;;;;;;;;;55.5
+;;;Naef Sandro;;;;;;;;10.0
o;1;10.0;Funk Nicola;*;8;56.5;4;8.75;3;-1.25;8.5
o;5;18.5;Steiner Michael;**;6;57.0;5;18.5;0;0.0;8.5
+;10;27.0;Tremp Remo;;25;35.25;11;26.75;1;-0.25;10.0
+;9;37.0;Blaser Andre;;14;55.0;10;36.75;1;-0.25;10.0
o;8;47.0;Dändliker Shane;**;7;56.75;9;46.75;1;-0.25;8.5

12g;Oettli Marco;*;;;;;;;;;55.5
-;;;Schlegel Werner (2002);*;;;;;;;8.75
+;4;8.75;Baumgartner Ramon (2002);;19;53.75;2;9.75;-2;1.0;9.75
+;5;18.5;Galli Cedric (2001);;14;55.0;5;18.5;0;0.0;9.75
o;5;28.25;Riget Tobias;**;3;57.75;5;28.25;0;0.0;8.5
+;10;36.75;Burkhard Tobias;;17;54.25;9;37.0;-1;0.25;10.0
o;9;46.75;Kindlimann Fabian;***;9;56.25;10;46.5;1;-0.25;8.75

12h;Burkhard Patrick;*;;;;;;;;;55.5
o;;;Landolt Reto;*;;;;;;;8.5
+;5;8.5;Flütsch Marco;;20;53.5;2;9.75;-3;1.25;10.0
o;5;18.5;Dumelin David;**;12;55.5;4;18.75;-1;0.25;8.5
+;10;27.0;Forrer Marco (2003);;18;54.0;5;28.25;-5;1.25;10.0
o;9;37.0;Gartmann Mauro;*;9;56.25;7;37.5;-2;0.5;8.5
+;14;45.5;Götti Samuel;;18;54.0;14;45.5;0;0.0;10.0

12i;Schmidlin Tobias (2001);*;;;;;;;;;55.5
o;;;Gartmann Mauro;*;;;;;;;8.5
+;5;8.5;Sprecher Franco;;30;18.25;2;9.75;-3;1.25;9.75
+;6;18.25;Bärtsch Andreas (2002);;17;54.25;5;18.5;-1;0.25;10.0
-;5;28.25;Pianta Christian;*;11;55.75;6;28.0;1;-0.25;8.75
o;9;37.0;Castelli Fabio;;11;55.75;8;37.25;-1;0.25;8.5
+;14;45.5;Salnajs Leo;;18;54.0;14;45.5;0;0.0;10.0

12j;Inauen Andreas;*;;;;;;;;;55.5
+;;;Blaser Christian;*;;;;;;;9.75
o;2;9.75;Schnurrenberger Roman;**;5;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Dudli Gallus;;25;35.25;6;18.25;0;0.0;10.0
o;5;28.25;Bühler Hannes;*;8;56.5;5;28.25;0;0.0;8.5
+;10;36.75;Aebli Nino;;12;55.5;9;37.0;-1;0.25;9.75
-;10;46.5;Pianta Christian;*;11;55.75;9;46.75;-1;0.25;9.0

