3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
-;12;45.75;Doppmann Ueli (1998);;16;54.75;12;45.75;0;0.0;9.0

16d;Thierstein Marco;;;;;;;;;;54.75
+;;;Burri Ueli;;;;;;;;10.0
-;2;10.0;Müller Roger;;12;55.75;3;9.75;1;-0.25;9.0
o;5;19.0;Bernhard Lukas;*;11;56.0;11;17.25;6;-1.75;8.5
-;9;27.5;Reber Sandro;;16;54.75;10;27.25;1;-0.25;8.75
+;13;36.25;Vogel Sven (2000);;20;53.75;12;36.5;-1;0.25;9.75
o;11;46.0;Gisler Stefan;;11;56.0;11;46.0;0;0.0;8.75

16e;Widmer Dominik;;;;;;;;;;54.75
+;;;Kottmann Michael (1999);;;;;;;;9.75
o;3;9.75;Egli Manuel;*;13;55.5;5;8.75;2;-1.0;8.5
+;8;18.25;Affentranger Martin (1999);;29;44.25;7;18.5;-1;0.25;9.75
o;7;28.0;Achermann Christoph;*;13;55.5;11;27.0;4;-1.0;8.5
+;12;36.5;Zürcher Ueli (2000);;20;53.75;12;36.5;0;0.0;9.75
o;10;46.25;Egli David;*;11;56.0;11;46.0;1;-0.25;8.5

16f;Wyrsch Silvio (1998);;;;;;;;;;54.75
+;;;Fallegger Franco (1999);;;;;;;;10.0
-;2;10.0;Reber Sandro;;16;54.75;2;10.0;0;0.0;8.75
o;6;18.75;Brun Jonas;**;7;57.0;7;18.5;1;-0.25;8.5
-;10;27.25;Gerber Peter;;15;55.0;10;27.25;0;0.0;8.75
+;14;36.0;Gubbi Pablo (2000);;23;53.0;15;35.75;1;-0.25;10.0
-;11;46.0;Achermann Simon;;16;54.75;11;46.0;0;0.0;8.75

16g;Bucher Thomas;;;;;;;;;;54.75
-;;;Murpf Dario (1999);;;;;;;;8.75
+;5;8.75;Bühlmann Lukas (1999);;32;35.25;6;8.5;1;-0.25;10.0
o;6;18.75;Schnider Markus;*;14;55.25;11;17.25;5;-1.5;8.75
o;9;27.5;Andermatt Adrian;;17;54.5;10;27.25;1;-0.25;8.75
+;13;36.25;Troxler Jonas (2000);;21;53.5;12;36.5;-1;0.25;9.75
o;11;46.0;Reichmuth Marco;*;12;55.75;11;46.0;0;0.0;8.75

16h;Reber Sandro;;;;;;;;;;54.75
+;;;Weber Roman (1999);;;;;;;;10.0
-;2;10.0;Wyrsch Silvio (1998);;16;54.75;2;10.0;0;0.0;8.75
o;6;18.75;Lang Sven (1998);*;13;55.5;7;18.5;1;-0.25;8.5
-;10;27.25;Thierstein Marco;;16;54.75;9;27.5;-1;0.25;8.75
-;14;36.0;Wicki David (1998);;14;55.25;12;36.5;-2;0.5;8.75
+;16;44.75;Achermann Severin (2000);;20;53.75;14;45.25;-2;0.5;10.0

16i;Schmid Simon (2000);;;;;;;;;;54.75
o;;;Müller Roger;;;;;;;;8.75
-;5;8.75;von Flüe Marco;;17;54.5;5;8.75;0;0.0;8.75
+;10;17.5;Di Pietro Loris (1998);;35;34.25;11;17.25;1;-0.25;10.0
o;9;27.5;Heiniger Marco;*;25;45.75;10;27.25;1;-0.25;8.5
+;14;36.0;Durrer Robin;;15;55.0;12;36.5;-2;0.5;10.0
o;11;46.0;Suppiger Thomas;;11;56.0;11;46.0;0;0.0;8.75

16j;Egli Christian (2000);;;;;;;;;;54.75
+;;;Wyss Fabian;;;;;;;;10.0
o;2;10.0;Bussmann Martin;;14;55.25;3;9.75;1;-0.25;8.5
o;7;18.5;Bühler Patrice;;13;55.5;7;18.5;0;0.0;8.5
-;11;27.0;Scherrer Patrick;;26;45.5;11;27.0;0;0.0;8.75
+;15;35.75;Mignola Lorenzo;;23;53.0;15;35.75;0;0.0;10.0
-;12;45.75;Stampﬂi Simon;;17;54.5;13;45.5;1;-0.25;9.0

17a;Scherer Adrian;*;;;;;;;;;54.5
-;;;Kammermann Thomas;*;;;;;;;8.75
o;5;8.75;Arnold Stefan;**;9;56.5;5;8.75;0;0.0;8.5
+;11;17.25;Stampﬂi Simon;;17;54.5;7;18.5;-4;1.25;9.75
-;11;27.0;Bussmann Martin;;14;55.25;7;28.0;-4;1.0;9.0
+;14;36.0;Tanner Manuel;;20;53.75;11;36.75;-3;0.75;10.0
o;11;46.0;Bernhard Lukas;*;11;56.0;11;46.0;0;0.0;8.5

17b;Stampﬂi Simon;;;;;;;;;;54.5
+;;;Gubbi Pablo (2000);;;;;;;;9.75
o;3;9.75;Bieri Elias;;13;55.5;2;10.0;-1;0.25;8.75
o;7;18.5;Scherer Adrian;*;17;54.5;11;17.25;4;-1.25;8.5
+;11;27.0;Zihlmann Silvan (2000);;31;35.5;12;26.75;1;-0.25;10.0
o;10;37.0;Imboden Roger;**;15;55.0;13;36.25;3;-0.75;8.5
-;13;45.5;Egli Christian (2000);;16;54.75;12;45.75;-1;0.25;9.0

17c;Lang Julian (1998);;;;;;;;;;54.5
+;;;Wobmann Linus (1999);;;;;;;;10.0
o;2;10.0;Doppmann Urs;;11;56.0;2;10.0;0;0.0;8.5
-;7;18.5;Gisler Stefan;;11;56.0;7;18.5;0;0.0;9.0
o;9;27.5;Fankhauser Kurt;**;12;55.75;14;26.0;5;-1.5;8.5
+;14;36.0;Krummenacher Roman (1998);;22;53.25;14;36.0;0;0.0;10.0
o;11;46.0;Schärli Pius;*;11;56.0;11;46.0;0;0.0;8.5

17d;Senn Pirmin;;;;;;;;;;54.5
+;;;Schöpfer Luca (2000);;;;;;;;10.0
-;2;10.0;Kammermann Dominik;;12;55.75;3;9.75;1;-0.25;9.0
o;5;19.0;Fankhauser Reto;**;6;57.25;7;18.5;2;-0.5;8.5
o;9;27.5;Bachmann Adrian;;13;55.5;10;27.25;1;-0.25;8.5
+;14;36.0;Stäger Franz (2000);;23;53.0;14;36.0;0;0.0;9.75
o;12;45.75;Fellmann Simon;;12;55.75;12;45.75;0;0.0;8.75

17e;Wicki Kevin;;;;;;;;;;54.5
-;;;Achermann Daniel;;;;;;;;8.75
+;5;8.75;Kottmann Marco (1999);;36;34.0;6;8.5;1;-0.25;10.0
o;6;18.75;Reichmuth Marco;*;12;55.75;10;17.5;4;-1.25;8.5
-;10;27.25;Suter Beat;;18;54.25;11;27.0;1;-0.25;8.75
+;14;36.0;Zürcher Christian (1998);;24;52.75;15;35.75;1;-0.25;10.0
o;11;46.0;Odermatt Andreas;*;1;109.75;1;91.25;-10;45.25;8.5

17f;Elmiger Matthias;;;;;;;;;;54.5
+;;;Zihlmann Silvan (2000);;;;;;;;10.0
-;2;10.0;Gerber Peter;;15;55.0;3;9.75;1;-0.25;9.0
o;5;19.0;Bernet Christoph;*;6;57.25;6;18.75;1;-0.25;8.5
+;9;27.5;Fischer Markus (2000);;19;54.0;10;27.25;1;-0.25;10.0
o;8;37.5;Vogel Remo;*;4;57.75;7;37.75;-1;0.25;8.5
o;11;46.0;Stadelmann Simon;*;12;55.75;12;45.75;1;-0.25;8.5

17g;Schmidiger Marco;;;;;;;;;;54.5
+;;;Wüest David (2000);;;;;;;;10.0
+;2;10.0;Bühlmann Daniel (2000);;31;35.5;2;10.0;0;0.0;10.0
o;2;20.0;Schurtenberger Sven;**;2;58.5;6;18.75;4;-1.25;8.5
o;5;28.5;Müller Michael;**;8;56.75;8;27.75;3;-0.75;8.5
-;10;37.0;Schärli Reto;;16;54.75;10;37.0;0;0.0;8.75
-;12;45.75;von Flüe Marco;;17;54.5;12;45.75;0;0.0;8.75

17h;von Flüe Marco;;;;;;;;;;54.5
-;;;Ottiger Lukas;;;;;;;;8.75
-;5;8.75;Schmid Simon (2000);;16;54.75;5;8.75;0;0.0;8.75
+;10;17.5;Duss Fabian;;24;52.75;10;17.5;0;0.0;9.75
+;10;27.25;Murpf Dario (1999);;18;54.25;10;27.25;0;0.0;10.0
o;9;37.25;Egli Manuel;*;13;55.5;9;37.25;0;0.0;8.5
-;12;45.75;Schmidiger Marco;;17;54.5;12;45.75;0;0.0;8.75

17i;Thalmann Thomas;*;;;;;;;;;54.5
-;;;Schnider Markus;*;;;;;;;8.75
o;5;8.75;Gloggner Philipp;***;5;57.5;5;8.75;0;0.0;8.5
+;11;17.25;Ambühl Patrick;;20;53.75;7;18.5;-4;1.25;10.0
+;10;27.25;Bättig Peter;;14;55.25;6;28.25;-4;1.0;10.0
o;9;37.25;Portmann Josef;*;11;56.0;8;37.5;-1;0.25;8.5
-;12;45.75;Murpf Dario (1999);;18;54.25;13;45.5;1;-0.25;8.75

17j;Bättig Martin;*;;;;;;;;;54.5
-;;;Achermann Christoph;*;;;;;;;8.75
+;5;8.75;Krummenacher Roman (1998);;22;53.25;2;10.0;-3;1.25;10.0
-;6;18.75;Wicki Patrick;;11;56.0;2;20.0;-4;1.25;8.75
+;9;27.5;Marti Christoph (1999);;20;53.75;6;28.25;-3;0.75;10.0
o;8;37.5;Schuler Alex;**;10;56.25;9;37.25;1;-0.25;8.5
o;11;46.0;Fankhauser Kurt;**;12;55.75;11;46.0;0;0.0;8.5

17k;Andermatt Adrian;;;;;;;;;;54.5
-;;;Scherer Niklaus;;;;;;;;8.75
+;5;8.75;Schumacher Daniel (2000);;34;34.5;6;8.5;1;-0.25;10.0
o;6;18.75;Gloggner Reto;**;10;56.25;7;18.5;1;-0.25;8.5
+;10;27.25;Bucher Thomas;;16;54.75;9;27.5;-1;0.25;9.75
o;10;37.0;Muff Armin;**;8;56.75;10;37.0;0;0.0;8.75
o;12;45.75;Stucki Christian;;13;55.5;12;45.75;0;0.0;8.75

17l;Ziegler Manuel;;;;;;;;;;54.5
o;;;Portmann Roger (1998);;;;;;;;8.5
+;6;8.5;Zihlmann Silvan (2000);;31;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Müller Toni;*;14;55.25;11;17.25;4;-1.25;8.5
-;11;27.0;Heller Basil (2000);;18;54.25;12;26.75;1;-0.25;9.0
+;14;36.0;Wigger Florian (1998);;23;53.0;15;35.75;1;-0.25;10.0
o;11;46.0;Kurmann Toni (1998);;11;56.0;11;46.0;0;0.0;8.5

17m;Scheuber Stefan;;;;;;;;;;54.5
+;;;Wigger Fabian (1998);;;;;;;;9.75
+;3;9.75;Jund Matthias (1999);;12;55.75;2;10.0;-1;0.25;9.75
o;4;19.5;Arnold Stefan;**;9;56.5;7;18.5;3;-1.0;8.75
-;6;28.25;Schnider Markus;*;14;55.25;11;27.0;5;-1.25;8.75
-;10;37.0;Achermann Simon;;16;54.75;10;37.0;0;0.0;9.0
o;11;46.0;Wicki Patrick;;11;56.0;11;46.0;0;0.0;8.5

18a;Heller Basil (2000);;;;;;;;;;54.25
o;;;Fellmann Simon;;;;;;;;8.5
o;6;8.5;Fallegger Andreas (1998);;20;53.75;6;8.5;0;0.0;8.5
+;12;17.0;Weber Roman (1999);;23;53.0;12;17.0;0;0.0;9.75
-;12;26.75;Ziegler Manuel;;17;54.5;11;27.0;-1;0.25;9.0
+;15;35.75;Lustenberger David (2000);;23;53.0;15;35.75;0;0.0;10.0
o;12;45.75;Gisler Ruedi;;13;55.5;13;45.5;1;-0.25;8.5

18b;Rust Sandro (1999);;;;;;;;;;54.25
o;;;Marti Lukas;;;;;;;;8.5
o;6;8.5;Bruhin Fredi;;13;55.5;6;8.5;0;0.0;8.5
+;12;17.0;Egli Jonas (2000);;36;34.0;12;17.0;0;0.0;10.0
-;11;27.0;Mignola Lorenzo;;23;53.0;11;27.0;0;0.0;9.0
o;14;36.0;Suter Beat;;18;54.25;15;35.75;1;-0.25;8.5
+;17;44.5;Fallegger Andreas (1998);;20;53.75;14;45.25;-3;0.75;9.75

18c;Vogel Manuel (1998);;;;;;;;;;54.25
+;;;Müller Severin (1999);;;;;;;;10.0
o;2;10.0;Graber Michael;*;9;56.5;5;8.75;3;-1.25;8.5
+;7;18.5;Ziegler Elias (1999);;19;54.0;7;18.5;0;0.0;9.75
o;6;28.25;Schärli Pius;*;11;56.0;9;27.5;3;-0.75;8.5
-;11;36.75;Kurmann Toni (1998);;11;56.0;10;37.0;-1;0.25;9.0
o;12;45.75;Emmenegger Lukas;;12;55.75;11;46.0;-1;0.25;8.5

18d;Murpf Dario (1999);;;;;;;;;;54.25
-;;;Bucher Thomas;;;;;;;;8.75
-;5;8.75;Schaller Noah (2000);;18;54.25;5;8.75;0;0.0;8.75
+;10;17.5;Burri Ueli;;32;35.25;8;18.25;-2;0.75;9.75
o;10;27.25;von Flüe Marco;;17;54.5;10;27.25;0;0.0;8.5
+;15;35.75;Fischer Markus (2000);;19;54.0;15;35.75;0;0.0;9.75
-;13;45.5;Thalmann Thomas;*;17;54.5;12;45.75;-1;0.25;8.75

18e;Elmiger Andreas;;;;;;;;;;54.25
o;;;Marti Christoph (1999);;;;;;;;8.5
o;6;8.5;Baumann Reto;;31;35.5;6;8.5;0;0.0;8.5
+;12;17.0;Schöpfer Luca (2000);;32;35.25;12;17.0;0;0.0;10.0
+;11;27.0;Fallegger Franco (1999);;31;35.5;11;27.0;0;0.0;10.0
o;10;37.0;Reichmuth Marco;*;12;55.75;13;36.25;3;-0.75;8.5
o;13;45.5;Lemmenmeier Lukas;;13;55.5;12;45.75;-1;0.25;8.75

18f;Schaller Noah (2000);;;;;;;;;;54.25
-;;;Lemmenmeier Lukas;;;;;;;;8.75
-;5;8.75;Murpf Dario (1999);;18;54.25;5;8.75;0;0.0;8.75
o;10;17.5;Achermann Severin (2000);;20;53.75;10;17.5;0;0.0;8.5
+;14;26.0;Di Pietro Loris (1998);;35;34.25;15;25.75;1;-0.25;9.75
+;15;35.75;Affentranger Martin (1999);;29;44.25;16;35.5;1;-0.25;10.0
o;12;45.75;Rohrer Ivan;*;11;56.0;11;46.0;-1;0.25;8.5

18g;Scherer Niklaus;;;;;;;;;;54.25
-;;;Andermatt Adrian;;;;;;;;9.0
+;4;9.0;Marti Christoph (1999);;20;53.75;3;9.75;-1;0.75;9.75
o;6;18.75;Zaugg Thomas;***;8;56.75;10;17.5;4;-1.25;8.5
+;10;27.25;Jund Matthias (1999);;12;55.75;10;27.25;0;0.0;9.75
o;10;37.0;Bieri Christian;*;13;55.5;10;37.0;0;0.0;8.5
o;13;45.5;Dissler Philipp;;13;55.5;12;45.75;-1;0.25;8.75

18h;Suter Beat;;;;;;;;;;54.25
o;;;Schöpfer Ronny (1999);;;;;;;;8.5
+;6;8.5;Fallegger Franco (1999);;31;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Egli David;*;11;56.0;11;17.25;4;-1.25;8.5
-;11;27.0;Wicki Kevin;;17;54.5;10;27.25;-1;0.25;8.75
+;15;35.75;Rust Sandro (1999);;18;54.25;14;36.0;-1;0.25;10.0
o;12;45.75;Schöpfer Thomas;*;12;55.75;12;45.75;0;0.0;8.5

18i;Wigger Simon (1999);;;;;;;;;;54.25
-;;;Wicki David (1998);;;;;;;;9.0
+;4;9.0;Weber Roman (1999);;23;53.0;6;8.5;2;-0.5;9.75
+;6;18.75;Krummenacher Roman (1998);;22;53.25;7;18.5;1;-0.25;10.0
o;4;28.75;Scheidegger Philipp;**;6;57.25;6;28.25;2;-0.5;8.5
o;9;37.25;Schenk Thomas;*;14;55.25;11;36.75;2;-0.5;8.5
o;12;45.75;Kammermann Dominik;;12;55.75;12;45.75;0;0.0;8.5

18j;Herger Fabian;*;;;;;;;;;54.25
-;;;Dober Adrian;*;;;;;;;9.0
o;4;9.0;Egli Damian;**;10;56.25;3;9.75;-1;0.75;8.5
+;10;17.5;Achermann Daniel;;12;55.75;6;18.75;-4;1.25;9.75
o;10;27.25;Doppmann Urs;;11;56.0;4;28.75;-6;1.5;8.5
+;15;35.75;Hodel Dominik (2000);;20;53.75;11;36.75;-4;1.0;10.0
o;12;45.75;Fink Bruno;*;14;55.25;14;45.25;2;-0.5;8.5

18k;Ziegler Dominik;;;;;;;;;;54.25
+;;;Kottmann Jonas (2000);;;;;;;;10.0
o;2;10.0;Kammermann Thomas;*;30;36.25;5;8.75;3;-1.25;8.5
o;7;18.5;Bärtschi Basil;;15;55.0;8;18.25;1;-0.25;8.75
o;10;27.25;Fellmann Simon;;12;55.75;9;27.5;-1;0.25;8.5
+;15;35.75;Stadelmann Pascal (1998);;19;54.0;15;35.75;0;0.0;10.0
o;12;45.75;Jund Matthias (1999);;12;55.75;12;45.75;0;0.0;8.5

18l;Barmet Sven;;;;;;;;;;54.25
+;;;Schmid Joel (1999);;;;;;;;9.75
+;3;9.75;Affentranger Martin (1999);;29;44.25;3;9.75;0;0.0;9.75
o;4;19.5;Scheidegger Philipp;**;6;57.25;7;18.5;3;-1.0;8.5
-;7;28.0;Stadelmann Simon;*;12;55.75;11;27.0;4;-1.0;9.0
o;10;37.0;Ambühl Joel (1998);;10;56.25;9;37.25;-1;0.25;8.5
o;13;45.5;Schöpfer Ronny (1999);;13;55.5;12;45.75;-1;0.25;8.75

19a;Wyss Fabian;;;;;;;;;;54.0
o;;;Egli Christian (2000);;;;;;;;8.5
+;6;8.5;Mignola Michele (2000);;36;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Schärli Pius;*;11;56.0;10;17.5;3;-1.0;8.5
+;11;27.0;Benz Simon (2000);;37;26.75;12;26.75;1;-0.25;10.0
o;10;37.0;Achermann Christoph;*;13;55.5;10;37.0;0;0.0;8.5
o;13;45.5;Achermann Daniel;;12;55.75;12;45.75;-1;0.25;8.5

19b;Fischer Markus (2000);;;;;;;;;;54.0
+;;;Fallegger Andreas (1998);;;;;;;;9.75
o;3;9.75;Felder Seppi;;7;57.0;3;9.75;0;0.0;8.5
-;8;18.25;Stadelmann Pascal (1998);;19;54.0;8;18.25;0;0.0;9.0
o;10;27.25;Elmiger Matthias;;17;54.5;9;27.5;-1;0.25;8.5
o;15;35.75;Murpf Dario (1999);;18;54.25;15;35.75;0;0.0;8.5
+;18;44.25;Zürcher Christian (1998);;24;52.75;18;44.25;0;0.0;9.75

19c;Zgraggen Peter;;;;;;;;;;54.0
+;;;Kottmann Marco (1999);;;;;;;;10.0
-;2;10.0;Gisler Stefan;;11;56.0;3;9.75;1;-0.25;8.75
o;6;18.75;Müller Michael;**;8;56.75;9;17.75;3;-1.0;8.5
+;10;27.25;Baumann Reto;;31;35.5;11;27.0;1;-0.25;9.75
o;10;37.0;Schärli Lukas;**;13;55.5;10;37.0;0;0.0;8.5
o;13;45.5;Bühler Patrice;;13;55.5;12;45.75;-1;0.25;8.5

19d;Huser Christian (2000);;;;;;;;;;54.0
o;;;Stadelmann Pascal (1998);;;;;;;;8.75
o;5;8.75;Wicki David (1998);;14;55.25;4;9.0;-1;0.25;8.5
+;11;17.25;Kottmann Marco (1999);;36;34.0;12;17.0;1;-0.25;10.0
o;10;27.25;Achermann Daniel;;12;55.75;10;27.25;0;0.0;8.5
+;15;35.75;Affentranger Martin (1999);;29;44.25;16;35.5;1;-0.25;9.75
o;13;45.5;Hodel Martin;;12;55.75;12;45.75;-1;0.25;8.5

19e;Ziegler Elias (1999);;;;;;;;;;54.0
+;;;Scherrer Patrick;;;;;;;;10.0
o;2;10.0;Wicki Patrick;;11;56.0;2;10.0;0;0.0;8.5
o;7;18.5;Vogel Manuel (1998);;18;54.25;7;18.5;0;0.0;8.75
o;10;27.25;Lustenberger Josef;;14;55.25;10;27.25;0;0.0;8.5
o;15;35.75;Stadelmann Simon;*;12;55.75;15;35.75;0;0.0;8.5
+;18;44.25;Duss Fabian;;24;52.75;18;44.25;0;0.0;9.75

19f;Stadelmann Pascal (1998);;;;;;;;;;54.0
+;;;Huser Christian (2000);;;;;;;;9.75
o;3;9.75;Bürli Roger;;7;57.0;3;9.75;0;0.0;8.5
-;8;18.25;Fischer Markus (2000);;19;54.0;8;18.25;0;0.0;9.0
o;10;27.25;Kammermann Dominik;;12;55.75;10;27.25;0;0.0;8.5
o;15;35.75;Ziegler Dominik;;18;54.25;15;35.75;0;0.0;8.5
+;18;44.25;Weber Roman (1999);;23;53.0;18;44.25;0;0.0;9.75

20a;Kurmann Jvo;;;;;;;;;;53.75
+;;;Kaufmann Fabian;;;;;;;;9.75
o;3;9.75;Fellmann Roman;;8;56.75;3;9.75;0;0.0;8.5
o;8;18.25;Durrer Robin;;15;55.0;8;18.25;0;0.0;8.5
+;12;26.75;Grüter Marcel (1999);;32;35.25;12;26.75;0;0.0;9.75
o;12;36.5;Dissler Philipp;;13;55.5;9;37.25;-3;0.75;8.75
o;14;45.25;Schnider Markus;*;14;55.25;13;45.5;-1;0.25;8.5

20b;Ambühl Patrick;;;;;;;;;;53.75
o;;;Lustenberger David (2000);;;;;;;;8.5
+;6;8.5;Stocker Janosch (1999);;32;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Thalmann Thomas;*;17;54.5;11;17.25;4;-1.25;8.5
+;11;27.0;Schmid Joel (1999);;32;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Jund Matthias (1999);;12;55.75;15;35.75;4;-1.0;8.5
o;14;45.25;Pedrazzini Diego (1998);;15;55.0;14;45.25;0;0.0;8.5

20c;Vogel Sven (2000);;;;;;;;;;53.75
o;;;Gerber Peter;;;;;;;;8.5
+;6;8.5;Arnold David;;31;35.5;6;8.5;0;0.0;9.75
+;8;18.25;Pedrazzini Diego (1998);;15;55.0;7;18.5;-1;0.25;9.75
o;7;28.0;Koch Roger;*;13;55.5;10;27.25;3;-0.75;8.5
o;12;36.5;Thierstein Marco;;16;54.75;13;36.25;1;-0.25;8.5
o;15;45.0;Vogel Marcel;;14;55.25;13;45.5;-2;0.5;8.75

20d;Hodel Dominik (2000);;;;;;;;;;53.75
o;;;Heiniger Luca (1998);;;;;;;;8.5
o;6;8.5;Dissler Philipp;;13;55.5;5;8.75;-1;0.25;8.5
+;12;17.0;Egli Samuel (1999);;36;34.0;12;17.0;0;0.0;9.75
+;12;26.75;Burri Ueli;;32;35.25;12;26.75;0;0.0;10.0
o;11;36.75;Herger Fabian;*;18;54.25;15;35.75;4;-1.0;8.5
o;14;45.25;Hirsiger Alexander;;15;55.0;14;45.25;0;0.0;8.5

20e;Tanner Manuel;;;;;;;;;;53.75
+;;;Bühlmann Lukas (1999);;;;;;;;10.0
o;2;10.0;Zgraggen Fabian;;8;56.75;2;10.0;0;0.0;8.5
o;7;18.5;Hodler Mathias;;14;55.25;7;18.5;0;0.0;8.5
+;11;27.0;Ambühl Remo (2000);;31;35.5;11;27.0;0;0.0;9.75
o;11;36.75;Scherer Adrian;*;17;54.5;14;36.0;3;-0.75;8.5
o;14;45.25;Bättig Peter;;14;55.25;14;45.25;0;0.0;8.5

20f;Zürcher Ueli (2000);;;;;;;;;;53.75
o;;;Bieri Elias;;;;;;;;8.5
+;6;8.5;Scherrer Patrick;;26;45.5;5;8.75;-1;0.25;9.75
o;8;18.25;Nauer Robin;;13;55.5;8;18.25;0;0.0;8.5
+;12;26.75;Sidler Kuno;;22;53.25;11;27.0;-1;0.25;9.75
o;12;36.5;Widmer Dominik;;16;54.75;12;36.5;0;0.0;8.5
-;15;45.0;Odermatt Andreas;;1;109.75;1;91.25;-14;46.25;8.75

20g;Achermann Severin (2000);;;;;;;;;;53.75
-;;;Pedrazzini Diego (1998);;;;;;;;8.75
o;5;8.75;Widmer Simon;;15;55.0;6;8.5;1;-0.25;8.75
+;10;17.5;Schaller Noah (2000);;18;54.25;10;17.5;0;0.0;9.75
-;10;27.25;Wicki David (1998);;14;55.25;9;27.5;-1;0.25;9.0
-;13;36.25;Portmann Roger (1998);;21;53.5;14;36.0;1;-0.25;9.0
o;14;45.25;Reber Sandro;;16;54.75;16;44.75;2;-0.5;8.5

20h;Fallegger Andreas (1998);;;;;;;;;;53.75
o;;;Fischer Markus (2000);;;;;;;;8.5
+;6;8.5;Heller Basil (2000);;18;54.25;6;8.5;0;0.0;10.0
o;7;18.5;Stadelmann Simon;*;12;55.75;12;17.0;5;-1.5;8.5
+;11;27.0;Müller Severin (1999);;32;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Schöpfer Thomas;*;12;55.75;15;35.75;4;-1.0;8.5
o;14;45.25;Rust Sandro (1999);;18;54.25;17;44.5;3;-0.75;8.5

20i;Michel Silvan;;;;;;;;;;53.75
o;;;Fellmann Roman;;;;;;;;8.5
+;6;8.5;Schöpfer Luca (2000);;32;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Achermann Christoph;*;13;55.5;11;17.25;4;-1.25;8.5
+;11;27.0;Fankhauser Ueli;;31;35.5;11;27.0;0;0.0;9.75
o;11;36.75;Müller Toni;*;14;55.25;10;37.0;-1;0.25;8.5
o;14;45.25;Müller Roger;;12;55.75;12;45.75;-2;0.5;8.5

20j;Marti Christoph (1999);;;;;;;;;;53.75
+;;;Elmiger Andreas;;;;;;;;9.75
o;3;9.75;Scherer Niklaus;;18;54.25;4;9.0;1;-0.75;8.5
+;8;18.25;Troxler Jonas (2000);;21;53.5;8;18.25;0;0.0;10.0
o;6;28.25;Bättig Martin;*;17;54.5;9;27.5;3;-0.75;8.5
o;11;36.75;Rohrer Ivan;*;11;56.0;14;36.0;3;-0.75;8.5
o;14;45.25;Bachmann Adrian;;13;55.5;12;45.75;-2;0.5;8.5

21a;Portmann Roger (1998);;;;;;;;;;53.5
+;;;Ziegler Manuel;;;;;;;;10.0
-;2;10.0;Hirsiger Alexander;;15;55.0;2;10.0;0;0.0;9.0
o;5;19.0;Graber Michael;*;9;56.5;7;18.5;2;-0.5;8.5
o;9;27.5;Lemmenmeier Lukas;;13;55.5;10;27.25;1;-0.25;8.5
-;14;36.0;Achermann Severin (2000);;20;53.75;13;36.25;-1;0.25;9.0
o;15;45.0;Hodler Mathias;;14;55.25;14;45.25;-1;0.25;8.5

21b;Troxler Jonas (2000);;;;;;;;;;53.5
+;;;Gisler Ruedi;;;;;;;;9.75
o;3;9.75;Achermann Simon;;16;54.75;3;9.75;0;0.0;8.5
o;8;18.25;Marti Christoph (1999);;20;53.75;8;18.25;0;0.0;8.5
+;12;26.75;Wigger Florian (1998);;23;53.0;11;27.0;-1;0.25;9.75
o;12;36.5;Bucher Thomas;;16;54.75;13;36.25;1;-0.25;8.5
o;15;45.0;Durrer Robin;;15;55.0;14;45.25;-1;0.25;8.5

22a;Sidler Kuno;;;;;;;;;;53.25
o;;;Affentranger Martin (1999);;;;;;;;8.75
+;5;8.75;Di Pietro Loris (1998);;35;34.25;6;8.5;1;-0.25;9.75
o;7;18.5;Schärli Lukas;**;13;55.5;11;17.25;4;-1.25;8.5
o;11;27.0;Zürcher Ueli (2000);;20;53.75;12;26.75;1;-0.25;8.75
o;15;35.75;Scherrer Patrick;;26;45.5;15;35.75;0;0.0;8.75
-;17;44.5;Krummenacher Roman (1998);;22;53.25;17;44.5;0;0.0;8.75

22b;Krummenacher Roman (1998);;;;;;;;;;53.25
+;;;Ambühl Remo (2000);;;;;;;;10.0
o;2;10.0;Bättig Martin;*;17;54.5;5;8.75;3;-1.25;8.5
o;7;18.5;Wigger Simon (1999);;18;54.25;6;18.75;-1;0.25;8.5
-;11;27.0;Lustenberger David (2000);;23;53.0;12;26.75;1;-0.25;9.0
o;14;36.0;Lang Julian (1998);;17;54.5;14;36.0;0;0.0;8.5
-;17;44.5;Sidler Kuno;;22;53.25;17;44.5;0;0.0;8.75

23a;Weber Roman (1999);;;;;;;;;;53.0
o;;;Reber Sandro;;;;;;;;8.5
o;6;8.5;Wigger Simon (1999);;18;54.25;4;9.0;-2;0.5;8.5
o;12;17.0;Heller Basil (2000);;18;54.25;12;17.0;0;0.0;8.75
+;15;25.75;Kottmann Jonas (2000);;36;34.0;16;25.5;1;-0.25;10.0
o;15;35.75;Gisler Stefan;;11;56.0;13;36.25;-2;0.5;8.5
