3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
+;6;47.25;Kempf Elias;**;15;55.0;9;46.5;3;-0.75;10.0

7a;Muff André;*;;;;;;;;;57.0
-;;;Koch Roger;*;;;;;;;9.0
+;4;9.0;Doppmann Ueli (1998);;16;54.75;2;10.0;-2;1.0;9.75
+;6;18.75;Achermann Simon;;16;54.75;3;19.75;-3;1.0;10.0
o;4;28.75;Gloggner Philipp;***;5;57.5;4;28.75;0;0.0;8.5
+;9;37.25;Achermann Daniel;;12;55.75;9;37.25;0;0.0;9.75
+;7;47.0;Heiniger Marco;*;25;45.75;12;45.75;5;-1.25;10.0

7b;Bürli Roger;;;;;;;;;;57.0
+;;;Bruhin Fredi;;;;;;;;9.75
+;3;9.75;Stadelmann Pascal (1998);;19;54.0;3;9.75;0;0.0;10.0
-;3;19.75;Hasler Florian;**;15;55.0;6;18.75;3;-1.0;8.75
-;5;28.5;Rohrer Ivan;*;11;56.0;10;27.25;5;-1.25;8.75
+;9;37.25;Odermatt Andreas;;1;109.75;1;73.0;-8;35.75;10.0
+;6;47.25;Lustenberger Josef;;14;55.25;8;46.75;2;-0.5;9.75

7c;Brun Jonas;**;;;;;;;;;57.0
-;;;Bieri Christian;*;;;;;;;8.75
+;5;8.75;Kempf Elias;**;15;55.0;6;8.5;1;-0.25;9.75
+;7;18.5;Wyrsch Silvio (1998);;16;54.75;6;18.75;-1;0.25;10.0
+;5;28.5;Ramseier Fritz;*;12;55.75;4;28.75;-1;0.25;9.75
o;5;38.25;Gerber Christian;**;9;56.5;7;37.75;2;-0.5;8.75
+;7;47.0;Stöckli Damian;;14;55.25;8;46.75;1;-0.25;10.0

7d;Felder Seppi;;;;;;;;;;57.0
+;;;Arnold Fabian;;;;;;;;9.75
+;3;9.75;Fischer Markus (2000);;19;54.0;3;9.75;0;0.0;10.0
-;3;19.75;Rohrer Ivan;*;11;56.0;7;18.5;4;-1.25;8.75
-;5;28.5;Reichmuth Marco;*;12;55.75;10;27.25;5;-1.25;8.75
+;9;37.25;Bühler Patrice;;13;55.5;9;37.25;0;0.0;9.75
+;7;47.0;Doppmann Urs;;11;56.0;6;47.25;-1;0.25;10.0

7e;Suppiger Martin;***;;;;;;;;;57.0
-;;;Arnold Stefan;**;;;;;;;8.75
+;5;8.75;Reichmuth Marco;*;12;55.75;4;9.0;-1;0.25;9.75
+;7;18.5;Fellmann Simon;;12;55.75;5;19.0;-2;0.5;9.75
+;6;28.25;Doppmann Ueli (1998);;16;54.75;5;28.5;-1;0.25;10.0
-;5;38.25;Fankhauser Reto;**;6;57.25;4;38.5;-1;0.25;9.0
+;6;47.25;Schenk Thomas;*;14;55.25;8;46.75;2;-0.5;9.75

7f;Reusser Philipp;**;;;;;;;;;57.0
+;;;Gloggner Reto;**;;;;;;;9.75
+;3;9.75;Fankhauser Reto;**;6;57.25;3;9.75;0;0.0;9.75
-;4;19.5;Portmann Josef;*;11;56.0;6;18.75;2;-0.75;9.0
-;5;28.5;Egli Manuel;*;13;55.5;5;28.5;0;0.0;8.75
+;9;37.25;Dissler Philipp;;13;55.5;9;37.25;0;0.0;10.0
+;6;47.25;Müller Toni;*;14;55.25;8;46.75;2;-0.5;9.75

8a;Mathis Marcel;***;;;;;;;;;56.75
-;;;Schurtenberger Sven;**;;;;;;;8.75
+;5;8.75;Lang Sven (1998);*;13;55.5;2;10.0;-3;1.25;9.75
-;7;18.5;Doppmann Urs;;11;56.0;2;20.0;-5;1.5;8.75
+;10;27.25;Kurmann Toni (1998);;11;56.0;5;28.5;-5;1.25;10.0
+;9;37.25;Schärli Pius;*;11;56.0;8;37.5;-1;0.25;9.75
+;7;47.0;Schärli Lukas;**;13;55.5;8;46.75;1;-0.25;9.75

8b;Fellmann Roman;;;;;;;;;;56.75
+;;;Michel Silvan;;;;;;;;9.75
+;3;9.75;Kurmann Jvo;;20;53.75;3;9.75;0;0.0;10.0
o;3;19.75;Betschart Remo;**;10;56.25;7;18.5;4;-1.25;8.75
-;5;28.5;Zurﬂuh Markus;**;28;44.75;10;27.25;5;-1.25;8.75
+;9;37.25;Wicki Patrick;;11;56.0;8;37.5;-1;0.25;9.75
+;7;47.0;Heiniger Luca (1998);;14;55.25;8;46.75;1;-0.25;9.75

8c;Müller Michael;**;;;;;;;;;56.75
-;;;Ramseier Fritz;*;;;;;;;9.0
-;4;9.0;Hasler Florian;**;15;55.0;2;10.0;-2;1.0;8.75
+;9;17.75;Zgraggen Peter;;19;54.0;6;18.75;-3;1.0;10.0
+;8;27.75;Schmidiger Marco;;17;54.5;5;28.5;-3;0.75;10.0
+;7;37.75;Zgraggen Fabian;;8;56.75;4;38.5;-3;0.75;10.0
-;4;47.75;Schuler Alex;**;10;56.25;6;47.25;2;-0.5;9.0

8d;Zaugg Thomas;***;;;;;;;;;56.75
-;;;Gloggner Philipp;***;;;;;;;8.75
-;5;8.75;Bernet Christoph;*;6;57.25;2;10.0;-3;1.25;8.75
+;10;17.5;Scherer Niklaus;;18;54.25;6;18.75;-4;1.25;9.75
+;10;27.25;Hodler Mathias;;14;55.25;6;28.25;-4;1.0;10.0
+;9;37.25;Lemmenmeier Lukas;;13;55.5;9;37.25;0;0.0;9.75
+;7;47.0;Egli Manuel;*;13;55.5;7;47.0;0;0.0;9.75

8e;Zgraggen Fabian;;;;;;;;;;56.75
+;;;Arnold David;;;;;;;;10.0
+;2;10.0;Tanner Manuel;;20;53.75;2;10.0;0;0.0;9.75
+;3;19.75;Stadelmann Pius;*;13;55.5;6;18.75;3;-1.0;10.0
o;2;29.75;Egli Pirmin;**;12;55.75;5;28.5;3;-1.25;8.75
o;4;38.5;Müller Michael;**;8;56.75;7;37.75;3;-0.75;8.5
+;7;47.0;Bieri Elias;;13;55.5;7;47.0;0;0.0;9.75

8f;Muff Armin;**;;;;;;;;;56.75
o;;;Hasler Florian;**;;;;;;;8.5
+;6;8.5;Schenk Thomas;*;14;55.25;6;8.5;0;0.0;10.0
+;7;18.5;Wicki David (1998);;14;55.25;5;19.0;-2;0.5;10.0
o;5;28.5;Gerber Christian;**;9;56.5;7;28.0;2;-0.5;8.5
+;10;37.0;Andermatt Adrian;;17;54.5;10;37.0;0;0.0;10.0
+;7;47.0;Felder Martin;;15;55.0;10;46.25;3;-0.75;9.75

9a;Dober Adrian;*;;;;;;;;;56.5
-;;;Herger Fabian;*;;;;;;;9.0
o;4;9.0;Bieri Christian;*;13;55.5;5;8.75;1;-0.25;8.75
+;9;17.75;Bachmann Adrian;;13;55.5;6;18.75;-3;1.0;10.0
+;8;27.75;Odermatt Andreas;;1;109.75;1;55.75;-7;28.0;10.0
+;7;37.75;Heiniger Luca (1998);;14;55.25;6;38.0;-1;0.25;10.0
o;4;47.75;Schuler Christian;***;3;58.0;3;48.0;-1;0.25;8.75

9b;Arnold Stefan;**;;;;;;;;;56.5
-;;;Suppiger Martin;***;;;;;;;8.75
+;5;8.75;Scherer Adrian;*;17;54.5;5;8.75;0;0.0;9.75
+;7;18.5;Scheuber Stefan;;17;54.5;4;19.5;-3;1.0;10.0
+;5;28.5;Gloggner Reto;**;10;56.25;5;28.5;0;0.0;9.75
+;5;38.25;Egli Pirmin;**;12;55.75;5;38.25;0;0.0;9.75
o;3;48.0;Wicki Joel;**;3;58.0;3;48.0;0;0.0;8.5

9c;Gerber Christian;**;;;;;;;;;56.5
o;;;Suppiger René;**;;;;;;;8.5
+;6;8.5;Schnider Markus;*;14;55.25;5;8.75;-1;0.25;9.75
+;8;18.25;Stucki Christian;;13;55.5;6;18.75;-2;0.5;9.75
+;7;28.0;Muff Armin;**;8;56.75;5;28.5;-2;0.5;9.75
+;7;37.75;Brun Jonas;**;7;57.0;5;38.25;-2;0.5;10.0
-;4;47.75;Suppiger Werner;**;9;56.5;4;47.75;0;0.0;8.75

9d;Suppiger Werner;**;;;;;;;;;56.5
-;;;Zurﬂuh Markus;**;;;;;;;8.75
-;5;8.75;Betschart Remo;**;10;56.25;3;9.75;-2;1.0;9.0
+;9;17.75;Müller Roger;;12;55.75;6;18.75;-3;1.0;10.0
+;8;27.75;Bruhin Fredi;;13;55.5;6;28.25;-2;0.5;10.0
+;7;37.75;Felder Martin;;15;55.0;7;37.75;0;0.0;10.0
-;4;47.75;Gerber Christian;**;9;56.5;4;47.75;0;0.0;8.75

9e;Graber Michael;*;;;;;;;;;56.5
-;;;Schöpfer Thomas;*;;;;;;;8.75
+;5;8.75;Vogel Manuel (1998);;18;54.25;2;10.0;-3;1.25;9.75
+;7;18.5;Portmann Roger (1998);;21;53.5;5;19.0;-2;0.5;10.0
o;5;28.5;Stöckli Stefan;**;6;57.25;4;28.75;-1;0.25;8.5
+;10;37.0;Emmenegger Lukas;;12;55.75;8;37.5;-2;0.5;9.75
+;8;46.75;Fässler Dominic;*;27;45.0;15;45.0;7;-1.75;9.75

10a;Schuler Alex;**;;;;;;;;;56.25
-;;;Scheidegger Philipp;**;;;;;;;8.75
+;5;8.75;Müller Toni;*;14;55.25;5;8.75;0;0.0;9.75
+;7;18.5;Stöckli Damian;;14;55.25;3;19.75;-4;1.25;10.0
-;5;28.5;Bernet Christoph;*;6;57.25;4;28.75;-1;0.25;8.75
+;9;37.25;Bättig Martin;*;17;54.5;8;37.5;-1;0.25;10.0
-;6;47.25;Müller Michael;**;8;56.75;4;47.75;-2;0.5;9.0

10b;Gloggner Reto;**;;;;;;;;;56.25
o;;;Reusser Philipp;**;;;;;;;8.5
