2757-2017-06-18_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
-;1;10.0;Sommer Roman;*;16;54.25;2;9.75;1;-0.25;8.75
o;5;18.75;Gehrig Philipp;**;8;56.25;3;19.5;-2;0.75;8.75
+;9;27.5;Wittwer Jan;*;11;55.5;6;28.5;-3;1.0;9.75
+;7;37.25;Wampfler Beat;***;10;55.75;7;37.25;0;0.0;9.75
+;7;47.0;Gehrig Damian;***;24;45.75;12;45.75;5;-1.25;9.75

7a;Moser Steven;**;;;;;;;;;56.5
+;;;Roth Philipp;***;;;;;;;10.0
+;1;10.0;Wittwer Jan;*;11;55.5;1;10.0;0;0.0;9.75
+;2;19.75;von Büren Stephan;*;28;36.75;2;19.75;0;0.0;9.75
o;2;29.5;Wenger Kilian;***;2;58.25;1;29.75;-1;0.25;8.5
+;4;38.0;Gobeli Patrick;*;10;55.75;7;37.25;3;-0.75;10.0
o;4;48.0;Schurtenberger Sven;***;3;58.0;4;48.0;0;0.0;8.5

7b;Reusser Philipp;***;;;;;;;;;56.5
o;;;Bieri Marcel;**;;;;;;;8.5
+;5;8.5;Emonet Fabien;**;34;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Riedo Fredy;*;26;44.25;6;18.5;0;0.0;10.0
+;6;28.5;Herger Matthias;**;12;55.25;7;28.25;1;-0.25;9.75
o;3;38.25;Schurtenberger Sven;***;3;58.0;3;38.25;0;0.0;8.5
+;8;46.75;Nötzli Reto;***;5;57.0;6;47.25;-2;0.5;9.75

8a;Gehrig Philipp;**;;;;;;;;;56.25
+;;;Brodard Augustin;**;;;;;;;9.75
+;2;9.75;Barras François;*;34;34.0;5;8.5;3;-1.25;9.75
+;3;19.5;von Ah Benji;***;6;56.75;5;18.75;2;-0.75;9.75
-;3;29.25;Nötzli Reto;***;5;57.0;6;28.5;3;-0.75;8.75
o;4;38.0;Arnold Stefan;**;4;57.25;6;37.5;2;-0.5;8.5
+;9;46.5;Odermatt Christian;**;11;55.5;8;46.75;-1;0.25;9.75

9a;Schuler Alex;***;;;;;;;;;56.0
+;;;Gehrig Damian;***;;;;;;;9.75
-;2;9.75;Steffen Gustav;*;11;55.5;1;10.0;-1;0.25;8.75
+;6;18.5;Michel Jonas;*;25;45.5;6;18.5;0;0.0;10.0
-;6;28.5;Käser Remo;***;4;57.25;5;28.75;-1;0.25;8.75
-;7;37.25;von Weissenfluh Kilian;*;5;57.0;4;38.0;-3;0.75;9.0
+;10;46.25;Gerber Christian;**;11;55.5;8;46.75;-2;0.5;9.75

10a;Kramer Lario;**;;;;;;;;;55.75
-;;;Gwerder Carlo;**;;;;;;;8.75
+;4;8.75;Reust Markus;*;21;53.0;1;10.0;-3;1.25;10.0
+;5;18.75;Rolli Martin;**;11;55.5;5;18.75;0;0.0;9.75
o;6;28.5;Kämpf Bernhard;***;5;57.0;7;28.25;1;-0.25;8.5
+;8;37.0;Aellen Florian;*;13;55.0;9;36.75;1;-0.25;10.0
o;7;47.0;Käser Remo;***;4;57.25;5;47.5;-2;0.5;8.75

10b;Gobeli Patrick;*;;;;;;;;;55.75
+;;;Emonet Fabien;**;;;;;;;10.0
-;1;10.0;Scheuber Lutz;**;11;55.5;1;10.0;0;0.0;8.75
o;5;18.75;Arnold Stefan;**;4;57.25;5;18.75;0;0.0;8.5
+;10;27.25;Emonet Frédéric;*;29;35.25;12;26.75;2;-0.5;10.0
o;7;37.25;Moser Steven;**;7;56.5;4;38.0;-3;0.75;8.5
+;12;45.75;Brun Jonas;**;20;53.25;16;44.75;4;-1.0;10.0

10c;Wampfler Beat;***;;;;;;;;;55.75
-;;;Brun Jonas;**;;;;;;;8.75
+;4;8.75;Cropt Harald;**;20;53.25;4;8.75;0;0.0;10.0
+;5;18.75;Haenni Stéphane;**;11;55.5;5;18.75;0;0.0;10.0
o;5;28.75;Sempach Matthias;***;1;58.5;6;28.5;1;-0.25;8.5
o;7;37.25;von Ah Benji;***;6;56.75;7;37.25;0;0.0;8.5
+;12;45.75;Duplan Steve;**;15;54.5;11;46.0;-1;0.25;10.0

10d;Renfer Lukas;*;;;;;;;;;55.75
+;;;Buchs Carlo;*;;;;;;;9.75
-;2;9.75;Gottofrey Luc;*;31;34.75;4;8.75;2;-1.0;9.0
o;5;18.75;Herger Matthias;**;12;55.25;6;18.5;1;-0.25;8.5
+;10;27.25;Cropt Harald;**;20;53.25;14;26.0;4;-1.25;10.0
-;7;37.25;Glarner Matthias;***;6;56.75;4;38.0;-3;0.75;8.75
+;11;46.0;Suppiger Werner;**;15;54.5;11;46.0;0;0.0;9.75

11a;Odermatt Christian;**;;;;;;;;;55.5
o;;;Borcard Johann;**;;;;;;;8.5
+;5;8.5;Ducry Antoine;*;29;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Kämpf Bernhard;***;5;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Mosimann Vincent;*;29;35.25;12;26.75;1;-0.25;9.75
+;9;36.75;Rolli Martin;**;11;55.5;8;37.0;-1;0.25;10.0
o;8;46.75;Gehrig Philipp;**;8;56.25;9;46.5;1;-0.25;8.75

11b;Wittwer Jan;*;;;;;;;;;55.5
+;;;Ducry Antoine;*;;;;;;;10.0
o;1;10.0;Moser Steven;**;7;56.5;1;10.0;0;0.0;8.5
+;6;18.5;Gottofrey Luc;*;31;34.75;8;17.75;2;-0.75;10.0
o;6;28.5;von Ah Benji;***;6;56.75;9;27.5;3;-1.0;8.5
+;8;37.0;Dousse Michel;**;16;54.25;8;37.0;0;0.0;10.0
o;7;47.0;Müllestein Mike;***;4;57.25;6;47.25;-1;0.25;8.5

11c;Gwerder Carlo;**;;;;;;;;;55.5
-;;;Kramer Lario;**;;;;;;;8.75
o;4;8.75;Kämpf Alexander;**;18;53.75;4;8.75;0;0.0;8.5
+;10;17.25;Ducry Antoine;*;29;35.25;11;17.0;1;-0.25;10.0
-;10;27.25;Luginbühl Hanspeter;**;14;54.75;10;27.25;0;0.0;8.75
+;12;36.0;Brodard Augustin;**;20;53.25;12;36.0;0;0.0;9.75
+;12;45.75;Schenk Thomas;*;27;44.0;19;44.0;7;-1.75;9.75

11d;Rolli Martin;**;;;;;;;;;55.5
+;;;Roch Vincent;**;;;;;;;10.0
-;1;10.0;Suppiger Werner;**;15;54.5;2;9.75;1;-0.25;8.75
o;5;18.75;Kramer Lario;**;10;55.75;5;18.75;0;0.0;8.5
+;10;27.25;Elsener Adrian;**;17;54.0;10;27.25;0;0.0;9.75
o;8;37.0;Odermatt Christian;**;11;55.5;9;36.75;1;-0.25;8.5
+;13;45.5;Lerch Jimmy;*;18;53.75;14;45.25;1;-0.25;10.0

11e;Scheuber Lutz;**;;;;;;;;;55.5
+;;;Gerber Christian;**;;;;;;;10.0
-;1;10.0;Gobeli Patrick;*;10;55.75;1;10.0;0;0.0;8.75
o;5;18.75;Sempach Matthias;***;1;58.5;6;18.5;1;-0.25;8.5
+;10;27.25;Reust Markus;*;21;53.0;10;27.25;0;0.0;10.0
o;7;37.25;Käser Remo;***;4;57.25;5;37.75;-2;0.5;8.5
+;12;45.75;Schenkel Remo;*;15;54.5;11;46.0;-1;0.25;9.75

11f;Haenni Stéphane;**;;;;;;;;;55.5
-;;;Waser Dominik;**;;;;;;;8.75
+;4;8.75;Aellen Florian;*;13;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Wampfler Beat;***;10;55.75;5;18.75;0;0.0;8.5
-;10;27.25;Kämpf Alexander;**;18;53.75;9;27.5;-1;0.25;8.75
+;12;36.0;Gwerder Guido;**;14;54.75;10;36.5;-2;0.5;9.75
+;12;45.75;Sommer Roman;*;16;54.25;12;45.75;0;0.0;9.75

11g;Steffen Gustav;*;;;;;;;;;55.5
+;;;Haldi Sami;*;;;;;;;10.0
-;1;10.0;Schuler Alex;***;9;56.0;2;9.75;1;-0.25;8.75
+;5;18.75;Zimmermann Simon;**;15;54.5;5;18.75;0;0.0;10.0
+;5;28.75;Brodard Augustin;**;20;53.25;10;27.25;5;-1.5;9.75
o;2;38.5;Bieri Marcel;**;5;57.0;3;38.25;1;-0.25;8.5
o;7;47.0;Arnold Stefan;**;4;57.25;6;47.25;-1;0.25;8.5

11h;Gerber Christian;**;;;;;;;;;55.5
o;;;Scheuber Lutz;**;;;;;;;8.5
+;5;8.5;Waser Dominik;**;13;55.0;4;8.75;-1;0.25;10.0
+;6;18.5;Gassmann Simon;*;19;53.5;7;18.25;1;-0.25;10.0
o;6;28.5;Gloggner Philipp;***;23;46.75;8;28.0;2;-0.5;8.5
+;8;37.0;Roch Vincent;**;18;53.75;9;36.75;1;-0.25;9.75
o;8;46.75;Schuler Alex;***;9;56.0;10;46.25;2;-0.5;8.75

12a;Roth Philipp;***;;;;;;;;;55.25
o;;;Moser Steven;**;;;;;;;8.5
+;5;8.5;Mollet Ivan;*;17;54.0;5;8.5;0;0.0;10.0
+;6;18.5;Roch Vincent;**;18;53.75;7;18.25;1;-0.25;9.75
-;7;28.25;Suppiger Werner;**;15;54.5;7;28.25;0;0.0;8.75
+;8;37.0;Waser Dominik;**;13;55.0;9;36.75;1;-0.25;9.75
o;8;46.75;Nötzli Reto;***;5;57.0;6;47.25;-2;0.5;8.5

12b;Herger Matthias;**;;;;;;;;;55.25
-;;;Kämpf Alexander;**;;;;;;;8.75
+;4;8.75;Berset Cyril;*;33;34.25;5;8.5;1;-0.25;9.75
+;6;18.5;Renfer Lukas;*;10;55.75;5;18.75;-1;0.25;9.75
o;7;28.25;Reusser Philipp;***;7;56.5;6;28.5;-1;0.25;8.5
+;9;36.75;Fankhauser Kurt;**;13;55.0;9;36.75;0;0.0;10.0
o;8;46.75;Glarner Matthias;***;6;56.75;8;46.75;0;0.0;8.5

13a;Borcard Johann;**;;;;;;;;;55.0
+;;;Odermatt Christian;**;;;;;;;9.75
o;2;9.75;Glarner Matthias;***;6;56.75;1;10.0;-1;0.25;8.5
o;7;18.25;Michel Jonas;*;25;45.5;6;18.5;-1;0.25;8.5
+;12;26.75;Binggeli Dominik;*;21;53.0;11;27.0;-1;0.25;9.75
+;10;36.5;Graber Alfred;*;19;53.5;10;36.5;0;0.0;9.75
-;10;46.25;Zenger Niklaus;***;14;54.75;11;46.0;1;-0.25;8.75

13b;Arnold Raphael;*;;;;;;;;;55.0
+;;;Duplan Steve;**;;;;;;;9.75
+;2;9.75;Urfer Simon;*;26;44.25;2;9.75;0;0.0;9.75
o;3;19.5;Käser Remo;***;4;57.25;4;19.0;1;-0.5;8.5
+;8;28.0;Graber Alfred;*;19;53.5;8;28.0;0;0.0;10.0
o;4;38.0;Kämpf Bernhard;***;5;57.0;4;38.0;0;0.0;8.5
o;9;46.5;von Weissenfluh Kilian;*;5;57.0;7;47.0;-2;0.5;8.5

13c;Aellen Florian;*;;;;;;;;;55.0
+;;;Gross Florian;*;;;;;;;9.75
o;2;9.75;Haenni Stéphane;**;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Nötzli Reto;***;5;57.0;6;18.5;-1;0.25;8.5
+;12;26.75;Riedo Fredy;*;26;44.25;11;27.0;-1;0.25;10.0
o;9;36.75;Kramer Lario;**;10;55.75;8;37.0;-1;0.25;8.5
+;14;45.25;Roch Vincent;**;18;53.75;14;45.25;0;0.0;9.75

13d;Waser Dominik;**;;;;;;;;;55.0
-;;;Haenni Stéphane;**;;;;;;;8.75
o;4;8.75;Gerber Christian;**;11;55.5;5;8.5;1;-0.25;8.5
+;10;17.25;Schafer Damien;*;34;34.0;11;17.0;1;-0.25;9.75
+;11;27.0;Urfer Simon;*;26;44.25;11;27.0;0;0.0;9.75
o;9;36.75;Roth Philipp;***;12;55.25;8;37.0;-1;0.25;8.5
+;14;45.25;Graber Alfred;*;19;53.5;15;45.0;1;-0.25;9.75

13e;Fankhauser Kurt;**;;;;;;;;;55.0
+;;;Brodard Simon;**;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;5;57.0;1;10.0;0;0.0;8.5
o;6;18.5;Suppiger Werner;**;15;54.5;6;18.5;0;0.0;8.5
+;11;27.0;Gottofrey Luc;*;31;34.75;13;26.25;2;-0.75;9.75
o;9;36.75;Herger Matthias;**;12;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Mollet Ivan;*;17;54.0;13;45.5;-1;0.25;9.75

14a;Zenger Niklaus;***;;;;;;;;;54.75
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Loup Alexandre;*;29;35.25;5;8.5;1;-0.25;10.0
+;5;18.75;Dousse Michel;**;16;54.25;6;18.5;1;-0.25;9.75
o;6;28.5;Schurtenberger Sven;***;3;58.0;6;28.5;0;0.0;8.5
-;8;37.0;Müller Michael;**;14;54.75;8;37.0;0;0.0;9.0
-;11;46.0;Borcard Johann;**;13;55.0;10;46.25;-1;0.25;8.75

14b;Müller Michael;**;;;;;;;;;54.75
+;;;Zimmermann Mario;*;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;2;58.25;2;9.75;1;-0.25;8.5
+;6;18.5;Schenk Thomas;*;27;44.0;6;18.5;0;0.0;10.0
o;6;28.5;Michel Jonas;*;25;45.5;6;28.5;0;0.0;8.5
-;8;37.0;Zenger Niklaus;***;14;54.75;8;37.0;0;0.0;9.0
-;11;46.0;Luginbühl Hanspeter;**;14;54.75;11;46.0;0;0.0;8.75

14c;Luginbühl Hanspeter;**;;;;;;;;;54.75
o;;;Suppiger Werner;**;;;;;;;8.5
-;5;8.5;Zimmermann Mario;*;30;35.0;5;8.5;0;0.0;8.75
+;10;17.25;Barras François;*;34;34.0;11;17.0;1;-0.25;10.0
-;10;27.25;Gwerder Carlo;**;11;55.5;10;27.25;0;0.0;8.75
+;12;36.0;Brodard Simon;**;20;53.25;12;36.0;0;0.0;10.0
-;11;46.0;Müller Michael;**;14;54.75;11;46.0;0;0.0;8.75

14d;Gwerder Guido;**;;;;;;;;;54.75
+;;;Berset Julien;*;;;;;;;9.75
o;2;9.75;Sempach Matthias;***;1;58.5;5;8.5;3;-1.25;8.5
+;7;18.25;Mosimann Vincent;*;29;35.25;7;18.25;0;0.0;9.75
o;8;28.0;Gehrig Damian;***;24;45.75;6;28.5;-2;0.5;8.5
o;10;36.5;Haenni Stéphane;**;11;55.5;12;36.0;2;-0.5;8.5
+;15;45.0;Gassmann Simon;*;19;53.5;15;45.0;0;0.0;9.75

15a;Zimmermann Simon;**;;;;;;;;;54.5
-;;;Dind Samuel;**;;;;;;;8.75
+;4;8.75;Berset Julien;*;21;53.0;5;8.5;1;-0.25;10.0
o;5;18.75;Steffen Gustav;*;11;55.5;5;18.75;0;0.0;8.5
o;10;27.25;Lerch Jimmy;*;18;53.75;11;27.0;1;-0.25;8.5
+;13;35.75;Piemontesi Pascal;**;15;54.5;12;36.0;-1;0.25;10.0
-;12;45.75;Dousse Michel;**;16;54.25;13;45.5;1;-0.25;8.75

15b;Suppiger Werner;**;;;;;;;;;54.5
+;;;Luginbühl Hanspeter;**;;;;;;;9.75
-;2;9.75;Rolli Martin;**;11;55.5;1;10.0;-1;0.25;8.75
+;6;18.5;Fankhauser Kurt;**;13;55.0;6;18.5;0;0.0;9.75
-;7;28.25;Roth Philipp;***;12;55.25;7;28.25;0;0.0;8.75
-;8;37.0;Schenkel Remo;*;15;54.5;8;37.0;0;0.0;9.0
o;11;46.0;Renfer Lukas;*;10;55.75;11;46.0;0;0.0;8.5

15c;Duplan Steve;**;;;;;;;;;54.5
o;;;Arnold Raphael;*;;;;;;;8.5
+;5;8.5;Gross Florian;*;34;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Gehrig Damian;***;24;45.75;5;18.75;-1;0.25;8.75
o;10;27.25;Sommer Roman;*;16;54.25;9;27.5;-1;0.25;8.75
+;12;36.0;Reust Markus;*;21;53.0;13;35.75;1;-0.25;10.0
o;11;46.0;Wampfler Beat;***;10;55.75;12;45.75;1;-0.25;8.5

15d;Piemontesi Pascal;**;;;;;;;;;54.5
-;;;Zenger Niklaus;***;;;;;;;8.75
+;4;8.75;Zbinden Adrian;*;29;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Röthlisberger Simon;**;5;57.0;2;19.75;-3;1.0;8.5
-;10;27.25;Brun Jonas;**;20;53.25;10;27.25;0;0.0;8.75
o;12;36.0;Zimmermann Simon;**;15;54.5;13;35.75;1;-0.25;8.5
+;17;44.5;Gnägi Christian;*;16;54.25;12;45.75;-5;1.25;10.0

15e;Schenkel Remo;*;;;;;;;;;54.5
+;;;Berset Cyril;*;;;;;;;9.75
o;2;9.75;Nötzli Reto;***;5;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Cropt Harald;**;20;53.25;10;17.25;3;-1.0;8.75
+;11;27.0;Gross Florian;*;34;34.0;16;25.5;5;-1.5;10.0
-;8;37.0;Suppiger Werner;**;15;54.5;8;37.0;0;0.0;9.0
o;11;46.0;Scheuber Lutz;**;11;55.5;12;45.75;1;-0.25;8.5

16a;Sommer Roman;*;;;;;;;;;54.25
+;;;Barras François;*;;;;;;;9.75
-;2;9.75;von Ah Benji;***;6;56.75;1;10.0;-1;0.25;8.75
-;6;18.5;Zimmermann Mario;*;30;35.0;10;17.25;4;-1.25;9.0
+;9;27.5;Duplan Steve;**;15;54.5;10;27.25;1;-0.25;9.75
o;7;37.25;Nötzli Reto;***;5;57.0;6;37.5;-1;0.25;8.5
o;12;45.75;Haenni Stéphane;**;11;55.5;12;45.75;0;0.0;8.5

16b;Dousse Michel;**;;;;;;;;;54.25
o;;;von Weissenfluh Kilian;*;;;;;;;8.5
+;5;8.5;Haldi Sami;*;33;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Zenger Niklaus;***;14;54.75;5;18.75;-1;0.25;8.75
+;10;27.25;Gnägi Christian;*;16;54.25;9;27.5;-1;0.25;9.75
o;8;37.0;Wittwer Jan;*;11;55.5;8;37.0;0;0.0;8.5
-;13;45.5;Zimmermann Simon;**;15;54.5;12;45.75;-1;0.25;8.75

16c;Gnägi Christian;*;;;;;;;;;54.25
-;;;Barras André;*;;;;;;;8.75
-;4;8.75;Brodard Augustin;**;20;53.25;5;8.5;1;-0.25;8.75
+;9;17.5;Emonet Fabien;**;34;34.0;11;17.0;2;-0.5;10.0
o;9;27.5;Dousse Michel;**;16;54.25;10;27.25;1;-0.25;8.5
+;12;36.0;Gassmann Simon;*;19;53.5;10;36.5;-2;0.5;9.75
o;12;45.75;Piemontesi Pascal;**;15;54.5;17;44.5;5;-1.25;8.5

16d;Dind Samuel;**;;;;;;;;;54.25
-;;;Zimmermann Simon;**;;;;;;;8.75
-;4;8.75;Schenk Thomas;*;27;44.0;2;9.75;-2;1.0;8.75
+;9;17.5;Gross Florian;*;34;34.0;11;17.0;2;-0.5;9.75
o;10;27.25;von Weissenfluh Kilian;*;5;57.0;7;28.25;-3;1.0;8.5
-;13;35.75;Kämpf Alexander;**;18;53.75;11;36.25;-2;0.5;8.75
+;17;44.5;Binggeli Dominik;*;21;53.0;17;44.5;0;0.0;9.75

17a;Mollet Ivan;*;;;;;;;;;54.0
o;;;Schenk Thomas;*;;;;;;;8.5
o;5;8.5;Roth Philipp;***;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;von Weissenfluh Kilian;*;5;57.0;6;18.5;-5;1.5;8.5
+;16;25.5;Barras André;*;33;34.25;15;25.75;-1;0.25;10.0
+;14;35.5;Elsener Adrian;**;17;54.0;13;35.75;-1;0.25;10.0
o;13;45.5;Fankhauser Kurt;**;13;55.0;14;45.25;1;-0.25;8.5

17b;Elsener Adrian;**;;;;;;;;;54.0
-;;;Cropt Harald;**;;;;;;;8.75
-;4;8.75;Brodard Simon;**;20;53.25;5;8.5;1;-0.25;8.75
+;9;17.5;Barras André;*;33;34.25;10;17.25;1;-0.25;9.75
o;10;27.25;Rolli Martin;**;11;55.5;10;27.25;0;0.0;8.5
o;13;35.75;Mollet Ivan;*;17;54.0;14;35.5;1;-0.25;8.5
+;18;44.25;Berset Julien;*;21;53.0;17;44.5;-1;0.25;9.75

18a;Kämpf Alexander;**;;;;;;;;;53.75
-;;;Herger Matthias;**;;;;;;;8.75
+;4;8.75;Gwerder Carlo;**;11;55.5;4;8.75;0;0.0;10.0
-;5;18.75;Brun Jonas;**;20;53.25;6;18.5;1;-0.25;8.75
-;9;27.5;Haenni Stéphane;**;11;55.5;10;27.25;1;-0.25;8.75
-;11;36.25;Dind Samuel;**;16;54.25;13;35.75;2;-0.5;8.75
-;15;45.0;Cropt Harald;**;20;53.25;17;44.5;2;-0.5;8.75

18b;Roch Vincent;**;;;;;;;;;53.75
o;;;Rolli Martin;**;;;;;;;8.5
+;5;8.5;Vonlanthen Cyril;*;32;34.5;5;8.5;0;0.0;9.75
o;7;18.25;Roth Philipp;***;12;55.25;6;18.5;-1;0.25;8.5
+;12;26.75;Schenk Thomas;*;27;44.0;11;27.0;-1;0.25;10.0
o;9;36.75;Gerber Christian;**;11;55.5;8;37.0;-1;0.25;8.5
o;14;45.25;Aellen Florian;*;13;55.0;14;45.25;0;0.0;8.5

18c;Lerch Jimmy;*;;;;;;;;;53.75
o;;;Zbinden Adrian;*;;;;;;;8.5
o;5;8.5;Arnold Stefan;**;4;57.25;4;8.75;-1;0.25;8.5
