3580-2017-05-25_Baselstaedtischer_Schwingertag-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
-;5;38.5;Henzer Andreas;**;8;56.25;9;37.5;4;-1.0;8.75
+;6;47.25;Gabathuler Björn;;13;55.0;9;46.5;3;-0.75;9.75

5c;Leuppi Samir;**;;;;;;;;;57.0
o;;;Gisler Bruno;***;;;;;;;8.5
+;5;8.5;Strebel Joel;**;11;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Mangold Michael;;5;57.0;1;20.0;-6;1.75;10.0
+;7;28.25;Räbmatter Patrick;***;6;56.75;7;28.25;0;0.0;10.0
-;6;38.25;Bieri Christoph;***;2;58.0;3;39.25;-3;1.0;8.75
+;7;47.0;Hauri Urs;**;11;55.5;7;47.0;0;0.0;10.0

6a;Thoenen Henryc;**;;;;;;;;;56.75
+;;;Dind Samuel;**;;;;;;;9.75
+;2;9.75;Hügli Kaj;*;12;55.25;4;8.75;2;-1.0;10.0
o;2;19.75;Bieri Christoph;***;2;58.0;3;19.5;1;-0.25;8.75
+;6;28.5;Wilhelm Manuel;;16;54.25;7;28.25;1;-0.25;9.75
+;6;38.25;Widmer Tobias;**;9;56.0;4;38.75;-2;0.5;9.75
-;3;48.0;Klausner Yanick;**;7;56.5;4;47.75;1;-0.25;8.75

6b;Piemontesi Pascal;**;;;;;;;;;56.75
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Blatter Lorenz;**;8;56.25;1;10.0;-3;1.25;9.75
+;6;18.5;Müller Christian;;19;53.5;3;19.5;-3;1.0;10.0
-;6;28.5;Studinger Stephan;**;6;56.75;4;29.0;-2;0.5;8.75
+;10;37.25;Strebel Joel;**;11;55.5;6;38.25;-4;1.0;9.75
+;7;47.0;Widmer Tobias;**;9;56.0;5;47.5;-2;0.5;9.75

6c;Studinger Stephan;**;;;;;;;;;56.75
+;;;von Arx Christian;*;;;;;;;10.0
+;1;10.0;Moser Michael;**;25;46.25;3;9.0;2;-1.0;10.0
-;1;20.0;Voggensperger Janic;**;8;56.25;4;19.0;3;-1.0;9.0
-;4;29.0;Piemontesi Pascal;**;6;56.75;6;28.5;2;-0.5;8.75
+;8;37.75;Gerber Andrj (2000);;9;56.0;10;37.25;2;-0.5;10.0
-;4;47.75;Blatter Lorenz;**;8;56.25;6;47.25;2;-0.5;9.0

6d;Räbmatter Patrick;***;;;;;;;;;56.75
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;4;8.75;Schillig Willi;**;7;56.5;2;9.75;-2;1.0;9.75
+;6;18.5;von Arx Christian;*;12;55.25;6;18.5;0;0.0;9.75
o;7;28.25;Leuppi Samir;**;5;57.0;7;28.25;0;0.0;8.5
+;12;36.75;Nussbaumer Gabriel;;12;55.25;7;38.0;-5;1.25;10.0
+;8;46.75;Waldner Patrick;**;11;55.5;7;47.0;-1;0.25;10.0

6e;Borcard Johann;**;;;;;;;;;56.75
-;;;Voggensperger Janic;**;;;;;;;9.0
+;3;9.0;Schmid Samuel;**;7;56.5;1;10.0;-2;1.0;9.75
+;5;18.75;Rüegger Aaron (1999);;8;56.25;3;19.5;-2;0.75;9.75
o;6;28.5;Thürig Mario;***;4;57.25;5;28.75;-1;0.25;8.5
+;11;37.0;Mangold Martin;;14;54.75;8;37.75;-3;0.75;9.75
+;8;46.75;Anderegg David;*;11;55.5;8;46.75;0;0.0;10.0

7a;Schillig Willi;**;;;;;;;;;56.5
+;;;Anderegg David;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;6;56.75;4;8.75;2;-1.0;8.5
-;7;18.25;Läuchli Janik (2000);;17;54.0;3;19.5;-4;1.25;8.75
+;12;27.0;Reimann Marco;;18;53.75;7;28.25;-5;1.25;10.0
+;11;37.0;Leu Dominik (1999);;17;54.0;11;37.0;0;0.0;9.75
+;8;46.75;Hügli Kaj;*;12;55.25;8;46.75;0;0.0;9.75

7b;Odermatt Adrian (2001);;;;;;;;;;56.5
+;;;Reimann Marco;;;;;;;;9.75
o;2;9.75;Mangold Martin;;14;54.75;2;9.75;0;0.0;8.5
+;7;18.25;Tschan Raphael (2000);;28;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Leuthard Reto;*;12;55.25;12;27.0;5;-1.25;8.5
+;12;36.75;Rohrbach Jérôme (2000);;16;54.25;12;36.75;0;0.0;10.0
+;8;46.75;Strebel Joel;**;11;55.5;8;46.75;0;0.0;9.75

7c;Klausner Yanick;**;;;;;;;;;56.5
-;;;Moser Michael;**;;;;;;;9.0
+;3;9.0;Dobler Florian;;17;54.0;2;9.75;-1;0.75;10.0
o;4;19.0;Gisler Bruno;***;3;57.5;1;20.0;-3;1.0;8.75
+;9;27.75;Widmer Dino;;13;55.0;8;28.0;-1;0.25;10.0
+;8;37.75;Voggensperger Lars (2001);;15;54.5;10;37.25;2;-0.5;10.0
-;4;47.75;Thoenen Henryc;**;6;56.75;3;48.0;-1;0.25;8.75

7d;Schmid Samuel;**;;;;;;;;;56.5
+;;;Moser Matthias;*;;;;;;;10.0
o;1;10.0;Borcard Johann;**;6;56.75;3;9.0;2;-1.0;8.5
+;6;18.5;Studer Remo;;13;55.0;3;19.5;-3;1.0;9.75
o;7;28.25;Döbeli Lukas (2000);*;7;56.5;7;28.25;0;0.0;8.5
+;12;36.75;Bühler Mark;;19;53.5;13;36.5;1;-0.25;10.0
+;8;46.75;Krebs Clemens;;12;55.25;8;46.75;0;0.0;9.75

7e;Döbeli Lukas (2000);*;;;;;;;;;56.5
+;;;Brun Samuel (1999);**;;;;;;;9.75
o;2;9.75;Dind Samuel;**;13;55.0;5;8.5;3;-1.25;8.5
+;7;18.25;Gerber Andrj (2000);;9;56.0;5;18.75;-2;0.5;10.0
+;7;28.25;Schmid Samuel;**;7;56.5;7;28.25;0;0.0;9.75
+;7;38.0;Horner Peter;***;16;54.25;12;36.75;5;-1.25;9.75
-;4;47.75;Kropf Marcel;**;9;56.0;6;47.25;2;-0.5;8.75

8a;Henzer Andreas;**;;;;;;;;;56.25
+;;;Schär Simon;*;;;;;;;10.0
-;1;10.0;Gerber Christian;**;8;56.25;4;8.75;3;-1.25;8.75
-;5;18.75;Siegrist Christian;;24;46.75;4;19.0;-1;0.25;9.0
+;9;27.75;Hermann Oliver;*;16;54.25;6;28.5;-3;0.75;9.75
-;9;37.5;Mangold Michael;;5;57.0;5;38.5;-4;1.0;8.75
+;10;46.25;Mangold Martin;;14;54.75;10;46.25;0;0.0;10.0

8b;Rüegger Aaron (1999);;;;;;;;;;56.25
+;;;Rüegg Benjamin;;;;;;;;9.75
+;2;9.75;Brun Samuel (1999);**;34;17.0;5;8.5;3;-1.25;9.75
o;3;19.5;Borcard Johann;**;6;56.75;5;18.75;2;-0.75;8.5
+;8;28.0;Imobersteg Matthias (2001);;12;55.25;8;28.0;0;0.0;10.0
o;7;38.0;Hauri Urs;**;11;55.5;11;37.0;4;-1.0;8.5
+;9;46.5;Weber Roger;;14;54.75;10;46.25;1;-0.25;9.75

8c;Steinmann Yves;*;;;;;;;;;56.25
o;;;Blatter Lorenz;**;;;;;;;8.5
+;5;8.5;Nussbaumer Dominik;;18;53.75;1;10.0;-4;1.5;9.75
+;7;18.25;Schmutz Simon (2000);;11;55.5;6;18.5;-1;0.25;10.0
o;7;28.25;Dind Samuel;**;13;55.0;8;28.0;1;-0.25;8.5
+;12;36.75;Gabathuler Björn;;13;55.0;8;37.75;-4;1.0;9.75
+;9;46.5;Lisser Beat;;13;55.0;9;46.5;0;0.0;9.75

8d;Blatter Lorenz;**;;;;;;;;;56.25
+;;;Steinmann Yves;*;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;6;56.75;4;8.75;3;-1.25;8.75
+;5;18.75;Mangold Martin;;14;54.75;3;19.5;-2;0.75;10.0
+;5;28.75;Horner Peter;***;16;54.25;7;28.25;2;-0.5;10.0
o;4;38.75;Alpiger Nick;***;1;59.5;2;39.5;-2;0.75;8.5
-;6;47.25;Studinger Stephan;**;6;56.75;4;47.75;-2;0.5;9.0

8e;Voggensperger Janic;**;;;;;;;;;56.25
-;;;Borcard Johann;**;;;;;;;9.0
+;3;9.0;Rohrbach Jérôme (2000);;16;54.25;2;9.75;-1;0.75;10.0
-;4;19.0;Studinger Stephan;**;6;56.75;1;20.0;-3;1.0;9.0
+;8;28.0;Jusufi Azret;;26;44.75;10;27.5;2;-0.5;9.75
-;8;37.75;Kämpf Alexander;**;10;55.75;10;37.25;2;-0.5;8.75
+;9;46.5;Dind Samuel;**;13;55.0;9;46.5;0;0.0;9.75

8f;Gerber Christian;**;;;;;;;;;56.25
-;;;Thürig Mario;***;;;;;;;8.75
-;4;8.75;Henzer Andreas;**;8;56.25;1;10.0;-3;1.25;8.75
+;8;17.5;Krebs Clemens;;12;55.25;6;18.5;-2;1.0;10.0
-;10;27.5;Anderegg David;*;11;55.5;7;28.25;-3;0.75;8.75
+;14;36.25;Stoll Simon;*;9;56.0;9;37.5;-5;1.25;10.0
+;10;46.25;Brand Christian;**;14;54.75;10;46.25;0;0.0;10.0

9a;Gerber Andrj (2000);;;;;;;;;;56.0
+;;;Büttler Gian (2000);;;;;;;;9.75
-;2;9.75;Probst Gabriel;**;12;55.25;5;8.5;3;-1.25;9.0
o;5;18.75;Döbeli Lukas (2000);*;7;56.5;7;18.25;2;-0.5;8.5
+;11;27.25;Graber Colin;;17;54.0;11;27.25;0;0.0;10.0
o;10;37.25;Studinger Stephan;**;6;56.75;8;37.75;-2;0.5;8.75
+;11;46.0;Hermann Oliver;*;16;54.25;12;45.75;1;-0.25;10.0

9b;Widmer Tobias;**;;;;;;;;;56.0
+;;;Schmutz Adrian;*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;3;57.5;1;10.0;0;0.0;8.75
+;5;18.75;Widmer Dino;;13;55.0;3;19.5;-2;0.75;10.0
+;5;28.75;Kropf Marcel;**;9;56.0;5;28.75;0;0.0;10.0
o;4;38.75;Thoenen Henryc;**;6;56.75;6;38.25;2;-0.5;8.75
o;5;47.5;Piemontesi Pascal;**;6;56.75;7;47.0;2;-0.5;8.5

9c;Vieira Tiago;**;;;;;;;;;56.0
+;;;Nyffeler Christoph;*;;;;;;;10.0
-;1;10.0;Kämpf Alexander;**;10;55.75;5;8.5;4;-1.5;8.75
+;5;18.75;Büttler Adrian (1999);;17;54.0;6;18.5;1;-0.25;10.0
o;5;28.75;Gisler Bruno;***;3;57.5;1;30.0;-4;1.25;8.75
+;9;37.5;Scherrer Johann;**;11;55.5;11;37.0;2;-0.5;10.0
o;5;47.5;Erb Roger;**;5;57.0;6;47.25;1;-0.25;8.5

9d;Stoll Simon;*;;;;;;;;;56.0
-;;;Arnold Kornel;*;;;;;;;8.75
-;4;8.75;Schwenkfelder Lukas;;11;55.5;2;9.75;-2;1.0;8.75
+;8;17.5;Müller Jan;;17;54.0;6;18.5;-2;1.0;10.0
+;10;27.5;Läuchli Janik (2000);;17;54.0;7;28.25;-3;0.75;10.0
o;9;37.5;Gerber Christian;**;8;56.25;14;36.25;5;-1.25;8.5
+;11;46.0;Leu Dominik (1999);;17;54.0;13;45.5;2;-0.5;10.0

9e;Kropf Marcel;**;;;;;;;;;56.0
+;;;Kämpf Alexander;**;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;1;59.5;1;10.0;0;0.0;8.75
+;5;18.75;Jusufi Ilber;;13;55.0;6;18.5;1;-0.25;10.0
o;5;28.75;Widmer Tobias;**;9;56.0;5;28.75;0;0.0;8.5
+;10;37.25;Schaffner Samuel;**;12;55.25;12;36.75;2;-0.5;10.0
-;6;47.25;Döbeli Lukas (2000);*;7;56.5;4;47.75;-2;0.5;8.75

10a;Kämpf Alexander;**;;;;;;;;;55.75
o;;;Kropf Marcel;**;;;;;;;8.5
-;5;8.5;Vieira Tiago;**;9;56.0;1;10.0;-4;1.5;8.75
+;9;17.25;Widmer Cyrill;;16;54.25;6;18.5;-3;1.25;10.0
+;11;27.25;Dobler Florian;;17;54.0;7;28.25;-4;1.0;10.0
-;10;37.25;Voggensperger Janic;**;8;56.25;8;37.75;-2;0.5;8.75
+;11;46.0;Läuchli Janik (2000);;17;54.0;13;45.5;2;-0.5;9.75

11a;Scherrer Johann;**;;;;;;;;;55.5
o;;;Waldner Patrick;**;;;;;;;8.5
+;5;8.5;Aerni Lars;;19;53.5;1;10.0;-4;1.5;10.0
+;6;18.5;Cezar Romario;;27;44.25;6;18.5;0;0.0;10.0
o;6;28.5;Döbeli Andreas;*;3;57.5;5;28.75;-1;0.25;8.5
o;11;37.0;Vieira Tiago;**;9;56.0;9;37.5;-2;0.5;8.5
+;13;45.5;Steger Robert;;18;53.75;14;45.25;1;-0.25;10.0

11b;Waldner Patrick;**;;;;;;;;;55.5
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Thürig Mario;***;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Bader Stefan (1999);;17;54.0;6;18.5;0;0.0;10.0
o;6;28.5;Strebel Joel;**;11;55.5;7;28.25;1;-0.25;8.5
+;11;37.0;Reimann Marco;;18;53.75;12;36.75;1;-0.25;10.0
o;7;47.0;Räbmatter Patrick;***;6;56.75;8;46.75;1;-0.25;8.5

11c;Arnold Kornel;*;;;;;;;;;55.5
-;;;Stoll Simon;*;;;;;;;8.75
+;4;8.75;Schopferer Cyril (2000);;21;53.0;2;9.75;-2;1.0;10.0
o;5;18.75;Thürig Mario;***;4;57.25;5;18.75;0;0.0;8.5
o;11;27.25;Nussbaumer Gabriel;;12;55.25;7;28.25;-4;1.0;8.5
+;16;35.75;Büttler Adrian (1999);;17;54.0;11;37.0;-5;1.25;9.75
+;13;45.5;Dobler Florian;;17;54.0;13;45.5;0;0.0;10.0

11d;Hauri Urs;**;;;;;;;;;55.5
-;;;Döbeli Andreas;*;;;;;;;8.75
+;4;8.75;Burren Patrick (1999);;15;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Graber Colin;;17;54.0;5;18.75;-1;0.25;10.0
o;6;28.5;Bieri Christoph;***;2;58.0;3;29.25;-3;0.75;8.5
+;11;37.0;Rüegger Aaron (1999);;8;56.25;7;38.0;-4;1.0;10.0
o;7;47.0;Leuppi Samir;**;5;57.0;7;47.0;0;0.0;8.5

11e;Strebel Joel;**;;;;;;;;;55.5
+;;;Probst Gabriel;**;;;;;;;10.0
o;1;10.0;Leuppi Samir;**;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Gabathuler Björn;;13;55.0;3;19.5;-3;1.0;9.75
+;7;28.25;Waldner Patrick;**;11;55.5;6;28.5;-1;0.25;10.0
o;6;38.25;Piemontesi Pascal;**;6;56.75;10;37.25;4;-1.0;8.5
o;8;46.75;Odermatt Adrian (2001);;7;56.5;8;46.75;0;0.0;8.75

11f;Schmutz Simon (2000);;;;;;;;;;55.5
+;;;Körkel Yannik;;;;;;;;9.75
-;2;9.75;Widmer David;;16;54.25;2;9.75;0;0.0;8.75
o;6;18.5;Steinmann Yves;*;8;56.25;7;18.25;1;-0.25;8.5
-;12;27.0;Widmer Cyrill;;16;54.25;12;27.0;0;0.0;8.75
+;16;35.75;Grossmann Andreas;;22;52.75;16;35.75;0;0.0;10.0
+;12;45.75;Graber Colin;;17;54.0;13;45.5;1;-0.25;9.75

11g;Schwenkfelder Lukas;;;;;;;;;;55.5
+;;;Burtschi Michael;;;;;;;;9.75
-;2;9.75;Stoll Simon;*;9;56.0;4;8.75;2;-1.0;8.75
+;6;18.5;Büchi Christian;;16;54.25;6;18.5;0;0.0;10.0
o;6;28.5;von Arx Christian;*;12;55.25;12;27.0;6;-1.5;8.5
-;11;37.0;Dobler Florian;;17;54.0;12;36.75;1;-0.25;8.75
+;12;45.75;Voggensperger Lars (2001);;15;54.5;12;45.75;0;0.0;9.75

11h;Anderegg David;*;;;;;;;;;55.5
o;;;Schillig Willi;**;;;;;;;8.5
+;5;8.5;Bieli Andreas;;22;52.75;1;10.0;-4;1.5;10.0
+;6;18.5;Büttler Gian (2000);;18;53.75;7;18.25;1;-0.25;9.75
-;7;28.25;Gerber Christian;**;8;56.25;10;27.5;3;-0.75;8.75
+;11;37.0;Brügger Joël (2000);;15;54.5;11;37.0;0;0.0;9.75
o;8;46.75;Borcard Johann;**;6;56.75;8;46.75;0;0.0;8.75

12a;Schaffner Samuel;**;;;;;;;;;55.25
o;;;Erb Roger;**;;;;;;;8.5
-;5;8.5;Voggensperger Lars (2001);;15;54.5;1;10.0;-4;1.5;8.75
+;9;17.25;Brügger Joël (2000);;15;54.5;6;18.5;-3;1.25;9.75
+;12;27.0;Rohrbach Jérôme (2000);;16;54.25;7;28.25;-5;1.25;9.75
o;12;36.75;Kropf Marcel;**;9;56.0;10;37.25;-2;0.5;8.5
+;14;45.25;Nyffenegger Florian (2001);;17;54.0;13;45.5;-1;0.25;10.0

12b;Nussbaumer Gabriel;;;;;;;;;;55.25
o;;;Jusufi Azret;;;;;;;;8.5
+;5;8.5;Kramer Lukas (2001);;32;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Schär Simon;*;13;55.0;10;17.0;4;-1.5;9.75
+;7;28.25;Arnold Kornel;*;11;55.5;11;27.25;4;-1.0;9.75
o;7;38.0;Räbmatter Patrick;***;6;56.75;12;36.75;5;-1.25;8.5
o;9;46.5;Küng Marco;;4;57.25;5;47.5;-4;1.0;8.75

12c;Hügli Kaj;*;;;;;;;;;55.25
-;;;Brand Christian;**;;;;;;;8.75
o;4;8.75;Thoenen Henryc;**;6;56.75;2;9.75;-2;1.0;8.5
+;9;17.25;Traub Manuel;;16;54.25;5;18.75;-4;1.5;9.75
+;12;27.0;Lisser Beat;;13;55.0;8;28.0;-4;1.0;10.0
+;11;37.0;Büttler Gian (2000);;18;53.75;12;36.75;1;-0.25;9.75
o;8;46.75;Schillig Willi;**;7;56.5;8;46.75;0;0.0;8.5

12d;von Arx Christian;*;;;;;;;;;55.25
o;;;Studinger Stephan;**;;;;;;;8.5
+;5;8.5;Furrer Mathias;;13;55.0;1;10.0;-4;1.5;10.0
o;6;18.5;Räbmatter Patrick;***;6;56.75;6;18.5;0;0.0;8.5
+;12;27.0;Schwenkfelder Lukas;;11;55.5;6;28.5;-6;1.5;10.0
+;11;37.0;Hermann Oliver;*;16;54.25;10;37.25;-1;0.25;9.75
o;8;46.75;Thürig Mario;***;4;57.25;5;47.5;-3;0.75;8.5

12e;Notz Beni;***;;;;;;;;;55.25
o;;;Alpiger Nick;***;;;;;;;8.5
-;5;8.5;Erb Roger;**;5;57.0;2;9.75;-3;1.25;8.75
o;9;17.25;Döbeli Andreas;*;3;57.5;5;18.75;-4;1.5;8.5
+;16;25.75;Büchi Christian;;16;54.25;12;27.0;-4;1.25;10.0
+;16;35.75;Jusufi Ilber;;13;55.0;12;36.75;-4;1.0;9.75
+;13;45.5;Müller Jan;;17;54.0;13;45.5;0;0.0;9.75

12f;Probst Gabriel;**;;;;;;;;;55.25
o;;;Strebel Joel;**;;;;;;;8.5
-;5;8.5;Gerber Andrj (2000);;9;56.0;2;9.75;-3;1.25;8.75
-;9;17.25;Bearda Samuel;;14;54.75;7;18.25;-2;1.0;8.75
+;15;26.0;Aeschlimann Fabian (1999);;17;54.0;12;27.0;-3;1.0;9.75
+;16;35.75;Burtschi Michael;;16;54.25;12;36.75;-4;1.0;9.75
+;13;45.5;Reimann Marco;;18;53.75;14;45.25;1;-0.25;9.75

12g;Krebs Clemens;;;;;;;;;;55.25
+;;;Schwegler Dominik;;;;;;;;9.75
-;2;9.75;Jusufi Azret;;26;44.75;2;9.75;0;0.0;8.75
o;6;18.5;Gerber Christian;**;8;56.25;8;17.5;2;-1.0;8.5
+;12;27.0;Loosli Adrian;;28;35.25;13;26.75;1;-0.25;9.75
+;12;36.75;Studer Remo;;13;55.0;13;36.5;1;-0.25;10.0
o;8;46.75;Schmid Samuel;**;7;56.5;8;46.75;0;0.0;8.5

12h;Schmutz Adrian;*;;;;;;;;;55.25
o;;;Widmer Tobias;**;;;;;;;8.5
-;5;8.5;Graber Colin;;17;54.0;1;10.0;-4;1.5;8.75
+;9;17.25;Leu Dominik (1999);;17;54.0;6;18.5;-3;1.25;10.0
o;11;27.25;Mangold Michael;;5;57.0;6;28.5;-5;1.25;8.5
+;16;35.75;Müller Simon;;17;54.0;13;36.5;-3;0.75;9.75
+;13;45.5;Widmer David;;16;54.25;13;45.5;0;0.0;9.75

12i;Leuthard Reto;*;;;;;;;;;55.25
-;;;Traub Manuel;;;;;;;;8.75
o;4;8.75;Horner Peter;***;16;54.25;5;8.5;1;-0.25;8.5
+;9;17.25;Burkart Simon;;17;54.0;6;18.5;-3;1.25;9.75
+;12;27.0;Odermatt Adrian (2001);;7;56.5;7;28.25;-5;1.25;9.75
+;12;36.75;Moser Matthias;*;14;54.75;9;37.5;-3;0.75;10.0
o;8;46.75;Moser Michael;**;25;46.25;10;46.25;2;-0.5;8.5

12j;Imobersteg Matthias (2001);;;;;;;;;;55.25
+;;;Hermann Lukas 1 (2000);;;;;;;;9.75
o;2;9.75;Döbeli Andreas;*;3;57.5;4;8.75;2;-1.0;8.5
+;7;18.25;Loosli Adrian;;28;35.25;7;18.25;0;0.0;9.75
o;8;28.0;Rüegger Aaron (1999);;8;56.25;8;28.0;0;0.0;8.5
+;13;36.5;Meyer Lukas (2001);;22;52.75;16;35.75;3;-0.75;9.75
-;10;46.25;Siegrist Christian;;24;46.75;8;46.75;-2;0.5;9.0

13a;Furrer Mathias;;;;;;;;;;55.0
+;;;Vogt Patrick (1999);;;;;;;;10.0
o;1;10.0;von Arx Christian;*;12;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Erb Roger;**;5;57.0;5;18.75;-1;0.25;8.5
o;12;27.0;Burtschi Michael;;16;54.25;13;26.75;1;-0.25;8.5
+;17;35.5;Aeschlimann Fabian (1999);;17;54.0;17;35.5;0;0.0;9.75
+;14;45.25;Nussbaumer Dominik;;18;53.75;14;45.25;0;0.0;9.75

13b;Studer Remo;;;;;;;;;;55.0
+;;;Regenass Reto (2000);;;;;;;;9.75
+;2;9.75;Schär Simon;*;13;55.0;5;8.5;3;-1.25;9.75
o;3;19.5;Schmid Samuel;**;7;56.5;6;18.5;3;-1.0;8.5
o;8;28.0;Siegrist Christian;;24;46.75;4;29.0;-4;1.0;8.5
o;13;36.5;Krebs Clemens;;12;55.25;12;36.75;-1;0.25;8.5
+;15;45.0;Dettwiler Patrick;;21;53.0;17;44.5;2;-0.5;10.0

13c;Lisser Beat;;;;;;;;;;55.0
+;;;Meyer Lukas (2001);;;;;;;;9.75
o;2;9.75;Hermann Oliver;*;16;54.25;4;8.75;2;-1.0;8.5
+;7;18.25;Gisin Yanic;;16;54.25;7;18.25;0;0.0;9.75
o;8;28.0;Hügli Kaj;*;12;55.25;12;27.0;4;-1.0;8.5
+;13;36.5;Reinhard Pirmin (2001);;27;44.25;17;35.5;4;-1.0;10.0
o;9;46.5;Steinmann Yves;*;8;56.25;9;46.5;0;0.0;8.5

13d;Dind Samuel;**;;;;;;;;;55.0
o;;;Thoenen Henryc;**;;;;;;;8.5
+;5;8.5;Döbeli Lukas (2000);*;7;56.5;2;9.75;-3;1.25;9.75
+;7;18.25;Aerni Lars;;19;53.5;6;18.5;-1;0.25;9.75
+;8;28.0;Steinmann Yves;*;8;56.25;7;28.25;-1;0.25;10.0
o;7;38.0;Döbeli Andreas;*;3;57.5;4;38.75;-3;0.75;8.5
o;9;46.5;Voggensperger Janic;**;8;56.25;9;46.5;0;0.0;8.5

13e;Gabathuler Björn;;;;;;;;;;55.0
+;;;Meier Fabian;;;;;;;;9.75
