3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
+;9;47.0;Hadorn Christian;*;16;54.5;13;46.0;4;-1.0;9.75

7b;Marti Stefan;**;;;;;;;;;56.75
+;;;Kropf Thomas;*;;;;;;;10.0
o;2;10.0;Leuppi Samir;**;11;55.75;6;8.5;4;-1.5;8.75
+;6;18.75;Reichen Stefan;;18;54.0;8;18.25;2;-0.5;9.75
+;4;28.5;Steffen Valentin;*;16;54.5;4;28.5;0;0.0;9.75
o;5;38.25;Alpiger Nick;***;5;57.25;8;37.5;3;-0.75;8.5
+;10;46.75;Gnägi Christian;*;16;54.5;13;46.0;3;-0.75;10.0

8a;Steffen Gustav;*;;;;;;;;;56.5
+;;;Waber Lorenz;*;;;;;;;9.75
+;3;9.75;Niederhäuser Martin;;35;18.5;2;10.0;-1;0.25;9.75
-;4;19.5;Graber Willy;***;7;56.75;4;19.5;0;0.0;8.75
+;5;28.25;Zangger Dominik;*;14;55.0;7;27.75;2;-0.5;10.0
+;5;38.25;Wiget Michael;*;25;47.0;5;38.25;0;0.0;9.75
o;5;48.0;Stucki Christian;***;3;58.5;3;48.5;-2;0.5;8.5

8b;von Büren Stephan;*;;;;;;;;;56.5
o;;;Habegger Heinz;**;;;;;;;8.5
+;6;8.5;Schenk Thomas;*;16;54.5;6;8.5;0;0.0;9.75
+;8;18.25;Salzmann Simon;*;23;52.75;11;17.25;3;-1.0;10.0
o;5;28.25;Orlik Curdin;**;6;57.0;3;28.75;-2;0.5;8.5
+;11;36.75;Rüegsegger Ueli;;16;54.5;9;37.25;-2;0.5;10.0
+;10;46.75;Inniger Thomas;**;14;55.0;11;46.5;1;-0.25;9.75

9a;Bösch Daniel;***;;;;;;;;;56.25
-;;;Käser Remo;***;;;;;;;8.75
-;5;8.75;Aeschbacher Matthias;**;4;58.0;3;9.75;-2;1.0;8.75
+;10;17.5;Pulfer Thomas;*;18;54.0;7;18.5;-3;1.0;10.0
-;8;27.5;Gehrig Philipp;**;6;57.0;5;28.25;-3;0.75;8.75
+;13;36.25;Gerber Thomas;*;21;53.25;13;36.25;0;0.0;10.0
+;12;46.25;Zehnder Jürg;*;16;54.5;13;46.0;1;-0.25;10.0

9b;Staudenmann Fabian (2000);**;;;;;;;;;56.25
+;;;Wüthrich Niklaus;**;;;;;;;10.0
+;2;10.0;Wehrli Christian;*;13;55.25;3;9.75;1;-0.25;10.0
-;2;20.0;Orlik Curdin;**;6;57.0;2;20.0;0;0.0;8.75
+;3;28.75;Weyermann Michael;*;10;56.0;3;28.75;0;0.0;10.0
-;3;38.75;Wenger Kilian;***;2;58.75;2;39.75;-1;1.0;9.0
o;6;47.75;Alpiger Nick;***;5;57.25;7;47.5;1;-0.25;8.5

9c;Luginbühl Hanspeter;**;;;;;;;;;56.25
+;;;Thomet Adrian;**;;;;;;;10.0
-;2;10.0;Kramer Lario;**;5;57.25;2;10.0;0;0.0;8.75
-;6;18.75;Gasser Dominik (2000);;17;54.25;6;18.75;0;0.0;8.75
-;8;27.5;Zehnder Jürg;*;16;54.5;8;27.5;0;0.0;8.75
+;13;36.25;Dummermuth Ueli;;21;53.25;13;36.25;0;0.0;10.0
+;12;46.25;Binggeli Dominik;*;16;54.5;13;46.0;1;-0.25;10.0

10a;Schwander Severin;*;;;;;;;;;56.0
-;;;von Weissenﬂuh Kilian;**;;;;;;;8.75
+;5;8.75;Walther Patrick;*;29;35.25;6;8.5;1;-0.25;10.0
+;6;18.75;Zahler André;*;17;54.25;7;18.5;1;-0.25;9.75
o;4;28.5;Stucki Christian;***;3;58.5;3;28.75;-1;0.25;8.5
+;10;37.0;Kropf Thomas;*;19;53.75;11;36.75;1;-0.25;10.0
-;9;47.0;Studer Stefan;**;11;55.75;10;46.75;1;-0.25;9.0

10b;Roschi Ruedi;**;;;;;;;;;56.0
-;;;Röthlisberger Simon;**;;;;;;;9.0
+;4;9.0;Bremgartner Marcel;*;19;53.75;5;8.75;1;-0.25;10.0
-;5;19.0;Roth Philipp;***;13;55.25;8;18.25;3;-0.75;8.75
+;7;27.75;Moser Michael;**;13;55.25;5;28.25;-2;0.5;9.75
+;8;37.5;Gnägi Christian;*;16;54.5;8;37.5;0;0.0;10.0
o;7;47.5;Sempach Thomas;***;4;58.0;4;48.25;-3;0.75;8.5

10c;Weyermann Michael;*;;;;;;;;;56.0
+;;;Schütz Urs;**;;;;;;;10.0
-;2;10.0;Gehrig Damian;***;15;54.75;5;8.75;3;-1.25;8.75
+;6;18.75;Beer Peter;;14;55.0;8;18.25;2;-0.5;10.0
o;3;28.75;Staudenmann Fabian (2000);**;9;56.25;3;28.75;0;0.0;8.5
+;9;37.25;Wüthrich Bruno (2000);;18;54.0;12;36.5;3;-0.75;10.0
o;8;47.25;Gobeli Patrick;**;6;57.0;8;47.25;0;0.0;8.75

10d;Anderegg Simon;***;;;;;;;;;56.0
o;;;Kramer Lario;**;;;;;;;8.5
+;6;8.5;Ramseier Thomas;*;12;55.5;3;9.75;-3;1.25;9.75
+;8;18.25;Jäggi Lukas;*;11;55.75;6;18.75;-2;0.5;9.75
+;6;28.0;Sommer Roman;*;11;55.75;3;28.75;-3;0.75;9.75
+;7;37.75;Mathys Simon;**;6;57.0;5;38.25;-2;0.5;9.75
o;7;47.5;Aeschbacher Matthias;**;4;58.0;4;48.25;-3;0.75;8.5

10e;Wittwer Josias;*;;;;;;;;;56.0
+;;;Biäsch Christian;*;;;;;;;10.0
o;2;10.0;Graber Willy;***;7;56.75;3;9.75;1;-0.25;8.5
-;7;18.5;Gäggeler Adrian;*;12;55.5;7;18.5;0;0.0;8.75
+;9;27.25;Gasser Dominik (2000);;17;54.25;8;27.5;-1;0.25;10.0
-;9;37.25;Michel Jonas;*;14;55.0;12;36.5;3;-0.75;8.75
+;13;46.0;Steffen Valentin;*;16;54.5;13;46.0;0;0.0;10.0

11a;Sommer Roman;*;;;;;;;;;55.75
+;;;Ducry Antoine;**;;;;;;;10.0
-;2;10.0;Fankhauser Marco;**;14;55.0;5;8.75;3;-1.25;8.75
+;6;18.75;Tschan Matthias;;22;53.0;6;18.75;0;0.0;10.0
o;3;28.75;Anderegg Simon;***;10;56.0;6;28.0;3;-0.75;8.5
o;9;37.25;Schenkel Remo;*;14;55.0;11;36.75;2;-0.5;8.5
+;14;45.75;Kappeler Ruedi;;16;54.5;14;45.75;0;0.0;10.0

11b;Wüthrich Philip;*;;;;;;;;;55.75
+;;;Salzmann Simon;*;;;;;;;10.0
o;2;10.0;Orlik Curdin;**;6;57.0;2;10.0;0;0.0;8.5
o;7;18.5;von Weissenﬂuh Kilian;**;11;55.75;7;18.5;0;0.0;8.5
-;10;27.0;Müller Marc;;23;52.75;10;27.0;0;0.0;8.75
+;15;35.75;Bühler Marcel;;23;52.75;15;35.75;0;0.0;10.0
+;14;45.75;Stoll Simon;**;18;54.0;15;45.5;1;-0.25;10.0

11c;Klossner Adrian;*;;;;;;;;;55.75
o;;;Schenkel Remo;*;;;;;;;8.5
+;6;8.5;Kneubühl Christian (2001);;33;34.25;5;8.75;-1;0.25;9.75
+;8;18.25;Habegger Heinz;**;18;54.0;8;18.25;0;0.0;10.0
o;5;28.25;Käser Remo;***;5;57.25;3;28.75;-2;0.5;8.5
+;11;36.75;Gottofrey Marc;**;16;54.5;11;36.75;0;0.0;10.0
-;10;46.75;Röthlisberger Simon;**;1;110.75;1;93.0;-9;46.25;9.0

11d;Jäggi Lukas;*;;;;;;;;;55.75
-;;;Ramseier Fritz;**;;;;;;;9.0
+;4;9.0;Kestenholz Christian;;23;52.75;5;8.75;1;-0.25;9.75
o;6;18.75;Anderegg Simon;***;10;56.0;8;18.25;2;-0.5;8.5
+;9;27.25;Stucki Marcel (2000);*;18;54.0;9;27.25;0;0.0;10.0
o;9;37.25;Wyss Kilian;**;11;55.75;9;37.25;0;0.0;8.5
+;14;45.75;Rüegsegger Ueli;;16;54.5;14;45.75;0;0.0;10.0

11e;von Weissenﬂuh Kilian;**;;;;;;;;;55.75
-;;;Schwander Severin;*;;;;;;;8.75
+;5;8.75;Vonlanthen Cyril;*;24;52.5;5;8.75;0;0.0;9.75
+;7;18.5;Wüthrich Philip;*;11;55.75;7;18.5;0;0.0;9.75
-;5;28.25;Gnägi Florian;***;5;57.25;4;28.5;-1;0.25;8.75
+;10;37.0;Graber Alfred;*;18;54.0;11;36.75;1;-0.25;9.75
-;10;46.75;Fankhauser Reto;*;14;55.0;13;46.0;3;-0.75;9.0

11f;Studer Stefan;**;;;;;;;;;55.75
-;;;Gäggeler Adrian;*;;;;;;;8.75
+;5;8.75;Hadorn Christian;*;16;54.5;4;9.0;-1;0.25;10.0
-;6;18.75;Rolli Martin;**;17;54.25;7;18.5;1;-0.25;9.0
+;7;27.75;Inniger Thomas;**;14;55.0;6;28.0;-1;0.25;10.0
-;7;37.75;Steffen Konrad;*;14;55.0;8;37.5;1;-0.25;9.0
-;10;46.75;Schwander Severin;*;10;56.0;9;47.0;-1;0.25;9.0

