3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
+;14;26.0;Eggimann Marco;;32;34.5;14;26.0;0;0.0;10.0
o;14;36.0;Zehnder Jürg;*;16;54.5;13;36.25;-1;0.25;8.5
o;19;44.5;Burger Matthieu (2001);*;19;53.75;21;44.0;2;-0.5;8.5

22c;De Fusco Dario;*;;;;;;;;;53.0
-;;;Vonlanthen Cyril;*;;;;;;;8.75
+;5;8.75;Berger René;**;23;52.75;5;8.75;0;0.0;9.75
-;7;18.5;Reust Markus;*;17;54.25;7;18.5;0;0.0;8.75
o;9;27.25;Steffen Konrad;*;14;55.0;8;27.5;-1;0.25;8.5
-;15;35.75;Ledermann Patrik;;22;53.0;16;35.5;1;-0.25;8.75
o;19;44.5;Wehrli Christian;*;13;55.25;16;45.25;-3;0.75;8.5

22d;Tschan Matthias;;;;;;;;;;53.0
+;;;Schwab Marc;;;;;;;;10.0
o;2;10.0;Gehrig Philipp;**;6;57.0;5;8.75;3;-1.25;8.75
o;6;18.75;Sommer Roman;*;11;55.75;6;18.75;0;0.0;8.5
o;9;27.25;Gäggeler Adrian;*;12;55.5;9;27.25;0;0.0;8.75
o;14;36.0;Reust Markus;*;17;54.25;14;36.0;0;0.0;8.5
o;19;44.5;Neukomm Thierry;;18;54.0;20;44.25;1;-0.25;8.5

22e;Ledermann Patrik;;;;;;;;;;53.0
+;;;Neukomm Thierry;;;;;;;;10.0
o;2;10.0;Walther Adrian (2001);*;17;54.25;5;8.75;3;-1.25;8.5
o;7;18.5;Aellen Philipp;*;14;55.0;8;18.25;1;-0.25;8.5
o;10;27.0;Michel Jonas;*;14;55.0;12;26.5;2;-0.5;8.5
-;16;35.5;De Fusco Dario;*;22;53.0;15;35.75;-1;0.25;8.75
-;20;44.25;Kestenholz Christian;;23;52.75;21;44.0;1;-0.25;8.75

22f;Ducry Antoine;**;;;;;;;;;53.0
o;;;Sommer Roman;*;;;;;;;8.5
o;6;8.5;Mathys Simon;**;6;57.0;5;8.75;-1;0.25;8.5
-;12;17.0;Dummermuth Ueli;;21;53.25;10;17.5;-2;0.5;8.75
+;15;25.75;Klossner Sven;;33;34.25;15;25.75;0;0.0;10.0
o;15;35.75;Stoll Simon;**;18;54.0;15;35.75;0;0.0;8.5
o;20;44.25;Stucki Marcel (2000);*;18;54.0;20;44.25;0;0.0;8.75

23a;Gerber Christoph;;;;;;;;;;52.75
+;;;Grossenbacher Roger;;;;;;;;10.0
o;2;10.0;Kämpf Alexander;**;15;54.75;5;8.75;3;-1.25;8.5
o;7;18.5;Steffen Valentin;*;16;54.5;7;18.5;0;0.0;8.5
o;10;27.0;Pulfer Thomas;*;18;54.0;10;27.0;0;0.0;8.5
o;16;35.5;Hadorn Marco;;16;54.5;15;35.75;-1;0.25;8.5
-;21;44.0;Steffen Patrick;;23;52.75;21;44.0;0;0.0;8.75

23b;Salzmann Simon;*;;;;;;;;;52.75
o;;;Wüthrich Philip;*;;;;;;;8.5
-;6;8.5;Blatter Remo (2000);;18;54.0;3;9.75;-3;1.25;8.75
+;11;17.25;Aeschlimann Ueli;;31;34.75;10;17.5;-1;0.25;10.0
o;9;27.25;von Büren Stephan;*;8;56.5;5;28.25;-4;1.0;8.5
o;15;35.75;Inniger Thomas;**;14;55.0;12;36.5;-3;0.75;8.5
o;20;44.25;Bremgartner Marcel;*;19;53.75;21;44.0;1;-0.25;8.5

23c;Kestenholz Christian;;;;;;;;;;52.75
-;;;Wicki Nicolas;;;;;;;;8.75
o;5;8.75;Jäggi Lukas;*;11;55.75;4;9.0;-1;0.25;8.5
+;11;17.25;Kneubühl Christian (2001);;33;34.25;11;17.25;0;0.0;9.75
o;10;27.0;Reichen Stefan;;18;54.0;10;27.0;0;0.0;8.5
o;16;35.5;Waber Lorenz;*;18;54.0;16;35.5;0;0.0;8.5
-;21;44.0;Ledermann Patrik;;22;53.0;20;44.25;-1;0.25;8.75

23d;Müller Marc;;;;;;;;;;52.75
+;;;Steffen Patrick;;;;;;;;9.75
-;3;9.75;Michel Jonas;*;14;55.0;5;8.75;2;-1.0;8.75
o;7;18.5;Leuppi Samir;**;11;55.75;8;18.25;1;-0.25;8.5
-;10;27.0;Wüthrich Philip;*;11;55.75;10;27.0;0;0.0;8.75
o;15;35.75;Blaser Roman;*;15;54.75;14;36.0;-1;0.25;8.5
o;20;44.25;Blatter Remo (2000);;18;54.0;20;44.25;0;0.0;8.5

23e;Berger René;**;;;;;;;;;52.75
-;;;Kämpf Marcel;*;;;;;;;8.75
o;5;8.75;De Fusco Dario;*;22;53.0;5;8.75;0;0.0;8.5
o;11;17.25;Zehnder Jürg;*;16;54.5;9;17.75;-2;0.5;8.5
+;15;25.75;Santschi Hans;;33;34.25;15;25.75;0;0.0;9.75
o;16;35.5;Grossen John;*;17;54.25;14;36.0;-2;0.5;8.5
-;21;44.0;Zosso Remo;**;21;53.25;19;44.5;-2;0.5;8.75

23f;Bühler Marcel;;;;;;;;;;52.75
o;;;Niederhäuser Martin;;;;;;;;8.5
+;6;8.5;Grossenbacher Roger;;34;34.0;6;8.5;0;0.0;10.0
-;7;18.5;Aebi Roger;;30;35.0;10;17.5;3;-1.0;8.75
o;9;27.25;Gottofrey Marc;**;16;54.5;10;27.0;1;-0.25;8.5
o;15;35.75;Wüthrich Philip;*;11;55.75;15;35.75;0;0.0;8.5
o;20;44.25;Walther Adrian (2001);*;17;54.25;20;44.25;0;0.0;8.5

23g;Steffen Patrick;;;;;;;;;;52.75
o;;;Müller Marc;;;;;;;;8.5
+;6;8.5;Willimann Stefan;;29;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Wehrli Christian;*;13;55.25;8;18.25;1;-0.25;8.5
o;10;27.0;Joss David;*;20;53.5;11;26.75;1;-0.25;8.5
o;16;35.5;Kappeler Ruedi;;16;54.5;15;35.75;-1;0.25;8.5
-;21;44.0;Gerber Christoph;;23;52.75;21;44.0;0;0.0;8.75

24a;Vonlanthen Cyril;*;;;;;;;;;52.5
-;;;De Fusco Dario;*;;;;;;;8.75
o;5;8.75;von Weissenﬂuh Kilian;**;11;55.75;5;8.75;0;0.0;8.5
+;11;17.25;Hadorn Christian;*;16;54.5;10;17.5;-1;0.25;9.75
-;10;27.0;Galli Markus;;22;53.0;9;27.25;-1;0.25;8.5
o;16;35.5;Habegger Heinz;**;18;54.0;16;35.5;0;0.0;8.5
o;21;44.0;Biäsch Christian;*;16;54.5;19;44.5;-2;0.5;8.5

25a;Wiget Michael;*;;;;;;;;;47.0
+;;;Zahler André;*;;;;;;;10.0
o;2;10.0;Wenger Kilian;***;2;58.75;2;10.0;0;0.0;8.5
+;7;18.5;Kappeler Ruedi;;16;54.5;7;18.5;0;0.0;10.0
+;4;28.5;Schenk Patrick;***;11;55.75;9;27.25;5;-1.25;9.75
o;5;38.25;Steffen Gustav;*;8;56.5;5;38.25;0;0.0;8.75

26a;Kämpf Lorenz;*;;;;;;;;;44.25
o;;;Locher Alfred;*;;;;;;;8.75
o;5;8.75;Waeber Marco;;17;54.25;2;10.0;-3;1.25;8.5
+;11;17.25;Röthlisberger Florian;;33;34.25;11;17.25;0;0.0;9.75
o;10;27.0;Roth Philipp;***;13;55.25;10;27.0;0;0.0;8.5
o;16;35.5;Schlüchter Colin;*;12;55.5;14;36.0;-2;0.5;8.75

27a;Nötzli Reto;***;;;;;;;;;36.0
o;;;Wenger Kilian;***;;;;;;;8.5
o;6;8.5;Gobeli Patrick;**;6;57.0;2;10.0;-4;1.5;8.75
-;11;17.25;Blaser Roman;*;15;54.75;7;18.5;-4;1.25;8.75
+;14;26.0;Biäsch Christian;*;16;54.5;9;27.25;-5;1.25;10.0

28a;Steudler Kevin (2001);*;;;;;;;;;35.5
-;;;Blaser Roman;*;;;;;;;8.75
+;5;8.75;Blaser Jan;*;31;34.75;5;8.75;0;0.0;9.75
o;7;18.5;Ramseier Thomas;*;12;55.5;7;18.5;0;0.0;8.5
o;10;27.0;Kropf Thomas;*;19;53.75;11;26.75;1;-0.25;8.5

29a;Schwab Marc;;;;;;;;;;35.25
o;;;Tschan Matthias;;;;;;;;8.5
o;6;8.5;Gehrig Kilian;;35;18.5;6;8.5;0;0.0;8.5
o;12;17.0;Willimann Stefan;;29;35.25;12;17.0;0;0.0;8.5
+;16;25.5;Graber Bänz;;33;34.25;15;25.75;-1;0.25;9.75

29b;Walther Patrick;*;;;;;;;;;35.25
o;;;Reust Markus;*;;;;;;;8.5
o;6;8.5;Schwander Severin;*;10;56.0;5;8.75;-1;0.25;8.5
o;12;17.0;Schenk Adrian;*;17;54.25;12;17.0;0;0.0;8.5
+;16;25.5;Kneubühl Christian (2001);;33;34.25;15;25.75;-1;0.25;9.75

29c;Willimann Stefan;;;;;;;;;;35.25
o;;;Röthlisberger Simon;;;;;;;;8.5
o;6;8.5;Steffen Patrick;;23;52.75;6;8.5;0;0.0;8.5
+;12;17.0;Schwab Marc;;29;35.25;12;17.0;0;0.0;9.75
o;11;26.75;Grossen John;*;17;54.25;13;26.25;2;-0.5;8.5

29d;Siegenthaler Jürg;;;;;;;;;;35.25
o;;;Blatter Remo (2000);;;;;;;;8.5
o;6;8.5;Reichen Stefan;;18;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Grossenbacher Roger;;34;34.0;12;17.0;0;0.0;9.75
o;11;26.75;Hadorn Christian;*;16;54.5;13;26.25;2;-0.5;8.5

30a;Berger Lorenz;*;;;;;;;;;35.0
-;;;Stucki Marcel (2000);*;;;;;;;8.75
o;5;8.75;Ramseier Fritz;**;12;55.5;4;9.0;-1;0.25;8.5
-;11;17.25;Jenzer Janick;;30;35.0;11;17.25;0;0.0;9.0
-;13;26.25;Wyss Kaspar (2000);;31;34.75;14;26.0;1;-0.25;8.75

30b;Aebi Roger;;;;;;;;;;35.0
-;;;Nufer Sämi;;;;;;;;8.75
-;5;8.75;Dummermuth Ueli;;21;53.25;5;8.75;0;0.0;8.75
-;10;17.5;Bühler Marcel;;23;52.75;7;18.5;-3;1.0;8.75
-;13;26.25;Kämpf Marcel;*;31;34.75;14;26.0;1;-0.25;8.75

30c;Jenzer Janick;;;;;;;;;;35.0
o;;;Waeber Marco;;;;;;;;8.5
-;6;8.5;Graber Bänz;;33;34.25;6;8.5;0;0.0;8.75
-;11;17.25;Berger Lorenz;*;30;35.0;11;17.25;0;0.0;9.0
-;13;26.25;Blaser Jan;*;31;34.75;14;26.0;1;-0.25;8.75

30d;Graf Simon (2001);;;;;;;;;;35.0
-;;;Rüegsegger Christian (2001);;;;;;;;9.0
o;4;9.0;Rolli Martin;**;17;54.25;6;8.5;2;-0.5;8.5
o;10;17.5;Hadorn Marco;;16;54.5;10;17.5;0;0.0;8.75
-;13;26.25;Aeschlimann Ueli;;31;34.75;14;26.0;1;-0.25;8.75

30e;Fankhauser Thomas;*;;;;;;;;;35.0
-;;;Burger Matthieu (2001);*;;;;;;;8.75
o;5;8.75;Wüthrich Niklaus;**;13;55.25;6;8.5;1;-0.25;8.75
o;10;17.5;Fankhauser Reto;*;14;55.0;10;17.5;0;0.0;8.5
-;14;26.0;Wicki Nicolas;;30;35.0;14;26.0;0;0.0;9.0

30f;Wicki Nicolas;;;;;;;;;;35.0
-;;;Kestenholz Christian;;;;;;;;8.75
o;5;8.75;Mösching Andy;*;21;53.25;5;8.75;0;0.0;8.5
-;11;17.25;Wyss Kaspar (2000);;31;34.75;11;17.25;0;0.0;8.75
-;14;26.0;Fankhauser Thomas;*;30;35.0;14;26.0;0;0.0;9.0

30g;Rüegsegger Christian (2001);;;;;;;;;;35.0
-;;;Graf Simon (2001);;;;;;;;9.0
o;4;9.0;Gottofrey Marc;**;16;54.5;6;8.5;2;-0.5;8.75
o;9;17.75;Burger Matthieu (2001);*;19;53.75;11;17.25;2;-0.5;8.5
o;13;26.25;Beer Peter;;14;55.0;11;26.75;-2;0.5;8.75

31a;Blaser Jan;*;;;;;;;;;34.75
-;;;Fankhauser Reto;*;;;;;;;8.75
o;5;8.75;Steudler Kevin (2001);*;28;35.5;5;8.75;0;0.0;8.5
-;11;17.25;Brönnimann Christian;;31;34.75;10;17.5;-1;0.25;8.75
-;14;26.0;Jenzer Janick;;30;35.0;13;26.25;-1;0.25;8.75

31b;Brönnimann Christian;;;;;;;;;;34.75
-;;;Heim Michael (2001);;;;;;;;9.0
o;4;9.0;Blaser Roman;*;15;54.75;5;8.75;1;-0.25;8.5
-;10;17.5;Blaser Jan;*;31;34.75;11;17.25;1;-0.25;8.75
o;13;26.25;Dummermuth Ueli;;21;53.25;13;26.25;0;0.0;8.5

31c;Wyss Kaspar (2000);;;;;;;;;;34.75
-;;;Aeschlimann Ueli;;;;;;;;8.75
o;5;8.75;Zangger Dominik;*;14;55.0;5;8.75;0;0.0;8.5
-;11;17.25;Wicki Nicolas;;30;35.0;11;17.25;0;0.0;8.75
-;14;26.0;Berger Lorenz;*;30;35.0;13;26.25;-1;0.25;8.75

31d;Aeschlimann Ueli;;;;;;;;;;34.75
-;;;Wyss Kaspar (2000);;;;;;;;8.75
-;5;8.75;Santschi Hans;;33;34.25;6;8.5;1;-0.25;8.75
o;10;17.5;Salzmann Simon;*;23;52.75;11;17.25;1;-0.25;8.5
-;14;26.0;Graf Simon (2001);;30;35.0;13;26.25;-1;0.25;8.75

31e;Kämpf Marcel;*;;;;;;;;;34.75
-;;;Berger René;**;;;;;;;8.75
-;5;8.75;Gerber Thomas;*;21;53.25;5;8.75;0;0.0;8.75
o;10;17.5;Stucki Marcel (2000);*;18;54.0;10;17.5;0;0.0;8.5
-;14;26.0;Aebi Roger;;30;35.0;13;26.25;-1;0.25;8.75

32a;Heim Michael (2001);;;;;;;;;;34.5
-;;;Brönnimann Christian;;;;;;;;8.75
o;5;8.75;Renfer Lukas;**;5;57.25;5;8.75;0;0.0;8.5
-;11;17.25;Dubler Mike;;32;34.5;11;17.25;0;0.0;8.75
o;14;26.0;Gerber Thomas;*;21;53.25;13;26.25;-1;0.25;8.5

32b;Eggimann Marco;;;;;;;;;;34.5
-;;;Klossner Sven;;;;;;;;8.75
o;5;8.75;Schletti Andreas;*;18;54.0;6;8.5;1;-0.25;8.5
-;11;17.25;Gnägi Damian;;32;34.5;11;17.25;0;0.0;8.75
o;14;26.0;Nufer Sämi;;22;53.0;14;26.0;0;0.0;8.5

32c;Dubler Mike;;;;;;;;;;34.5
-;;;Kneubühl Christian (2001);;;;;;;;8.75
o;5;8.75;Wittwer Jan;*;15;54.75;5;8.75;0;0.0;8.5
-;11;17.25;Heim Michael (2001);;32;34.5;11;17.25;0;0.0;8.75
o;14;26.0;Schenk Thomas;*;16;54.5;15;25.75;1;-0.25;8.5

32d;Gnägi Damian;;;;;;;;;;34.5
-;;;Galli Markus;;;;;;;;8.75
o;5;8.75;Graber Alfred;*;18;54.0;5;8.75;0;0.0;8.5
-;11;17.25;Eggimann Marco;;32;34.5;11;17.25;0;0.0;8.75
o;14;26.0;Bremgartner Marcel;*;19;53.75;15;25.75;1;-0.25;8.5

33a;Santschi Hans;;;;;;;;;;34.25
o;;;Rüegsegger Ueli;;;;;;;;8.5
-;6;8.5;Aeschlimann Ueli;;31;34.75;5;8.75;-1;0.25;8.75
o;11;17.25;Biäsch Christian;*;16;54.5;11;17.25;0;0.0;8.5
o;15;25.75;Berger René;**;23;52.75;15;25.75;0;0.0;8.5

33b;Graber Bänz;;;;;;;;;;34.25
o;;;Beer Peter;;;;;;;;8.5
-;6;8.5;Jenzer Janick;;30;35.0;6;8.5;0;0.0;8.75
o;11;17.25;Nägeli Daniel;*;18;54.0;11;17.25;0;0.0;8.5
o;15;25.75;Schwab Marc;;29;35.25;16;25.5;1;-0.25;8.5

33c;Röthlisberger Florian;;;;;;;;;;34.25
o;;;Wüthrich Bruno (2000);;;;;;;;8.5
o;6;8.5;Neukomm Thierry;;18;54.0;6;8.5;0;0.0;8.75
o;11;17.25;Kämpf Lorenz;*;26;44.25;11;17.25;0;0.0;8.5
o;15;25.75;Urfer Simon;*;20;53.5;13;26.25;-2;0.5;8.5

33d;Kneubühl Christian (2001);;;;;;;;;;34.25
-;;;Dubler Mike;;;;;;;;8.75
o;5;8.75;Klossner Adrian;*;11;55.75;6;8.5;1;-0.25;8.5
o;11;17.25;Kestenholz Christian;;23;52.75;11;17.25;0;0.0;8.5
o;15;25.75;Walther Patrick;*;29;35.25;16;25.5;1;-0.25;8.5

33e;Klossner Sven;;;;;;;;;;34.25
-;;;Eggimann Marco;;;;;;;;8.75
o;5;8.75;Thomet Adrian;**;13;55.25;6;8.5;1;-0.25;8.5
o;11;17.25;Galli Markus;;22;53.0;11;17.25;0;0.0;8.5
o;15;25.75;Ducry Antoine;**;22;53.0;15;25.75;0;0.0;8.5

34a;Grossenbacher Roger;;;;;;;;;;34.0
o;;;Gerber Christoph;;;;;;;;8.5
o;6;8.5;Bühler Marcel;;23;52.75;6;8.5;0;0.0;8.5
o;12;17.0;Siegenthaler Jürg;;29;35.25;12;17.0;0;0.0;8.5
o;16;25.5;Stoll Simon;**;18;54.0;15;25.75;-1;0.25;8.5

35a;Niederhäuser Martin;;;;;;;;;;18.5
+;;;Bühler Marcel;;;;;;;;10.0
o;2;10.0;Steffen Gustav;*;8;56.5;3;9.75;1;-0.25;8.5

35b;Gehrig Kilian;;;;;;;;;;18.5
o;;;Kappeler Ruedi;;;;;;;;8.5
+;6;8.5;Schwab Marc;;29;35.25;6;8.5;0;0.0;10.0

