2753-2015-08-23_Bernisch-Kantonales_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;59.75
+;4;8.75;Röthlisberger Simon;*;8;56.25;2;9.75;-2;1.0;10.0
-;5;18.75;Meuter Adrian;**;15;54.5;5;18.75;0;0.0;9.0
+;7;27.75;Wüthrich Niklaus;**;13;55.0;5;28.25;-2;0.5;10.0
+;7;37.75;Wälchli Roger;*;12;55.25;5;38.25;-2;0.5;10.0
-;4;47.75;Roth Dominik;*;8;56.25;6;47.25;2;-0.5;9.0

7a;Anderegg Simon;***;;;;;;;;;56.5
-;;;Aeschbacher Matthias;**;;;;;;;8.75
+;4;8.75;Wälchli Roger;*;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Wälti Christoph;**;19;53.5;5;18.75;0;0.0;10.0
-;3;28.75;Zaugg Thomas;***;4;57.25;3;28.75;0;0.0;8.75
+;8;37.5;Fankhauser Reto;*;14;54.75;9;37.25;1;-0.25;10.0
-;5;47.5;Moser Michael;*;8;56.25;6;47.25;1;-0.25;9.0

7b;Stalder Remo;***;;;;;;;;;56.5
+;;;Käser Remo;**;;;;;;;10.0
o;1;10.0;Sempach Thomas;***;2;58.0;2;9.75;1;-0.25;8.5
+;6;18.5;Steffen Gustav;*;15;54.5;6;18.5;0;0.0;9.75
o;5;28.25;Siegenthaler Matthias;***;4;57.25;3;28.75;-2;0.5;8.5
+;11;36.75;Bremgartner Marcel;*;16;54.25;10;37.0;-1;0.25;10.0
+;8;46.75;Michel Jonas;*;13;55.0;9;46.5;1;-0.25;9.75

7c;Wyss Kilian;**;;;;;;;;;56.5
+;;;Roth Dominik;*;;;;;;;10.0
-;1;10.0;Imhof Andi;***;8;56.25;5;8.5;4;-1.5;9.0
+;4;19.0;Pulfer Thomas;*;16;54.25;5;18.75;1;-0.25;9.75
o;3;28.75;Zenger Niklaus;***;12;55.25;5;28.25;2;-0.5;8.75
-;8;37.5;Leuenberger Michael 1;*;13;55.0;9;37.25;1;-0.25;9.0
+;9;46.5;Meuter Adrian;**;15;54.5;11;46.0;2;-0.5;10.0

8a;Röthlisberger Simon;*;;;;;;;;;56.25
+;;;Schenk Patrick;**;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;6;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Kestenholz Christian;;17;54.0;7;18.25;0;0.0;10.0
o;5;28.25;Wickli Beat;**;9;56.0;6;28.0;1;-0.25;8.5
+;11;36.75;Dumelin David;*;13;55.0;11;36.75;0;0.0;9.75
+;9;46.5;Schenkel Remo;*;11;55.5;7;47.0;-2;0.5;9.75

8b;Imhof Andi;***;;;;;;;;;56.25
o;;;Stucki Christian;***;;;;;;;8.5
-;5;8.5;Wyss Kilian;**;7;56.5;1;10.0;-4;1.5;9.0
+;8;17.5;Krebs Ueli;*;22;52.75;6;18.5;-2;1.0;10.0
-;8;27.5;Roth Dominik;*;8;56.25;4;28.5;-4;1.0;8.75
+;13;36.25;Urfer Simon;*;14;54.75;13;36.25;0;0.0;10.0
+;10;46.25;Wüthrich Niklaus;**;13;55.0;9;46.5;-1;0.25;10.0

8c;Moser Michael;*;;;;;;;;;56.25
-;;;Schütz Urs;**;;;;;;;8.75
+;4;8.75;von Känel Daniel;*;30;34.0;5;8.5;1;-0.25;9.75
+;6;18.5;Kappeler Ruedi;;12;55.25;6;18.5;0;0.0;10.0
-;4;28.5;Roschi Ruedi;**;11;55.5;4;28.5;0;0.0;8.75
+;9;37.25;Iseli Marco (1997);;10;55.75;9;37.25;0;0.0;10.0
-;6;47.25;Anderegg Simon;***;7;56.5;5;47.5;-1;0.25;9.0

8d;Roth Dominik;*;;;;;;;;;56.25
o;;;Wyss Kilian;**;;;;;;;8.5
+;5;8.5;Kobel Lorenz;;18;53.75;4;8.75;-1;0.25;10.0
+;6;18.5;Gobeli Patrick (1998);*;13;55.0;6;18.5;0;0.0;10.0
-;4;28.5;Imhof Andi;***;8;56.25;8;27.5;4;-1.0;8.75
+;9;37.25;Waber Lorenz;*;14;54.75;9;37.25;0;0.0;10.0
-;6;47.25;Kämpf Bernhard;***;6;56.75;4;47.75;-2;0.5;9.0

8e;Aeschbacher Matthias;**;;;;;;;;;56.25
-;;;Anderegg Simon;***;;;;;;;8.75
+;4;8.75;Gobeli Patrick (1998);*;13;55.0;1;10.0;-3;1.25;10.0
+;5;18.75;Zehnder Jürg;*;11;55.5;5;18.75;0;0.0;10.0
-;3;28.75;Gnägi Florian;***;4;57.25;4;28.5;1;-0.25;8.75
-;8;37.5;Lauper Hansruedi;***;9;56.0;9;37.25;1;-0.25;8.75
+;10;46.25;Renfer Lukas;*;13;55.0;9;46.5;-1;0.25;10.0

9a;Lauper Hansruedi;***;;;;;;;;;56.0
-;;;Luginbühl Hanspeter;**;;;;;;;8.75
+;4;8.75;Heiniger Michael;*;23;52.5;2;9.75;-2;1.0;10.0
+;5;18.75;Scheuner Michael;*;17;54.0;5;18.75;0;0.0;9.75
-;4;28.5;Glarner Matthias;***;10;55.75;4;28.5;0;0.0;8.75
-;9;37.25;Aeschbacher Matthias;**;8;56.25;8;37.5;-1;0.25;8.75
+;11;46.0;Stämpfli Lorenz;;15;54.5;11;46.0;0;0.0;10.0

9b;Wickli Beat;**;;;;;;;;;56.0
+;;;Kropf Thomas;*;;;;;;;9.75
o;2;9.75;Zaugg Thomas;***;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Berger Lorenz (1997);;22;52.75;6;18.5;-1;0.25;9.75
+;6;28.0;Röthlisberger Simon;*;8;56.25;5;28.25;-1;0.25;9.75
o;7;37.75;Bieri Christoph;***;4;57.25;9;37.25;2;-0.5;8.5
+;10;46.25;Studer Stefan;**;14;54.75;11;46.0;1;-0.25;9.75

9c;Gerber Christian;**;;;;;;;;;56.0
+;;;Bloch Dominic;**;;;;;;;10.0
o;1;10.0;Glarner Matthias;***;10;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Iseli Marco (1997);;10;55.75;1;20.0;-5;1.5;9.75
-;5;28.25;Käser Remo;**;5;57.0;5;28.25;0;0.0;9.0
+;9;37.25;Graber Alfred;*;14;54.75;9;37.25;0;0.0;9.75
-;7;47.0;Leuenberger Michael 1;*;13;55.0;10;46.25;3;-0.75;9.0

10a;Binggeli Dominik;*;;;;;;;;;55.75
+;;;Weyermann Michael;*;;;;;;;10.0
-;1;10.0;Waber Lorenz;*;14;54.75;2;9.75;1;-0.25;8.75
o;5;18.75;Zenger Niklaus;***;12;55.25;6;18.5;1;-0.25;8.5
+;9;27.25;Grossen John;;21;53.0;9;27.25;0;0.0;10.0
+;9;37.25;Leuenberger Michael 2;**;12;55.25;11;36.75;2;-0.5;10.0
o;6;47.25;Sempach Thomas;***;2;58.0;3;48.0;-3;0.75;8.5

10b;Iseli Marco (1997);;;;;;;;;;55.75
+;;;Burger Lionel (1997);;;;;;;;10.0
+;1;10.0;Rolli Martin;**;22;52.75;4;8.75;3;-1.25;10.0
o;1;20.0;Gerber Christian;**;9;56.0;6;18.5;5;-1.5;8.5
-;4;28.5;Weyermann Florian;*;11;55.5;5;28.25;1;-0.25;8.75
o;9;37.25;Moser Michael;*;8;56.25;9;37.25;0;0.0;8.5
+;12;45.75;Pulfer Thomas;*;16;54.25;12;45.75;0;0.0;10.0

10c;Dind Samuel;**;;;;;;;;;55.75
o;;;Lengacher Jonas;**;;;;;;;8.5
o;5;8.5;Berger René;**;12;55.25;4;8.75;-1;0.25;8.5
+;10;17.0;Zürcher Kurt;*;16;54.25;10;17.0;0;0.0;10.0
o;10;27.0;Blaser Roman;*;12;55.25;9;27.25;-1;0.25;8.75
+;15;35.75;Rolli Martin;**;22;52.75;15;35.75;0;0.0;10.0
+;12;45.75;Mosimann Fabian;;16;54.25;12;45.75;0;0.0;10.0

10d;von Büren Stephan;*;;;;;;;;;55.75
-;;;Graber Bruno;**;;;;;;;8.75
+;4;8.75;Heeb Thierry;;25;35.25;2;9.75;-2;1.0;9.75
+;6;18.5;Wittwer Jan (1997);*;17;54.0;6;18.5;0;0.0;9.75
-;5;28.25;Schmid Reto;**;15;54.5;4;28.5;-1;0.25;8.75
o;10;37.0;Wüthrich Niklaus;**;13;55.0;11;36.75;1;-0.25;8.75
+;12;45.75;Kobel Lorenz;;18;53.75;14;45.25;2;-0.5;10.0

10e;Glarner Matthias;***;;;;;;;;;55.75
-;;;Schuler Christian;***;;;;;;;8.75
+;4;8.75;Gerber Christian;**;9;56.0;1;10.0;-3;1.25;9.75
+;6;18.5;Zaugg Christian;*;18;53.75;6;18.5;0;0.0;10.0
-;4;28.5;Lauper Hansruedi;***;9;56.0;4;28.5;0;0.0;8.75
+;9;37.25;Studer Stefan;**;14;54.75;8;37.5;-1;0.25;9.75
-;7;47.0;Roth Philipp;*;11;55.5;8;46.75;1;-0.25;8.75

10f;Schenkel Adrian;**;;;;;;;;;55.75
-;;;Ramseier Fritz;*;;;;;;;8.75
+;4;8.75;Blaser Jan;*;28;34.5;4;8.75;0;0.0;10.0
+;5;18.75;Reichen Stefan;;15;54.5;1;20.0;-4;1.25;9.75
o;4;28.5;Bieri Christoph;***;4;57.25;8;27.5;4;-1.0;8.5
+;10;37.0;Gobeli Patrick (1998);*;13;55.0;11;36.75;1;-0.25;10.0
o;7;47.0;Gnägi Florian;***;4;57.25;6;47.25;-1;0.25;8.75

10g;Joss David;;;;;;;;;;55.75
+;;;Wittwer Jan (1997);*;;;;;;;10.0
-;1;10.0;Ramseier Fritz;*;15;54.5;4;8.75;3;-1.25;8.75
o;5;18.75;Schmid Reto;**;15;54.5;6;18.5;1;-0.25;8.5
+;9;27.25;Dummermuth Ueli;;18;53.75;10;27.0;1;-0.25;9.75
-;10;37.0;Wälti Christoph;**;19;53.5;14;36.0;4;-1.0;8.75
+;12;45.75;Steffen Gustav;*;15;54.5;12;45.75;0;0.0;10.0

11a;Weyermann Florian;*;;;;;;;;;55.5
+;;;Tschanz Richard;*;;;;;;;9.75
+;2;9.75;Klossner Adrian;*;15;54.5;1;10.0;-1;0.25;10.0
o;2;19.75;Sempach Thomas;***;2;58.0;3;19.5;1;-0.25;8.5
-;5;28.25;Iseli Marco (1997);;10;55.75;4;28.5;-1;0.25;8.75
+;10;37.0;Kestenholz Christian;;17;54.0;11;36.75;1;-0.25;10.0
o;7;47.0;Schuler Christian;***;5;57.0;7;47.0;0;0.0;8.5

11b;Roschi Ruedi;**;;;;;;;;;55.5
+;;;Studer Stefan;**;;;;;;;10.0
o;1;10.0;Gnägi Florian;***;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Gerber Fritz;;22;52.75;5;18.75;-1;0.25;10.0
-;4;28.5;Moser Michael;*;8;56.25;4;28.5;0;0.0;8.75
+;9;37.25;Meuter Adrian;**;15;54.5;8;37.5;-1;0.25;9.75
o;7;47.0;Zaugg Thomas;***;4;57.25;6;47.25;-1;0.25;8.5

11c;Schenkel Remo;*;;;;;;;;;55.5
+;;;Leuenberger Michael 2;**;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Bremgartner Marcel;*;16;54.25;6;18.5;0;0.0;10.0
+;4;28.5;Reichen Stefan;;15;54.5;4;28.5;0;0.0;10.0
o;4;38.5;Stucki Christian;***;1;59.75;1;39.75;-3;1.25;8.5
o;7;47.0;Röthlisberger Simon;*;8;56.25;9;46.5;2;-0.5;8.5

11d;Rhyner Michael;**;;;;;;;;;55.5
-;;;Zaugg Thomas;***;;;;;;;8.75
+;4;8.75;Graber Alfred;*;14;54.75;1;10.0;-3;1.25;9.75
o;6;18.5;Luginbühl Hanspeter;**;6;56.75;6;18.5;0;0.0;8.5
-;10;27.0;Kämpf Alexander;**;18;53.75;8;27.5;-2;0.5;8.75
+;15;35.75;Gäggeler Adrian;*;16;54.25;15;35.75;0;0.0;10.0
+;12;45.75;Zürcher Remo;*;16;54.25;12;45.75;0;0.0;9.75

11e;Kropf Thomas;*;;;;;;;;;55.5
o;;;Wickli Beat;**;;;;;;;8.5
+;5;8.5;Kestenholz Christian;;17;54.0;2;9.75;-3;1.25;10.0
o;6;18.5;Schenk Patrick;**;14;54.75;8;17.5;2;-1.0;8.5
+;10;27.0;Wittwer Jan (1997);*;17;54.0;10;27.0;0;0.0;10.0
o;10;37.0;Bloch Dominic;**;6;56.75;10;37.0;0;0.0;8.5
+;13;45.5;Zaugg Christian;*;18;53.75;14;45.25;1;-0.25;10.0

11f;Zehnder Jürg;*;;;;;;;;;55.5
-;;;Meyer Reto;*;;;;;;;8.75
+;4;8.75;Siegrist Silas;*;25;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Aeschbacher Matthias;**;8;56.25;5;18.75;0;0.0;8.5
-;9;27.25;Ramseier Thomas;;19;53.5;9;27.25;0;0.0;8.75
+;14;36.0;Borcard Johann;**;17;54.0;15;35.75;1;-0.25;9.75
+;12;45.75;Scheuner Michael;*;17;54.0;13;45.5;1;-0.25;9.75

11g;Roth Philipp;*;;;;;;;;;55.5
+;;;Gäggeler Adrian;*;;;;;;;9.75
o;2;9.75;Schuler Christian;***;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Aellen Florian;;25;35.25;7;18.25;0;0.0;9.75
-;6;28.0;Schütz Urs;**;11;55.5;5;28.25;-1;0.25;8.75
+;11;36.75;Zaugg Christian;*;18;53.75;11;36.75;0;0.0;10.0
-;8;46.75;Glarner Matthias;***;10;55.75;7;47.0;-1;0.25;8.75

11h;Zwyssig Raphael;***;;;;;;;;;55.5
o;;;Sempach Thomas;***;;;;;;;8.5
+;5;8.5;Schenkel Remo;*;11;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Graber Bruno;**;20;53.25;8;17.5;1;-0.75;9.75
-;6;28.0;Luginbühl Hanspeter;**;6;56.75;4;28.5;-2;0.5;8.75
+;11;36.75;Kämpf Lorenz;*;16;54.25;10;37.0;-1;0.25;10.0
-;8;46.75;Schütz Urs;**;11;55.5;8;46.75;0;0.0;8.75

11i;Schütz Urs;**;;;;;;;;;55.5
-;;;Moser Michael;*;;;;;;;8.75
+;4;8.75;Habegger Jürg;*;29;34.25;4;8.75;0;0.0;9.75
+;6;18.5;Berger René;**;12;55.25;6;18.5;0;0.0;9.75
-;5;28.25;Roth Philipp;*;11;55.5;6;28.0;1;-0.25;8.75
+;10;37.0;Steffen Gustav;*;15;54.5;10;37.0;0;0.0;9.75
-;8;46.75;Zwyssig Raphael;***;11;55.5;8;46.75;0;0.0;8.75

12a;Mathys Simon;*;;;;;;;;;55.25
+;;;Wüthrich Niklaus;**;;;;;;;9.75
+;2;9.75;Aellen Florian;;25;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Stucki Christian;***;1;59.75;2;19.75;0;0.0;8.5
o;5;28.25;Renfer Lukas;*;13;55.0;5;28.25;0;0.0;8.5
+;11;36.75;Reichen Stefan;;15;54.5;10;37.0;-1;0.25;9.75
-;9;46.5;Zenger Niklaus;***;12;55.25;9;46.5;0;0.0;8.75

12b;Blaser Roman;*;;;;;;;;;55.25
o;;;Waber Lorenz;*;;;;;;;8.5
+;5;8.5;Burger Fredy;*;17;54.0;5;8.5;0;0.0;10.0
-;6;18.5;Urfer Simon;*;14;54.75;8;17.5;2;-1.0;8.75
+;9;27.25;Dind Samuel;**;10;55.75;10;27.0;1;-0.25;9.75
+;10;37.0;Kappeler Ruedi;;12;55.25;11;36.75;1;-0.25;9.75
o;8;46.75;Lengacher Jonas;**;3;57.5;5;47.5;-3;0.75;8.5

12c;Wüthrich Philip;;;;;;;;;;55.25
+;;;Berger Lorenz (1997);;;;;;;;10.0
-;1;10.0;Kämpf Alexander;**;18;53.75;4;8.75;3;-1.25;8.75
o;5;18.75;Reust Markus;*;12;55.25;5;18.75;0;0.0;8.5
o;9;27.25;Graber Alfred;*;14;54.75;8;27.5;-1;0.25;8.5
+;15;35.75;Vonlanthen Cyril;;22;52.75;15;35.75;0;0.0;9.75
+;13;45.5;Hofstetter Christian;*;18;53.75;14;45.25;1;-0.25;9.75

12d;Zenger Niklaus;***;;;;;;;;;55.25
+;;;Borcard Johann;**;;;;;;;10.0
o;1;10.0;Stucki Christian;***;1;59.75;2;9.75;1;-0.25;8.5
+;6;18.5;Binggeli Dominik;*;10;55.75;5;18.75;-1;0.25;9.75
+;5;28.25;Wyss Kilian;**;7;56.5;3;28.75;-2;0.5;9.75
o;6;38.0;Siegenthaler Matthias;***;4;57.25;3;38.75;-3;0.75;8.5
-;9;46.5;Mathys Simon;*;12;55.25;9;46.5;0;0.0;8.75

12e;Wälchli Roger;*;;;;;;;;;55.25
+;;;Zürcher Kurt;*;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;7;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Steffen Konrad;*;27;34.75;8;17.5;1;-0.75;10.0
+;5;28.25;Aebi Roger;;18;53.75;6;28.0;1;-0.25;10.0
o;5;38.25;Kämpf Bernhard;***;6;56.75;7;37.75;2;-0.5;8.5
o;8;46.75;Bloch Dominic;**;6;56.75;7;47.0;-1;0.25;8.5

12f;Reust Markus;*;;;;;;;;;55.25
+;;;Fankhauser Hans-Jakob;*;;;;;;;9.75
-;2;9.75;Schenk Patrick;**;14;54.75;5;8.5;3;-1.25;9.0
+;5;18.75;Wüthrich Philip;;12;55.25;5;18.75;0;0.0;9.75
o;4;28.5;Meuter Adrian;**;15;54.5;8;27.5;4;-1.0;8.5
+;10;37.0;Kobel Lorenz;;18;53.75;11;36.75;1;-0.25;9.75
o;8;46.75;Bieri Christoph;***;4;57.25;6;47.25;-2;0.5;8.5

12g;Kappeler Ruedi;;;;;;;;;;55.25
+;;;Scheidegger Adrian;;;;;;;;10.0
o;1;10.0;Wüthrich Niklaus;**;13;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Moser Michael;*;8;56.25;6;18.5;0;0.0;8.5
+;10;27.0;Fankhauser Hans-Jakob;*;17;54.0;10;27.0;0;0.0;9.75
o;11;36.75;Blaser Roman;*;12;55.25;10;37.0;-1;0.25;8.5
+;14;45.25;Dummermuth Ueli;;18;53.75;14;45.25;0;0.0;10.0

12h;Leuenberger Michael 2;**;;;;;;;;;55.25
o;;;Schenkel Remo;*;;;;;;;8.75
+;4;8.75;Aebi Roger;;18;53.75;2;9.75;-2;1.0;9.75
o;6;18.5;Bieri Christoph;***;4;57.25;8;17.5;2;-1.0;8.5
+;10;27.0;Meyer Reto;*;16;54.25;10;27.0;0;0.0;9.75
o;11;36.75;Binggeli Dominik;*;10;55.75;9;37.25;-2;0.5;8.5
+;14;45.25;Burger Fredy;*;17;54.0;13;45.5;-1;0.25;10.0

12i;Berger René;**;;;;;;;;;55.25
-;;;Kämpf Marcel;*;;;;;;;8.75
+;4;8.75;Dind Samuel;**;10;55.75;5;8.5;1;-0.25;9.75
o;6;18.5;Schütz Urs;**;11;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Bremgartner Marcel;*;16;54.25;10;27.0;0;0.0;8.5
+;16;35.5;Berger Lorenz (1997);;22;52.75;16;35.5;0;0.0;10.0
+;13;45.5;Zimmermann Matthias;*;17;54.0;13;45.5;0;0.0;9.75

13a;Dumelin David;*;;;;;;;;;55.0
+;;;Siegrist Silas;*;;;;;;;10.0
o;1;10.0;Schmid Reto;**;15;54.5;1;10.0;0;0.0;8.5
+;6;18.5;Dummermuth Ueli;;18;53.75;6;18.5;0;0.0;9.75
o;5;28.25;Lengacher Jonas;**;3;57.5;3;28.75;-2;0.5;8.5
o;11;36.75;Röthlisberger Simon;*;8;56.25;11;36.75;0;0.0;8.5
+;14;45.25;Aebi Roger;;18;53.75;14;45.25;0;0.0;9.75

13b;Michel Jonas;*;;;;;;;;;55.0
-;;;Kämpf Alexander;**;;;;;;;8.75
o;4;8.75;Reichen Stefan;;15;54.5;1;10.0;-3;1.25;8.75
-;8;17.5;Kappeler Niklaus;*;26;35.0;8;17.5;0;0.0;9.0
+;12;26.5;Salzmann Simon;*;25;35.25;11;26.75;-1;0.25;10.0
+;12;36.5;Niederhäuser Martin;;19;53.5;13;36.25;1;-0.25;10.0
o;9;46.5;Stalder Remo;***;7;56.5;8;46.75;-1;0.25;8.5

13c;Wüthrich Niklaus;**;;;;;;;;;55.0
o;;;Mathys Simon;*;;;;;;;8.5
+;5;8.5;Kappeler Ruedi;;12;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Tschanz Richard;*;16;54.25;6;18.5;0;0.0;9.75
o;5;28.25;Kämpf Bernhard;***;6;56.75;7;27.75;2;-0.5;8.5
+;11;36.75;von Büren Stephan;*;10;55.75;10;37.0;-1;0.25;9.75
o;9;46.5;Imhof Andi;***;8;56.25;10;46.25;1;-0.25;8.5

13d;Gobeli Patrick (1998);*;;;;;;;;;55.0
+;;;Schüpbach Janick (1997);;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;8;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Roth Dominik;*;8;56.25;6;18.5;0;0.0;8.5
+;10;27.0;Heiniger Michael;*;23;52.5;10;27.0;0;0.0;9.75
o;11;36.75;Schenkel Adrian;**;10;55.75;10;37.0;-1;0.25;8.5
+;14;45.25;Weyermann Michael;*;18;53.75;14;45.25;0;0.0;9.75

13e;Leuenberger Michael 1;*;;;;;;;;;55.0
-;;;Fankhauser Reto;*;;;;;;;9.0
+;3;9.0;Meyer Reto;*;16;54.25;4;8.75;1;-0.25;10.0
o;4;19.0;Zaugg Thomas;***;4;57.25;5;18.75;1;-0.25;8.5
+;8;27.5;Gerber Fritz;;22;52.75;9;27.25;1;-0.25;9.75
-;9;37.25;Wyss Kilian;**;7;56.5;8;37.5;-1;0.25;9.0
