4485-2019-07-14_Rigi_Schwinget-ST

1a;von Ah Benji;***;;;;;;;;;58.0
-;;;Alpiger Nick;***;;;;;;;9.0
+;3;9.0;Nietlispach Pascal;**;5;56.5;2;9.75;-1;0.75;9.75
+;5;18.75;Hermann Oliver;*;9;55.5;5;18.75;0;0.0;10.0
-;3;28.75;Bieri Christoph;***;7;56.0;5;28.25;2;-0.5;8.75
+;6;37.5;Geisser Lars;**;12;54.5;6;37.5;0;0.0;9.75
-;4;47.25;Leuppi Samir;**;4;56.75;2;48.0;-2;0.75;8.75

7e;Kindlimann Fabian;***;;;;;;;;;56.0
-;;;Schurtenberger Sven;***;;;;;;;8.75
-;4;8.75;Lussi Marco;**;16;53.5;1;10.0;-3;1.25;8.75
+;10;17.5;Burch Jonas;*;20;44.75;5;18.75;-5;1.25;9.75
+;9;27.25;Fankhauser Reto;**;22;36.25;7;27.75;-2;0.5;10.0
-;7;37.25;Gwerder Michael;**;3;57.0;4;38.25;-3;1.0;8.75
+;9;46.0;Bucher Christian;*;11;54.75;8;46.25;-1;0.25;10.0

8a;Hess Michael;*;;;;;;;;;55.75
-;;;Burch Jonas;*;;;;;;;9.0
+;3;9.0;Giger Urs;*;25;35.0;3;9.0;0;0.0;10.0
o;4;19.0;Schurtenberger Sven;***;2;57.25;5;18.75;1;-0.25;8.5
o;8;27.5;Doppmann Urs;**;7;56.0;8;27.5;0;0.0;8.5
+;12;36.0;Dändliker Shane;**;19;52.75;14;35.5;2;-0.5;9.75
+;10;45.75;Fankhauser Erich;***;14;54.0;11;45.5;1;-0.25;10.0

8b;Fellmann Roman;**;;;;;;;;;55.75
o;;;Odermatt Christian;**;;;;;;;8.75
+;4;8.75;Stegmüller Klemens;*;27;34.5;5;8.5;1;-0.25;10.0
o;5;18.75;Bieri Christoph;***;7;56.0;6;18.5;1;-0.25;8.5
+;9;27.25;Odermatt Adrian (2001);*;17;53.25;9;27.25;0;0.0;10.0
o;7;37.25;Forrer Arnold;***;7;56.0;11;36.25;4;-1.0;8.5
+;10;45.75;Betschart Patrick;*;14;54.0;11;45.5;1;-0.25;10.0

8c;Roth Martin;**;;;;;;;;;55.75
+;;;Briker Michael;**;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;2;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Heiniger Marco;*;11;54.75;5;18.75;-1;0.25;9.75
+;5;28.25;Lussi Marco;**;16;53.5;8;27.5;3;-0.75;9.75
-;5;38.0;Imhof Andi;***;13;54.25;8;37.0;3;-1.0;8.75
-;6;46.75;Reichmuth Marco;**;6;56.25;4;47.25;-2;0.5;9.0

8d;Döbeli Andreas;**;;;;;;;;;55.75
-;;;Wyrsch Marco;**;;;;;;;8.75
