4669-2019-07-28_Bruenig-Schwinget-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.0
-;5;8.5;Murer Andy;**;28;35.0;4;8.75;-1;0.25;8.75
o;10;17.25;Schuler Philipp;**;18;53.75;11;17.0;1;-0.25;8.5
-;15;25.75;Arnold Raphael;**;29;34.75;14;26.0;-1;0.25;8.75

31a;Thomet Adrian;**;;;;;;;;;34.25
o;;;Doppmann Urs;**;;;;;;;8.5
-;5;8.5;Brodard Augustin;**;16;54.25;5;8.5;0;0.0;8.75
o;10;17.25;Gasser Stefan;**;14;54.75;10;17.25;0;0.0;8.5
o;15;25.75;Haenni Stéphane;**;15;54.5;15;25.75;0;0.0;8.5

31b;Heinzer Stefan;*;;;;;;;;;34.25
-;;;Grossen John;*;;;;;;;8.75
o;4;8.75;Röthlisberger Simon;*;26;35.5;4;8.75;0;0.0;8.5
o;10;17.25;Weyermann Florian;**;16;54.25;6;18.5;-4;1.25;8.5
o;15;25.75;Lengacher Jonas;**;23;46.0;10;27.25;-5;1.5;8.5

32a;Crettaz Olivier;*;;;;;;;;;34.0
o;;;Bütikofer Lukas;*;;;;;;;8.5
o;5;8.5;Blaser Roman;*;22;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Grossen John;*;11;55.5;10;17.25;-1;0.25;8.5
o;16;25.5;Bernet Christoph;*;21;53.0;15;25.75;-1;0.25;8.5

32b;Loup Alexandre;*;;;;;;;;;34.0
o;;;Gasser Dominik;*;;;;;;;8.5
o;5;8.5;Waber Lorenz;*;17;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Ramseier Thomas;*;19;53.5;9;17.5;-2;0.5;8.5
o;16;25.5;Wüthrich Niklaus;**;16;54.25;15;25.75;-1;0.25;8.5

32c;Riedo Fredy;*;;;;;;;;;34.0
o;;;Stöckli Damian;*;;;;;;;8.5
o;5;8.5;Arnold Marcel;*;22;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Reichmuth Roland;*;19;53.5;9;17.5;-2;0.5;8.5
o;16;25.5;Linggi Bruno;**;15;54.5;14;26.0;-2;0.5;8.5

33a;Rapin Florent;*;;;;;;;;;25.75
o;;;Zangger Dominik;*;;;;;;;8.5
-;5;8.5;Kälin Roland;**;16;54.25;4;8.75;-1;0.25;8.75
o;10;17.25;Rolli Martin;**;15;54.5;9;17.5;-1;0.25;8.5

33b;Kramer Dorian;*;;;;;;;;;25.75
o;;;Scheuner Michael;*;;;;;;;8.5
-;5;8.5;Ramseier Thomas;*;19;53.5;4;8.75;-1;0.25;8.75
o;10;17.25;Vogel Remo;**;16;54.25;9;17.5;-1;0.25;8.5

34a;Bürgler André;*;;;;;;;;;8.75
-;;;Fankhauser Reto;*;;;;;;;8.75

