4669-2019-07-28_Bruenig-Schwinget-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.0
o;4;38.25;Aeschbacher Matthias;**;3;58.25;4;38.25;0;0.0;8.5
o;10;46.75;von Weissenfluh Kilian;**;7;56.75;10;46.75;0;0.0;8.5

12b;Gasser Dominik;*;;;;;;;;;55.25
+;;;Loup Alexandre;*;;;;;;;10.0
-;1;10.0;Gloggner Reto;**;20;53.25;2;9.75;1;-0.25;8.75
+;5;18.75;Borcard Johann;**;15;54.5;4;19.0;-1;0.25;9.75
o;5;28.5;Burch Jonas;*;12;55.25;6;28.25;1;-0.25;8.5
+;8;37.0;Matthey Mickaël;**;16;54.25;8;37.0;0;0.0;9.75
o;10;46.75;Schuler Christian;***;6;57.0;9;47.0;-1;0.25;8.5

12c;Aellen Florian;*;;;;;;;;;55.25
+;;;Bernet Christoph;*;;;;;;;9.75
+;2;9.75;Kramer Lario;**;14;54.75;5;8.5;3;-1.25;10.0
o;2;19.75;Mathis Marcel;***;5;57.25;1;20.0;-1;0.25;8.5
o;6;28.25;Stöckli Damian;*;10;55.75;5;28.5;-1;0.25;8.5
-;9;36.75;Durrer Nando;*;18;53.75;10;36.5;1;-0.25;8.75
+;15;45.5;Gloggner Reto;**;20;53.25;18;44.75;3;-0.75;9.75

12d;Scheuber Lutz;**;;;;;;;;;55.25
+;;;Moser Steven;**;;;;;;;9.75
+;2;9.75;Tschumi Lukas (2001);*;16;54.25;2;9.75;0;0.0;9.75
+;3;19.5;Walther Adrian (2001);*;11;55.5;5;18.75;2;-0.75;10.0
o;3;29.5;Wicki Joel;**;2;58.5;1;30.0;-2;0.5;8.5
-;5;38.0;von Weissenfluh Kilian;**;7;56.75;5;38.0;0;0.0;8.75
o;10;46.75;Wenger Kilian;***;8;56.5;10;46.75;0;0.0;8.5

12e;Zürcher Remo;*;;;;;;;;;55.25
+;;;Hess Michael;*;;;;;;;9.75
o;2;9.75;Schuler Christian;***;6;57.0;3;9.0;1;-0.75;8.5
-;7;18.25;Gwerder Dario;**;10;55.75;6;18.5;-1;0.25;8.75
+;11;27.0;Dufey Gil;*;30;34.5;14;26.0;3;-1.0;9.75
+;9;36.75;Duplan Steve;**;17;54.0;9;36.75;0;0.0;10.0
o;10;46.75;Suppiger René;***;6;57.0;9;47.0;-1;0.25;8.5

12f;Betschart Rainer;**;;;;;;;;;55.25
+;;;Wüthrich Niklaus;**;;;;;;;10.0
o;1;10.0;Gnägi Florian;***;14;54.75;4;8.75;3;-1.25;8.5
+;6;18.5;Weyermann Florian;**;16;54.25;6;18.5;0;0.0;10.0
+;5;28.5;Scheuner Michael;*;17;54.0;7;28.0;2;-0.5;9.75
o;4;38.25;Roth Dominik;**;7;56.75;5;38.0;1;-0.25;8.5
o;10;46.75;Wiget Michael;**;8;56.5;10;46.75;0;0.0;8.5

12g;Schenk Patrick;***;;;;;;;;;55.25
o;;;Steinauer Adrian;**;;;;;;;8.5
-;5;8.5;Herger Matthias;**;10;55.75;1;10.0;-4;1.5;8.75
+;10;17.25;Arnold Marcel;*;22;52.75;5;18.75;-5;1.5;10.0
+;10;27.25;Reichmuth Roland;*;19;53.5;9;27.5;-1;0.25;9.75
o;8;37.0;Suppiger René;***;6;57.0;8;37.0;0;0.0;8.5
+;15;45.5;Schuler Philipp;**;18;53.75;16;45.25;1;-0.25;9.75

13a;Ettlin Stefan;**;;;;;;;;;55.0
o;;;Duplan Steve;**;;;;;;;8.5
+;5;8.5;Lengacher Jonas;**;23;46.0;4;8.75;-1;0.25;10.0
-;6;18.5;Fankhauser Reto;*;15;54.5;5;18.75;-1;0.25;9.0
-;9;27.5;Marti Stefan;**;14;54.75;10;27.25;1;-0.25;8.75
o;11;36.25;Luginbühl Hanspeter;**;11;55.5;9;36.75;-2;0.5;8.5
+;18;44.75;Ramseier Thomas;*;19;53.5;17;45.0;-1;0.25;10.0
+;14;54.75;Scheuner Michael;*;17;54.0;17;54.0;3;-0.75;0.25

13b;Odermatt Christian;**;;;;;;;;;55.0
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Gerber Christian;**;6;57.0;4;8.75;2;-1.0;8.5
o;7;18.25;Luginbühl Hanspeter;**;11;55.5;7;18.25;0;0.0;8.75
+;11;27.0;Zangger Dominik;*;19;53.5;11;27.0;0;0.0;9.75
o;9;36.75;Zenger Niklaus;***;9;56.0;12;36.0;3;-0.75;8.5
+;16;45.25;Wüthrich Niklaus;**;16;54.25;14;45.75;-2;0.5;9.75

14a;Gnägi Florian;***;;;;;;;;;54.75
-;;;Suppiger René;***;;;;;;;8.75
+;4;8.75;Betschart Rainer;**;12;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Lussi Marco;**;21;53.0;6;18.5;1;-0.25;9.75
-;5;28.5;Mathis Marcel;***;5;57.25;2;29.75;-3;1.25;8.75
-;7;37.25;Fankhauser Marco;**;14;54.75;7;37.25;0;0.0;8.75
-;13;46.0;Kramer Lario;**;14;54.75;13;46.0;0;0.0;8.75

14b;Kramer Lario;**;;;;;;;;;54.75
o;;;Wiget Michael;**;;;;;;;8.5
o;5;8.5;Aellen Florian;*;12;55.25;2;9.75;-3;1.25;8.5
+;11;17.0;Röthlisberger Simon;*;26;35.5;6;18.5;-5;1.5;10.0
+;11;27.0;Grossen John;*;11;55.5;10;27.25;-1;0.25;10.0
-;8;37.0;Glarner Matthias;***;15;54.5;8;37.0;0;0.0;9.0
-;13;46.0;Gnägi Florian;***;14;54.75;13;46.0;0;0.0;8.75

14c;Sommer Roman;*;;;;;;;;;54.75
-;;;Huber Alex;*;;;;;;;8.75
+;4;8.75;Lerch Jimmy;*;27;35.25;5;8.5;1;-0.25;10.0
-;5;18.75;Herger Matthias;**;10;55.75;5;18.75;0;0.0;8.75
-;9;27.5;Rohrer Marco;**;18;53.75;8;27.75;-1;0.25;8.75
-;11;36.25;Arnold Stefan;**;11;55.5;8;37.0;-3;0.75;8.75
+;17;45.0;Grossenbacher Simon (2002);*;22;52.75;20;44.25;3;-0.75;9.75

14d;Marti Stefan;**;;;;;;;;;54.75
-;;;Lussi Marco;**;;;;;;;8.75
+;4;8.75;Arnold Raphael;**;29;34.75;4;8.75;0;0.0;10.0
o;5;18.75;Müllestein Mike;***;6;57.0;5;18.75;0;0.0;8.5
-;10;27.25;Ettlin Stefan;**;13;55.0;9;27.5;-1;0.25;8.75
+;12;36.0;Kälin Roland;**;16;54.25;12;36.0;0;0.0;10.0
-;13;46.0;von Ah Benji;***;10;55.75;9;47.0;-4;1.0;8.75

14e;Gasser Stefan;**;;;;;;;;;54.75
-;;;Gerber Christian;**;;;;;;;8.75
o;4;8.75;Schwander Severin;**;15;54.5;4;8.75;0;0.0;8.5
+;10;17.25;Thomet Adrian;**;31;34.25;10;17.25;0;0.0;10.0
o;10;27.25;Gobeli Patrick;**;8;56.5;9;27.5;-1;0.25;8.75
+;12;36.0;Rolli Martin;**;15;54.5;12;36.0;0;0.0;10.0
-;13;46.0;Glarner Matthias;***;15;54.5;14;45.75;1;-0.25;8.75

14f;Hurschler Thomas;**;;;;;;;;;54.75
-;;;Lengacher Jonas;**;;;;;;;8.75
+;4;8.75;Schlüchter Colin;*;20;53.25;2;9.75;-2;1.0;10.0
-;5;18.75;Graber Willy;***;26;35.5;7;18.25;2;-0.5;8.75
+;9;27.5;Fankhauser Reto;*;15;54.5;9;27.5;0;0.0;10.0
-;6;37.5;Inniger Thomas;**;14;54.75;6;37.5;0;0.0;8.75
o;12;46.25;Kämpf Bernhard;***;6;57.0;8;47.25;-4;1.0;8.5

14g;Klossner Adrian;*;;;;;;;;;54.75
-;;;Vogel Remo;**;;;;;;;8.75
+;4;8.75;Hofer Sven;*;26;35.5;5;8.5;1;-0.25;10.0
+;5;18.75;Fink Bruno;*;26;35.5;6;18.5;1;-0.25;9.75
o;5;28.5;Ambühl Joel;**;7;56.75;5;28.5;0;0.0;8.5
