3050-2016-06-12_Fete_Romande2-ST

1a;Stucki Christian;***;;;;;;;;;58.75
+;2;9.75;Cardinaux Victor;*;5;56.5;2;9.75;0;0.0;9.75
o;3;19.5;Berset Frédéric;**;9;55.5;5;18.75;2;-0.75;8.75
-;4;28.25;Droxler Jonathan;*;4;56.75;4;28.25;0;0.0;8.75
+;8;37.0;Overney Olivier;*;14;54.25;7;37.25;-1;0.25;9.75
+;7;46.75;Zosso Remo;**;9;55.5;6;47.0;-1;0.25;10.0

4f;Gisler Bruno;***;;;;;;;;;56.75
+;;;Dind Samuel;**;;;;;;;10.0
+;1;10.0;Glauser Thomas;**;8;55.75;1;10.0;0;0.0;10.0
-;1;20.0;Gnägi Florian;***;2;57.25;2;19.75;1;-0.25;8.75
o;2;28.75;Stucki Christian;***;1;58.75;2;28.75;0;0.0;8.5
+;7;37.25;Guisolan Marc;**;5;56.5;4;38.0;-3;0.75;9.75
+;6;47.0;Emonet Frédéric;*;9;55.5;6;47.0;0;0.0;9.75

4g;Droxler Jonathan;*;;;;;;;;;56.75
o;;;Remy Guillaume;**;;;;;;;8.5
+;5;8.5;Barras André;*;22;45.75;4;8.75;-1;0.25;9.75
+;7;18.25;Niederberger Nicola (2000);;14;54.25;6;18.5;-1;0.25;10.0
-;4;28.25;Steinauer Adrian;**;4;56.75;4;28.25;0;0.0;8.75
+;8;37.0;Loup Alexandre;;10;55.25;4;38.0;-4;1.0;10.0
+;6;47.0;Ducry Antoine;*;8;55.75;5;47.25;-1;0.25;9.75

4h;Dousse Michel;*;;;;;;;;;56.75
-;;;Mosimann Vincent;*;;;;;;;9.0
+;3;9.0;Maridor Loic;;12;54.75;2;9.75;-1;0.75;9.75
o;5;18.75;Glaus Martin;***;4;56.75;6;18.5;1;-0.25;8.5
+;7;27.25;Taillard Virgile (1998);;10;55.25;4;28.25;-3;1.0;9.75
+;8;37.0;Lerch Jimmy;*;8;55.75;8;37.0;0;0.0;9.75
+;7;46.75;Dind Samuel;**;10;55.25;7;46.75;0;0.0;10.0

4i;Roch Vincent;*;;;;;;;;;56.75
o;;;Suppiger Werner;**;;;;;;;8.75
+;4;8.75;Haldi Sami;*;11;55.0;5;8.5;1;-0.25;10.0
+;5;18.75;Barras François (1998);;23;45.25;2;19.75;-3;1.0;9.75
+;3;28.5;Emonet Frédéric;*;9;55.5;3;28.5;0;0.0;9.75
o;3;38.25;Moser Steven;**;2;57.25;1;38.75;-2;0.5;8.5
+;7;46.75;Morger Adrian;*;10;55.25;7;46.75;0;0.0;10.0

4j;Remy Guillaume;**;;;;;;;;;56.75
+;;;Droxler Jonathan;*;;;;;;;10.0
o;1;10.0;Glaus Martin;***;4;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Zosso Fabian (1998);;11;55.0;2;19.75;-4;1.25;10.0
o;3;28.5;Kramer Lario (1998);*;5;56.5;4;28.25;1;-0.25;8.5
+;8;37.0;Loup Grégoire (2000);;12;54.75;7;37.25;-1;0.25;10.0
+;6;47.0;Gottofrey Marc;**;9;55.5;6;47.0;0;0.0;9.75

5a;Guisolan Marc;**;;;;;;;;;56.5
o;;;Steinauer Adrian;**;;;;;;;8.5
+;5;8.5;Hayoz Paul (1998);*;9;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Pouye Diey;*;8;55.75;5;18.75;-1;0.25;9.75
+;4;28.25;Derron Cédric;*;10;55.25;4;28.25;0;0.0;9.75
o;4;38.0;Gisler Bruno;***;4;56.75;7;37.25;3;-0.75;8.5
+;8;46.5;Hayoz Quentin;;8;55.75;6;47.0;-2;0.5;10.0

5b;Thürig Mario;***;;;;;;;;;56.5
+;;;Gapany Benjamin;**;;;;;;;9.75
o;2;9.75;Suppiger Werner;**;6;56.25;1;10.0;-1;0.25;8.5
+;7;18.25;Brodard Augustin;**;9;55.5;6;18.5;-1;0.25;9.75
-;5;28.0;Piemontesi Pascal;**;3;57.0;4;28.25;-1;0.25;8.75
+;9;36.75;Derron Cédric;*;10;55.25;9;36.75;0;0.0;9.75
+;8;46.5;Berset Julien;*;12;54.75;9;46.25;1;-0.25;10.0

5c;Kramer Lario (1998);*;;;;;;;;;56.5
+;;;Lerch Jimmy;*;;;;;;;9.75
o;2;9.75;Gapany Benjamin;**;4;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Golliard Steve;;23;45.25;7;18.25;0;0.0;10.0
+;4;28.25;Remy Guillaume;**;4;56.75;3;28.5;-1;0.25;10.0
o;3;38.25;Glaus Martin;***;4;56.75;3;38.25;0;0.0;8.5
+;7;46.75;Schwander Severin;*;9;55.5;6;47.0;-1;0.25;9.75

5d;Cardinaux Victor;*;;;;;;;;;56.5
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Steinauer Adrian;**;4;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Schöpfer Dio;;4;56.75;2;19.75;-5;1.5;10.0
+;4;28.25;Mosimann Vincent;*;10;55.25;4;28.25;0;0.0;9.75
+;4;38.0;Barras André;*;22;45.75;7;37.25;3;-0.75;10.0
o;3;48.0;Gnägi Florian;***;2;57.25;5;47.25;2;-0.75;8.5

6a;Suppiger Werner;**;;;;;;;;;56.25
+;;;Roch Vincent;*;;;;;;;10.0
+;1;10.0;Thürig Mario;***;5;56.5;2;9.75;1;-0.25;10.0
-;1;20.0;Moser Steven;**;2;57.25;1;20.0;0;0.0;8.75
-;2;28.75;Gapany Benjamin;**;4;56.75;4;28.25;2;-0.5;8.75
+;6;37.5;Barras David;*;7;56.0;6;37.5;0;0.0;10.0
-;4;47.5;Glaus Martin;***;4;56.75;3;48.0;-1;0.5;8.75

7a;Cropt Harald;**;;;;;;;;;56.0
o;;;Stucki Christian;***;;;;;;;8.5
-;5;8.5;Mauron Olivier;*;9;55.5;2;9.75;-3;1.25;8.75
+;11;17.25;Vonlanthen Marc;;15;54.0;6;18.5;-5;1.25;10.0
-;7;27.25;Hayoz Paul (1998);*;9;55.5;4;28.25;-3;1.0;8.75
+;12;36.0;Aladenise Jonathan;;9;55.5;8;37.0;-4;1.0;10.0
+;10;46.0;Loup Alexandre;;10;55.25;8;46.5;-2;0.5;10.0

7b;Brodard Simon;**;;;;;;;;;56.0
-;;;Zosso Remo;**;;;;;;;8.75
+;4;8.75;François Théo (2000);;20;51.0;5;8.5;1;-0.25;10.0
o;5;18.75;Stucki Christian;***;1;58.75;5;18.75;0;0.0;8.5
+;7;27.25;Derron Julien;;8;55.75;2;28.75;-5;1.5;10.0
-;7;37.25;Glauser Thomas;**;8;55.75;7;37.25;0;0.0;8.75
+;10;46.0;Lützelschwab Luc (1999);;9;55.5;6;47.0;-4;1.0;10.0

7c;Barras David;*;;;;;;;;;56.0
-;;;Berset Cyril;*;;;;;;;8.75
+;4;8.75;Lützelschwab Luc (1999);;9;55.5;1;10.0;-3;1.25;9.75
-;6;18.5;Schafer Claudio;*;8;55.75;6;18.5;0;0.0;9.0
+;6;27.5;Erb Vincent (1999);;9;55.5;3;28.5;-3;1.0;10.0
o;6;37.5;Suppiger Werner;**;6;56.25;6;37.5;0;0.0;8.5
+;10;46.0;Vieux Sylvain;*;11;55.0;8;46.5;-2;0.5;10.0

8a;Schafer Claudio;*;;;;;;;;;55.75
-;;;Liaudat Rudy;**;;;;;;;8.75
+;4;8.75;Pharisa Loic;;15;54.0;2;9.75;-2;1.0;9.75
-;6;18.5;Barras David;*;7;56.0;6;18.5;0;0.0;9.0
+;6;27.5;Chavagnat Benoît (1999);;16;53.75;4;28.25;-2;0.75;10.0
o;6;37.5;Gapany Benjamin;**;4;56.75;8;37.0;2;-0.5;8.5
+;10;46.0;Vonlanthen Alexandre;;11;55.0;8;46.5;-2;0.5;9.75

8b;Pouye Diey;*;;;;;;;;;55.75
-;;;Berset Frédéric;**;;;;;;;8.75
+;4;8.75;Rappo Yann (1998);;10;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Guisolan Marc;**;5;56.5;6;18.5;1;-0.25;8.5
+;7;27.25;Schöpfer Dio;;4;56.75;4;28.25;-3;1.0;10.0
o;7;37.25;Ducry Antoine;*;8;55.75;7;37.25;0;0.0;8.5
+;11;45.75;Rüegg Patrick (1999);;11;55.0;8;46.5;-3;0.75;10.0

8c;Derron Julien;;;;;;;;;;55.75
+;;;Vonlanthen Alexandre;;;;;;;;10.0
+;1;10.0;Quiot Didier;;23;45.25;2;9.75;1;-0.25;10.0
-;1;20.0;Glauser Thomas;**;8;55.75;6;18.5;5;-1.5;8.75
o;2;28.75;Brodard Simon;**;7;56.0;7;27.25;5;-1.5;8.5
+;7;37.25;Schafer Damien;;9;55.5;8;37.0;1;-0.25;10.0
o;5;47.25;Haenni Stéphane;**;3;57.0;6;47.0;1;-0.25;8.5

8d;Lerch Jimmy;*;;;;;;;;;55.75
o;;;Kramer Lario (1998);*;;;;;;;8.5
+;5;8.5;Chavagnat Benoît (1999);;16;53.75;1;10.0;-4;1.5;10.0
-;6;18.5;Zimmermann Mario;*;24;44.75;10;17.5;4;-1.0;8.75
+;7;27.25;Rappo Yann (1998);;10;55.25;4;28.25;-3;1.0;9.75
o;8;37.0;Dousse Michel;*;4;56.75;8;37.0;0;0.0;8.75
+;11;45.75;Mollet Adrian;;12;54.75;9;46.25;-2;0.5;10.0

8e;Glauser Thomas;**;;;;;;;;;55.75
+;;;Derron Cédric;*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;4;56.75;1;10.0;0;0.0;8.5
-;6;18.5;Derron Julien;;8;55.75;1;20.0;-5;1.5;8.75
+;7;27.25;Zosso Fabian (1998);;11;55.0;4;28.25;-3;1.0;10.0
-;7;37.25;Brodard Simon;**;7;56.0;7;37.25;0;0.0;8.75
+;10;46.0;Ruch Florian;;9;55.5;6;47.0;-4;1.0;9.75

8f;Ducry Antoine;*;;;;;;;;;55.75
-;;;Zimmermann Mario;*;;;;;;;8.75
+;4;8.75;Taillard Virgile (1998);;10;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Gapany Benjamin;**;4;56.75;6;18.5;1;-0.25;8.5
+;7;27.25;Torche Bastian;;21;46.75;4;28.25;-3;1.0;10.0
+;7;37.25;Pouye Diey;*;8;55.75;7;37.25;0;0.0;10.0
o;5;47.25;Droxler Jonathan;*;4;56.75;6;47.0;1;-0.25;8.5

8g;Hayoz Quentin;;;;;;;;;;55.75
+;;;Crettaz Olivier;;;;;;;;9.75
o;2;9.75;Zosso Remo;**;9;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Ambresin Cyril (1999);;12;54.75;10;17.5;3;-0.75;10.0
-;4;28.25;Berset Julien;*;12;54.75;6;27.5;2;-0.75;8.75
+;8;37.0;Barras François (1998);;23;45.25;9;36.75;1;-0.25;10.0
o;6;47.0;Guisolan Marc;**;5;56.5;8;46.5;2;-0.5;8.75

9a;Ruch Florian;;;;;;;;;;55.5
o;;;Rüegg Patrick (1999);;;;;;;;8.5
+;5;8.5;François Théo (2000);;20;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Morger Adrian;*;10;55.25;12;17.0;6;-1.5;8.5
+;8;27.0;Quartenoud Valentin;;16;53.75;8;27.0;0;0.0;10.0
+;8;37.0;Isoz Bertrand;;14;54.25;8;37.0;0;0.0;10.0
o;6;47.0;Glauser Thomas;**;8;55.75;10;46.0;4;-1.0;8.5

9b;Schwander Severin;*;;;;;;;;;55.5
o;;;Overney Olivier;*;;;;;;;8.5
+;5;8.5;Loup Grégoire (2000);;12;54.75;1;10.0;-4;1.5;10.0
+;6;18.5;Morger Adrian;*;10;55.25;12;17.0;6;-1.5;10.0
o;3;28.5;Moser Steven;**;2;57.25;1;29.0;-2;0.5;8.5
+;8;37.0;Dubey Gaël;;9;55.5;7;37.25;-1;0.25;10.0
o;6;47.0;Kramer Lario (1998);*;5;56.5;7;46.75;1;-0.25;8.5

9c;Aladenise Jonathan;;;;;;;;;;55.5
o;;;Mollet Adrian;;;;;;;;8.5
+;5;8.5;Roux Dimitri;;17;53.5;5;8.5;0;0.0;10.0
o;6;18.5;Dufey Gil;;13;54.5;9;17.75;3;-0.75;8.5
+;8;27.0;Z'Rotz Elias (2000);;15;54.0;8;27.0;0;0.0;10.0
o;8;37.0;Cropt Harald;**;7;56.0;12;36.0;4;-1.0;8.5
+;12;45.5;Reichenbach Ryan (1999);;19;52.5;18;44.0;6;-1.5;10.0

9d;Erb Vincent (1999);;;;;;;;;;55.5
o;;;Lützelschwab Luc (1999);;;;;;;;8.5
+;5;8.5;Burri Flemming;;11;55.0;5;8.5;0;0.0;10.0
+;6;18.5;Haldi Sami;*;11;55.0;12;17.0;6;-1.5;10.0
o;3;28.5;Barras David;*;7;56.0;6;27.5;3;-1.0;8.5
o;8;37.0;Morger Adrian;*;10;55.25;9;36.75;1;-0.25;8.5
+;12;45.5;Pittet Guillaume;;15;54.0;12;45.5;0;0.0;10.0

9e;Lützelschwab Luc (1999);;;;;;;;;;55.5
+;;;Erb Vincent (1999);;;;;;;;10.0
o;1;10.0;Barras David;*;7;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Derron Cédric;*;10;55.25;7;18.25;1;-0.25;8.5
+;8;27.0;Dormond Noa;;29;35.5;8;27.0;0;0.0;10.0
+;8;37.0;Chavagnat Benoît (1999);;16;53.75;9;36.75;1;-0.25;10.0
o;6;47.0;Brodard Simon;**;7;56.0;10;46.0;4;-1.0;8.5

9f;Bersier Jean-Jacques;;;;;;;;;;55.5
-;;;Jacquier Pascal;;;;;;;;8.75
+;4;8.75;Burgy Frank;;28;35.75;5;8.5;1;-0.25;9.75
o;6;18.5;Dind Samuel;**;10;55.25;11;17.25;5;-1.25;8.5
+;8;27.0;Blanchette Nicolas;;19;52.5;9;26.75;1;-0.25;10.0
o;8;37.0;Mosimann Vincent;*;10;55.25;9;36.75;1;-0.25;8.5
+;12;45.5;Jeannin Jess (2000);;16;53.75;13;45.25;1;-0.25;10.0

9g;Mauron Olivier;*;;;;;;;;;55.5
+;;;Chèvre Bernard;*;;;;;;;9.75
-;2;9.75;Cropt Harald;**;7;56.0;5;8.5;3;-1.25;8.75
+;6;18.5;Vonlanthen Alexandre;;11;55.0;6;18.5;0;0.0;10.0
o;3;28.5;Bösch Daniel;***;3;57.0;4;28.25;1;-0.25;8.5
+;8;37.0;Parvex Yannick;;9;55.5;8;37.0;0;0.0;10.0
o;6;47.0;Piemontesi Pascal;**;3;57.0;6;47.0;0;0.0;8.5

9h;Dubey Gaël;;;;;;;;;;55.5
-;;;Gottofrey Luc;;;;;;;;8.75
-;4;8.75;Jacquier Pascal;;12;54.75;4;8.75;0;0.0;8.75
+;10;17.5;Goy Sébastien;;20;51.0;12;17.0;2;-0.5;9.75
+;7;27.25;Daves Alexis;;26;44.0;8;27.0;1;-0.25;10.0
o;7;37.25;Schwander Severin;*;9;55.5;8;37.0;1;-0.25;8.5
+;11;45.75;Steiner Pirmin (1998);;14;54.25;11;45.75;0;0.0;9.75

9i;Gottofrey Marc;**;;;;;;;;;55.5
o;;;Gnägi Florian;***;;;;;;;8.5
+;5;8.5;Berset Julien;*;12;54.75;3;9.0;-2;0.5;10.0
+;6;18.5;Loup Alexandre;;10;55.25;2;19.75;-4;1.25;10.0
o;3;28.5;Glaus Martin;***;4;56.75;4;28.25;1;-0.25;8.5
+;8;37.0;Fuchs Yannick (1998);;12;54.75;5;37.75;-3;0.75;10.0
o;6;47.0;Remy Guillaume;**;4;56.75;6;47.0;0;0.0;8.5

9j;Borcard Johann;**;;;;;;;;;55.5
-;;;Berset Julien;*;;;;;;;9.0
+;3;9.0;Michaud Steeve (1999);;19;52.5;1;10.0;-2;1.0;10.0
o;4;19.0;Bösch Daniel;***;3;57.0;6;18.5;2;-0.5;8.5
+;6;27.5;Riedo Fredy;;9;55.5;3;28.5;-3;1.0;9.75
o;7;37.25;Zosso Remo;**;9;55.5;8;37.0;1;-0.25;8.5
+;11;45.75;Taillard Virgile (1998);;10;55.25;7;46.75;-4;1.0;9.75

9k;Berset Frédéric;**;;;;;;;;;55.5
-;;;Pouye Diey;*;;;;;;;8.75
+;4;8.75;Ambresin Cyril (1999);;12;54.75;3;9.0;-1;0.25;10.0
+;5;18.75;Steinauer Adrian;**;4;56.75;3;19.5;-2;0.75;10.0
o;2;28.75;Gnägi Florian;***;2;57.25;2;28.75;0;0.0;8.5
+;7;37.25;Gottofrey Luc;;12;54.75;7;37.25;0;0.0;9.75
o;6;47.0;Bösch Daniel;***;3;57.0;6;47.0;0;0.0;8.5

9l;Parvex Yannick;;;;;;;;;;55.5
o;;;Emonet Fabien;;;;;;;;8.5
+;5;8.5;Dupertuis Michel (2000);;20;51.0;5;8.5;0;0.0;10.0
-;6;18.5;Overney Olivier;*;14;54.25;6;18.5;0;0.0;8.75
+;7;27.25;Vonlanthen Marc;;15;54.0;8;27.0;1;-0.25;9.75
o;8;37.0;Mauron Olivier;*;9;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Pharisa Loic;;15;54.0;12;45.5;0;0.0;10.0

9m;Gassmann Simon;*;;;;;;;;;55.5
+;;;Vieux Sylvain;*;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;3;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Steiner Pirmin (1998);;14;54.25;4;19.0;-2;0.5;10.0
o;3;28.5;Haenni Stéphane;**;3;57.0;3;28.5;0;0.0;8.5
o;8;37.0;Hayoz Paul (1998);*;9;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Ambresin Cyril (1999);;12;54.75;9;46.25;-3;0.75;10.0

9n;Zosso Remo;**;;;;;;;;;55.5
-;;;Brodard Simon;**;;;;;;;8.75
+;4;8.75;Hayoz Quentin;;8;55.75;2;9.75;-2;1.0;9.75
-;6;18.5;Giroud Jonathan;**;27;36.0;6;18.5;0;0.0;8.75
+;7;27.25;Schafer Damien;;9;55.5;3;28.5;-4;1.25;9.75
+;8;37.0;Borcard Johann;**;9;55.5;7;37.25;-1;0.25;10.0
o;6;47.0;Steinauer Adrian;**;4;56.75;7;46.75;1;-0.25;8.5

9o;Brodard Augustin;**;;;;;;;;;55.5
o;;;Cardinaux Victor;*;;;;;;;8.5
+;5;8.5;Pittet Guillaume;;15;54.0;1;10.0;-4;1.5;10.0
o;6;18.5;Thürig Mario;***;5;56.5;7;18.25;1;-0.25;8.5
+;8;27.0;Golliard Steve;;23;45.25;4;28.25;-4;1.25;10.0
+;8;37.0;Chèvre Bernard;*;11;55.0;10;36.5;2;-0.5;10.0
o;6;47.0;Gapany Benjamin;**;4;56.75;6;47.0;0;0.0;8.5

9p;Emonet Frédéric;*;;;;;;;;;55.5
+;;;Giroud Jonathan;**;;;;;;;10.0
o;1;10.0;Moser Steven;**;2;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Gottofrey Luc;;12;54.75;5;18.75;-1;0.25;10.0
o;3;28.5;Roch Vincent;*;4;56.75;3;28.5;0;0.0;8.75
+;7;37.25;Minder Florian;;25;44.5;13;35.75;6;-1.5;9.75
o;6;47.0;Gisler Bruno;***;4;56.75;6;47.0;0;0.0;8.5

9q;Riedo Fredy;;;;;;;;;;55.5
+;;;Curty Alexandre;;;;;;;;10.0
o;1;10.0;Derron Cédric;*;10;55.25;5;8.5;4;-1.5;8.5
+;6;18.5;Dormond Noa;;29;35.5;6;18.5;0;0.0;10.0
o;3;28.5;Borcard Johann;**;9;55.5;6;27.5;3;-1.0;8.5
o;8;37.0;Piemontesi Pascal;**;3;57.0;8;37.0;0;0.0;8.5
+;12;45.5;Grossenbacher Marc (2000);;16;53.75;13;45.25;1;-0.25;10.0

9r;Hayoz Paul (1998);*;;;;;;;;;55.5
+;;;Haldi Sami;*;;;;;;;9.75
o;2;9.75;Guisolan Marc;**;5;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Fuchs Yannick (1998);;12;54.75;3;19.5;-4;1.25;10.0
-;4;28.25;Cropt Harald;**;7;56.0;7;27.25;3;-1.0;8.75
+;8;37.0;Gassmann Simon;*;9;55.5;8;37.0;0;0.0;9.75
-;7;46.75;Mosimann Vincent;*;10;55.25;8;46.5;1;-0.25;8.75

9s;Schafer Damien;;;;;;;;;;55.5
o;;;Minder Florian;;;;;;;;8.5
+;5;8.5;Goy Sébastien;;20;51.0;5;8.5;0;0.0;10.0
+;6;18.5;Chèvre Bernard;*;11;55.0;7;18.25;1;-0.25;10.0
o;3;28.5;Zosso Remo;**;9;55.5;7;27.25;4;-1.25;8.5
o;8;37.0;Derron Julien;;8;55.75;7;37.25;-1;0.25;8.5
+;12;45.5;Vonlanthen Marc;;15;54.0;12;45.5;0;0.0;10.0

10a;Morger Adrian;*;;;;;;;;;55.25
o;;;Schwander Severin;*;;;;;;;8.5
o;5;8.5;Mosimann Vincent;*;10;55.25;4;8.75;-1;0.25;8.5
+;12;17.0;Ruch Florian;;9;55.5;6;18.5;-6;1.5;10.0
+;8;27.0;Jacquier Pascal;;12;54.75;6;27.5;-2;0.5;9.75
+;9;36.75;Erb Vincent (1999);;9;55.5;8;37.0;-1;0.25;10.0
o;7;46.75;Roch Vincent;*;4;56.75;7;46.75;0;0.0;8.5

10b;Loup Alexandre;;;;;;;;;;55.25
+;;;Parvex Bryan;;;;;;;;10.0
+;1;10.0;Vieux Sylvain;*;11;55.0;5;8.5;4;-1.5;9.75
o;2;19.75;Gottofrey Marc;**;9;55.5;6;18.5;4;-1.25;8.5
+;4;28.25;Mollet Adrian;;12;54.75;5;28.0;1;-0.25;9.75
o;4;38.0;Droxler Jonathan;*;4;56.75;8;37.0;4;-1.0;8.5
o;8;46.5;Cropt Harald;**;7;56.0;10;46.0;2;-0.5;8.75

10c;Dind Samuel;**;;;;;;;;;55.25
o;;;Gisler Bruno;***;;;;;;;8.5
-;5;8.5;Overney Olivier;*;14;54.25;2;9.75;-3;1.25;8.75
+;11;17.25;Bersier Jean-Jacques;;9;55.5;6;18.5;-5;1.25;9.75
+;8;27.0;Emonet Fabien;;4;56.75;4;28.25;-4;1.25;9.75
+;9;36.75;Berset Cyril;*;10;55.25;8;37.0;-1;0.25;10.0
o;7;46.75;Dousse Michel;*;4;56.75;7;46.75;0;0.0;8.5

10d;Mosimann Vincent;*;;;;;;;;;55.25
-;;;Dousse Michel;*;;;;;;;8.75
+;4;8.75;Mollet Adrian;;12;54.75;2;9.75;-2;1.0;9.75
+;6;18.5;Morger Adrian;*;10;55.25;12;17.0;6;-1.5;9.75
