3393-2016-06-05_Schaffhauser_Kantonalschwingfest-ST

1a;Forrer Arnold;***;;;;;;;;;58.5
o;6;28.0;Oertig Dominik;*;7;56.5;5;28.25;-1;0.25;8.5
o;10;36.5;Oettli Marco;*;8;56.25;7;37.25;-3;0.75;8.5
+;14;45.0;Hungerbühler Marcel;;16;54.25;11;45.75;-3;0.75;10.0

14a;Pfiffner Ivo;;;;;;;;;;54.75
+;;;Pianta Christian;;;;;;;;9.75
-;2;9.75;Notz Armin;*;22;35.5;3;8.75;1;-1.0;8.75
o;5;18.5;Odermatt Christoph;*;10;55.75;8;17.5;3;-1.0;8.5
-;10;27.0;Dumelin David;*;13;55.0;9;27.25;-1;0.25;8.75
+;13;35.75;Odermatt Michi;;20;52.75;14;35.5;1;-0.25;10.0
-;11;45.75;Keller Lukas;;14;54.75;11;45.75;0;0.0;9.0

14b;Gysel Hansruedi;;;;;;;;;;54.75
o;;;Hersche Stefan;;;;;;;;8.5
+;4;8.5;Vogel Thomas;;15;54.5;4;8.5;0;0.0;9.75
+;6;18.25;Hauser Simon (1998);;23;35.25;6;18.25;0;0.0;9.75
+;6;28.0;Leuppi Karim;*;16;54.25;9;27.25;3;-0.75;9.75
o;5;37.75;Ammann Rico;*;6;56.75;7;37.25;2;-0.5;8.5
o;9;46.25;Büsser André;;9;56.0;9;46.25;0;0.0;8.5

14c;Danner Daniel;;;;;;;;;;54.75
-;;;Wolfer Lukas;;;;;;;;8.75
-;3;8.75;Ott Dominik;*;13;55.0;3;8.75;0;0.0;9.0
+;7;17.75;Aerne Christian;;16;54.25;9;17.25;2;-0.5;10.0
o;7;27.75;Vestner Roman;*;4;57.25;8;27.5;1;-0.25;8.5
+;11;36.25;Schiess Christian;;21;52.5;14;35.5;3;-0.75;10.0
o;9;46.25;Schudel Simon;*;6;56.75;7;46.75;-2;0.5;8.5

14d;Straub Robin;*;;;;;;;;;54.75
+;;;Schiess Christian;;;;;;;;10.0
o;1;10.0;Eugster Ruedi;**;5;57.0;3;8.75;2;-1.25;8.5
-;5;18.5;Hari Michi;;15;54.5;6;18.25;1;-0.25;9.0
o;8;27.5;Büsser André;;9;56.0;6;28.0;-2;0.5;8.75
+;11;36.25;Oertig Simon;;17;54.0;8;37.0;-3;0.75;9.75
-;10;46.0;Rütsche Stefan;*;15;54.5;11;45.75;1;-0.25;8.75

14e;Keller Lukas;;;;;;;;;;54.75
+;;;Schnurrenberger Roger;;;;;;;;10.0
o;1;10.0;Jöhl Christian;*;15;54.5;3;8.75;2;-1.25;8.5
+;5;18.5;Vollmeier Sandro;;9;56.0;6;18.25;1;-0.25;10.0
-;4;28.5;Wey Nicola;*;9;56.0;5;28.25;1;-0.25;8.75
o;7;37.25;Pfister Florian;*;11;55.5;8;37.0;1;-0.25;8.5
-;11;45.75;Pfiffner Ivo;;14;54.75;11;45.75;0;0.0;9.0

14f;Frei Hanspeter (1999);;;;;;;;;;54.75
+;;;Räbsamen Marcel (2000);;;;;;;;9.75
o;2;9.75;Büsser André;;9;56.0;2;9.75;0;0.0;8.5
o;6;18.25;Bill Ruedi;;18;53.75;5;18.5;-1;0.25;8.5
+;11;26.75;Knup Stephan;;23;35.25;11;26.75;0;0.0;9.75
o;10;36.5;Furrer Damian (1998);;17;54.0;13;35.75;3;-0.75;8.5
+;14;45.0;Läng Dominick;;19;53.0;16;44.5;2;-0.5;9.75

14g;Pfleghart Remo;;;;;;;;;;54.75
+;;;Meier Daniel;;;;;;;;9.75
-;2;9.75;Elmer Daniel;*;25;34.5;4;8.5;2;-1.25;9.0
o;4;18.75;Eugster Ruedi;**;5;57.0;4;18.75;0;0.0;8.5
+;9;27.25;Schönenberger Christian;;17;54.0;9;27.25;0;0.0;9.75
-;8;37.0;Surbeck Peter;*;12;55.25;9;36.75;1;-0.25;8.75
-;11;45.75;Jöhl Christian;*;15;54.5;12;45.5;1;-0.25;9.0

15a;Hari Michi;;;;;;;;;;54.5
+;;;Aerne Christian;;;;;;;;9.75
o;2;9.75;Rütsche Stefan;*;15;54.5;3;8.75;1;-1.0;8.5
-;6;18.25;Straub Robin;*;14;54.75;5;18.5;-1;0.25;9.0
o;9;27.25;Wittenwiler Roman (1998);;11;55.5;9;27.25;0;0.0;8.5
+;13;35.75;Wolfer Lukas;;17;54.0;14;35.5;1;-0.25;9.75
-;12;45.5;Straub Paul;;17;54.0;14;45.0;2;-0.5;9.0

15b;Jöhl Christian;*;;;;;;;;;54.5
-;;;Streuli Martin;*;;;;;;;8.75
+;3;8.75;Keller Lukas;;14;54.75;1;10.0;-2;1.25;9.75
o;5;18.5;Holenstein Christian;*;10;55.75;4;18.75;-1;0.25;8.5
+;10;27.0;Hauser Simon (1998);;23;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Knechtle Martin;**;11;55.5;10;36.5;2;-0.5;8.5
-;12;45.5;Pfleghart Remo;;14;54.75;11;45.75;-1;0.25;9.0

15c;Schnyder Christian;;;;;;;;;;54.5
o;;;Schiess Christian;;;;;;;;8.5
-;4;8.5;Meier Daniel;;25;34.5;4;8.5;0;0.0;8.75
-;9;17.25;Blaser Gian (1998);;26;34.25;10;17.0;1;-0.25;8.75
+;14;26.0;Frauchiger Remo;;23;35.25;11;26.75;-3;0.75;10.0
+;12;36.0;Winzeler Simon (2000);;18;53.75;11;36.25;-1;0.25;10.0
o;10;46.0;Wey Nicola;*;9;56.0;10;46.0;0;0.0;8.5

15d;Inauen Marco (1999);;;;;;;;;;54.5
o;;;Furrer Damian (1998);;;;;;;;8.5
+;4;8.5;Winzeler Dominik (2000);;17;54.0;4;8.5;0;0.0;10.0
+;5;18.5;Sieber Marc (2000);;21;52.5;5;18.5;0;0.0;10.0
o;4;28.5;Baumann Rico;*;11;55.5;5;28.25;1;-0.25;8.5
-;8;37.0;Ott Dominik;*;13;55.0;7;37.25;-1;0.25;9.0
o;10;46.0;Schwyn Adrian;;8;56.25;9;46.25;-1;0.25;8.5

15e;Vogel Thomas;;;;;;;;;;54.5
o;;;Oertig Simon;;;;;;;;8.5
o;4;8.5;Gysel Hansruedi;;14;54.75;4;8.5;0;0.0;8.75
+;9;17.25;Läng Dominick;;19;53.0;8;17.5;-1;0.25;10.0
+;9;27.25;Schwyn Patrick (1999);;12;55.25;5;28.25;-4;1.0;10.0
o;7;37.25;Schudel Simon;*;6;56.75;8;37.0;1;-0.25;8.5
o;11;45.75;Burkhard Patrick;*;12;55.25;12;45.5;1;-0.25;8.75

15f;Hodler Mathias;;;;;;;;;;54.5
+;;;Schegg Michael;;;;;;;;10.0
+;1;10.0;Furrer Damian (1998);;17;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Bernold Edi;**;11;55.5;5;18.5;4;-1.5;8.5
-;4;28.5;Keller Dominic;;13;55.0;6;28.0;2;-0.5;8.75
-;7;37.25;Ueltschi Patric;*;19;53.0;13;35.75;6;-1.5;8.75
o;10;46.0;Schuler Martin;;12;55.25;12;45.5;2;-0.5;8.5

15g;Rütsche Stefan;*;;;;;;;;;54.5
-;;;Burkhard Patrick;*;;;;;;;8.75
+;3;8.75;Hari Michi;;15;54.5;2;9.75;-1;1.0;10.0
+;4;18.75;Schwyn Patrick (1999);;12;55.25;2;19.75;-2;1.0;9.75
-;4;28.5;Akeret Benno;*;12;55.25;5;28.25;1;-0.25;8.75
o;7;37.25;Vollenweider Jeremy (1998);*;5;57.0;3;38.25;-4;1.0;8.5
-;11;45.75;Straub Robin;*;14;54.75;10;46.0;-1;0.25;8.75

16a;Hungerbühler Marcel;;;;;;;;;;54.25
o;;;Wittenwiler Roman (1998);;;;;;;;8.5
+;4;8.5;Riedi Thomas;;23;35.25;4;8.5;0;0.0;10.0
o;5;18.5;Knechtle Martin;**;11;55.5;8;17.5;3;-1.0;8.5
+;10;27.0;Braun Mathias;*;23;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Good Marco;*;7;56.5;6;37.5;-2;0.5;8.75
o;11;45.75;Bickel Roman (1998);*;13;55.0;14;45.0;3;-0.75;8.5

16b;Aerne Christian;;;;;;;;;;54.25
o;;;Hari Michi;;;;;;;;8.75
o;3;8.75;Holenstein Christian;*;10;55.75;3;8.75;0;0.0;8.5
o;9;17.25;Danner Daniel;;14;54.75;7;17.75;-2;0.5;8.5
+;15;25.75;Streuli Martin;*;24;34.75;13;26.25;-2;0.5;9.75
+;14;35.5;Elmer Daniel;*;25;34.5;17;34.5;3;-1.0;10.0
-;12;45.5;Pianta Christian;;16;54.25;17;44.25;5;-1.25;8.75

16c;Pianta Christian;;;;;;;;;;54.25
o;;;Pfiffner Ivo;;;;;;;;8.5
+;4;8.5;Frauchiger Remo;;23;35.25;4;8.5;0;0.0;10.0
o;5;18.5;Blaser Niklas;;10;55.75;5;18.5;0;0.0;8.5
o;10;27.0;Pfister Florian;*;11;55.5;9;27.25;-1;0.25;8.5
-;14;35.5;Aerne Christian;;16;54.25;14;35.5;0;0.0;8.75
+;17;44.25;Ulmann Fabian (1999);;18;53.75;13;45.25;-4;1.0;10.0

16d;Leuppi Karim;*;;;;;;;;;54.25
o;;;Ammann Rico;*;;;;;;;8.5
-;4;8.5;Kamer Hanspeter;*;10;55.75;3;8.75;-1;0.25;8.75
+;9;17.25;Schäfli Severin;;28;25.5;10;17.0;1;-0.25;10.0
o;9;27.25;Gysel Hansruedi;;14;54.75;6;28.0;-3;0.75;8.5
+;13;35.75;Schmucki Ivo;;20;52.75;13;35.75;0;0.0;9.75
o;12;45.5;Surbeck Peter;*;12;55.25;12;45.5;0;0.0;8.75

17a;Poltera Andrin (1999);;;;;;;;;;54.0
o;;;Straub Paul;;;;;;;;8.5
+;4;8.5;Schegg Michael;;23;35.25;4;8.5;0;0.0;10.0
-;5;18.5;Notz Armin;*;22;35.5;8;17.5;3;-1.0;8.75
o;9;27.25;Stahel Felix;*;6;56.75;9;27.25;0;0.0;8.5
+;13;35.75;Schönenberger Christian;;17;54.0;13;35.75;0;0.0;9.75
o;12;45.5;Odermatt Christoph;*;10;55.75;11;45.75;-1;0.25;8.5

17b;Oertig Simon;;;;;;;;;;54.0
+;;;Vogel Thomas;;;;;;;;9.75
+;2;9.75;Dörig Erich;*;26;34.25;4;8.5;2;-1.25;10.0
o;2;19.75;Leuppi Samir;**;4;57.25;4;18.75;2;-1.0;8.5
o;5;28.25;Dändliker Shane;;13;55.0;5;28.25;0;0.0;8.75
o;8;37.0;Straub Robin;*;14;54.75;11;36.25;3;-0.75;8.5
o;12;45.5;Arztmann Beda;;13;55.0;13;45.25;1;-0.25;8.5

17c;Bürgler Patrick;;;;;;;;;;54.0
o;;;Schuler Martin;;;;;;;;8.5
o;4;8.5;Räbsamen Marcel (2000);;22;35.5;4;8.5;0;0.0;8.75
o;9;17.25;Schmucki Ivo;;20;52.75;10;17.0;1;-0.25;8.5
+;15;25.75;Meier Daniel;;25;34.5;14;26.0;-1;0.25;9.75
+;14;35.5;Sieber Marc (2000);;21;52.5;14;35.5;0;0.0;10.0
o;12;45.5;Junker Nik;;12;55.25;12;45.5;0;0.0;8.5

17d;Straub Paul;;;;;;;;;;54.0
+;;;Poltera Andrin (1999);;;;;;;;9.75
o;2;9.75;Bickel Roman (1998);*;13;55.0;4;8.5;2;-1.25;8.5
o;6;18.25;Vollenweider Jeremy (1998);*;5;57.0;6;18.25;0;0.0;8.5
+;11;26.75;Schönenberger Philipp;;26;34.25;15;25.75;4;-1.0;9.75
o;10;36.5;Vollmeier Sandro;;9;56.0;10;36.5;0;0.0;8.5
-;14;45.0;Hari Michi;;15;54.5;12;45.5;-2;0.5;9.0

17e;Hersche Stefan;;;;;;;;;;54.0
+;;;Gysel Hansruedi;;;;;;;;10.0
o;1;10.0;Oertig Dominik;*;7;56.5;3;8.75;2;-1.25;8.5
o;5;18.5;Akeret Benno;*;12;55.25;6;18.25;1;-0.25;8.5
+;10;27.0;Schnurrenberger Roger;;23;35.25;11;26.75;1;-0.25;9.75
o;9;36.75;Bernold Edi;**;11;55.5;8;37.0;-1;0.25;8.5
o;13;45.25;Bucher Roland;;12;55.25;12;45.5;-1;0.25;8.75

17f;Winzeler Dominik (2000);;;;;;;;;;54.0
o;;;Knup Stephan;;;;;;;;8.5
o;4;8.5;Inauen Marco (1999);;15;54.5;4;8.5;0;0.0;8.5
+;10;17.0;Schegg Michael;;23;35.25;10;17.0;0;0.0;9.75
-;11;26.75;Rüegger Remo (1999);;25;34.5;15;25.75;4;-1.0;8.75
o;14;35.5;Junker Nik;;12;55.25;14;35.5;0;0.0;8.5
+;18;44.0;Sieber Marc (2000);;21;52.5;18;44.0;0;0.0;10.0

17g;Furrer Damian (1998);;;;;;;;;;54.0
+;;;Inauen Marco (1999);;;;;;;;9.75
o;2;9.75;Hodler Mathias;;15;54.5;1;10.0;-1;0.25;8.5
o;6;18.25;Ueltschi Patric;*;19;53.0;9;17.25;3;-1.0;8.5
-;11;26.75;Notz Armin;*;22;35.5;12;26.5;1;-0.25;9.0
+;13;35.75;Frei Hanspeter (1999);;14;54.75;10;36.5;-3;0.75;9.75
o;12;45.5;Brand Andreas;*;12;55.25;12;45.5;0;0.0;8.5

17h;Schönenberger Christian;;;;;;;;;;54.0
-;;;Schönenberger Philipp;;;;;;;;8.75
o;3;8.75;Dumelin David;*;13;55.0;3;8.75;0;0.0;8.5
+;9;17.25;Rüegger Remo (1999);;25;34.5;9;17.25;0;0.0;10.0
o;9;27.25;Pfleghart Remo;;14;54.75;9;27.25;0;0.0;8.5
o;13;35.75;Poltera Andrin (1999);;17;54.0;13;35.75;0;0.0;8.5
+;17;44.25;Ueltschi Patric;*;19;53.0;16;44.5;-1;0.25;9.75

17i;Wolfer Lukas;;;;;;;;;;54.0
-;;;Danner Daniel;;;;;;;;8.75
+;3;8.75;Bäbler Dominik;*;29;17.0;4;8.5;1;-0.25;9.75
o;5;18.5;Kamer Hanspeter;*;10;55.75;8;17.5;3;-1.0;8.5
o;10;27.0;Vollmeier Sandro;;9;56.0;11;26.75;1;-0.25;8.5
o;14;35.5;Hari Michi;;15;54.5;13;35.75;-1;0.25;8.5
+;18;44.0;Sieber Marc (2000);;21;52.5;18;44.0;0;0.0;10.0

18a;Ulmann Fabian (1999);;;;;;;;;;53.75
+;;;Ochsner Reto (2000);;;;;;;;9.75
o;2;9.75;Schwyn Adrian;;8;56.25;2;9.75;0;0.0;8.5
+;6;18.25;Keller Andreas;*;23;35.25;10;17.0;4;-1.25;10.0
o;5;28.25;Steiner Michael;**;8;56.25;7;27.75;2;-0.5;8.5
o;9;36.75;Kammermann Dominik;;12;55.25;9;36.75;0;0.0;8.5
o;13;45.25;Pianta Christian;;16;54.25;17;44.25;4;-1.0;8.5

18b;Winzeler Simon (2000);;;;;;;;;;53.75
-;;;Rüegger Remo (1999);;;;;;;;8.75
-;3;8.75;Läng Dominick;;19;53.0;4;8.5;1;-0.25;8.75
-;8;17.5;Meier Daniel;;25;34.5;9;17.25;1;-0.25;8.75
+;13;26.25;Sieber Marc (2000);;21;52.5;10;27.0;-3;0.75;10.0
o;11;36.25;Schnyder Christian;;15;54.5;12;36.0;1;-0.25;8.5
-;15;44.75;Odermatt Michi;;20;52.75;18;44.0;3;-0.75;9.0

18c;Bill Ruedi;;;;;;;;;;53.75
o;;;Schwyn Patrick (1999);;;;;;;;8.5
+;4;8.5;Ochsner Reto (2000);;27;34.0;4;8.5;0;0.0;10.0
+;5;18.5;Frei Hanspeter (1999);;14;54.75;6;18.25;1;-0.25;9.75
o;5;28.25;Vollenweider Jeremy (1998);*;5;57.0;5;28.25;0;0.0;8.5
o;9;36.75;Keller Dominic;;13;55.0;9;36.75;0;0.0;8.5
o;13;45.25;Akeret Benno;*;12;55.25;12;45.5;-1;0.25;8.5

19a;Ueltschi Patric;*;;;;;;;;;53.0
o;;;Vollenweider Jeremy (1998);*;;;;;;;8.5
o;4;8.5;Keller Dominic;;13;55.0;2;9.75;-2;1.25;8.75
+;9;17.25;Furrer Damian (1998);;17;54.0;6;18.25;-3;1.0;9.75
o;10;27.0;Ott Dominik;*;13;55.0;8;27.5;-2;0.5;8.75
-;13;35.75;Hodler Mathias;;15;54.5;7;37.25;-6;1.5;8.75
o;16;44.5;Schönenberger Christian;;17;54.0;17;44.25;1;-0.25;8.5

19b;Läng Dominick;;;;;;;;;;53.0
o;;;Schwyn Adrian;;;;;;;;8.5
-;4;8.5;Winzeler Simon (2000);;18;53.75;3;8.75;-1;0.25;9.0
o;8;17.5;Vogel Thomas;;15;54.5;9;17.25;1;-0.25;8.5
+;14;26.0;Ochsner Reto (2000);;27;34.0;16;25.5;2;-0.5;10.0
o;12;36.0;Dumelin David;*;13;55.0;11;36.25;-1;0.25;8.5
o;16;44.5;Frei Hanspeter (1999);;14;54.75;14;45.0;-2;0.5;8.5

20a;Odermatt Michi;;;;;;;;;;52.75
o;;;Büsser André;;;;;;;;8.5
+;4;8.5;Schoch René (1999);;23;35.25;4;8.5;0;0.0;10.0
o;5;18.5;Frick Andreas;*;10;55.75;9;17.25;4;-1.25;8.5
o;10;27.0;Ammann Rico;*;6;56.75;9;27.25;-1;0.25;8.5
o;14;35.5;Pfiffner Ivo;;14;54.75;13;35.75;-1;0.25;8.5
-;18;44.0;Winzeler Simon (2000);;18;53.75;15;44.75;-3;0.75;8.75

20b;Schmucki Ivo;;;;;;;;;;52.75
o;;;Keller Dominic;;;;;;;;8.5
o;4;8.5;Arztmann Beda;;13;55.0;4;8.5;0;0.0;8.5
+;10;17.0;Bürgler Patrick;;17;54.0;9;17.25;-1;0.25;10.0
-;10;27.0;Dörig Erich;*;26;34.25;16;25.5;6;-1.5;8.75
o;13;35.75;Leuppi Karim;*;16;54.25;13;35.75;0;0.0;8.5
o;17;44.25;Reichmuth Beat;;13;55.0;14;45.0;-3;0.75;8.5

21a;Schiess Christian;;;;;;;;;;52.5
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Straub Robin;*;14;54.75;1;10.0;0;0.0;8.5
o;5;18.5;Oettli Marco;*;8;56.25;5;18.5;0;0.0;8.5
o;10;27.0;Schudel Simon;*;6;56.75;10;27.0;0;0.0;8.5
o;14;35.5;Danner Daniel;;14;54.75;11;36.25;-3;0.75;8.5
o;18;44.0;Schwyn Patrick (1999);;12;55.25;12;45.5;-6;1.5;8.5

21b;Sieber Marc (2000);;;;;;;;;;52.5
+;;;Ott Matthias (1999);;;;;;;;10.0
o;1;10.0;Schwyn Patrick (1999);;12;55.25;1;10.0;0;0.0;8.5
o;5;18.5;Inauen Marco (1999);;15;54.5;5;18.5;0;0.0;8.5
o;10;27.0;Winzeler Simon (2000);;18;53.75;13;26.25;3;-0.75;8.5
o;14;35.5;Bürgler Patrick;;17;54.0;14;35.5;0;0.0;8.5
o;18;44.0;Winzeler Dominik (2000);;17;54.0;18;44.0;0;0.0;8.5

22a;Notz Armin;*;;;;;;;;;35.5
-;;;Frick Andreas;*;;;;;;;8.75
-;3;8.75;Pfiffner Ivo;;14;54.75;2;9.75;-1;1.0;8.75
-;8;17.5;Poltera Andrin (1999);;17;54.0;5;18.5;-3;1.0;9.0
-;12;26.5;Furrer Damian (1998);;17;54.0;11;26.75;-1;0.25;9.0

22b;Räbsamen Marcel (2000);;;;;;;;;;35.5
o;;;Frei Hanspeter (1999);;;;;;;;8.5
+;4;8.5;Bürgler Patrick;;17;54.0;4;8.5;0;0.0;10.0
o;5;18.5;Kammermann Dominik;;12;55.25;5;18.5;0;0.0;8.5
o;10;27.0;Schwyn Adrian;;8;56.25;6;28.0;-4;1.0;8.5

23a;Riedi Thomas;;;;;;;;;;35.25
o;;;Reichmuth Beat;;;;;;;;8.5
o;4;8.5;Hungerbühler Marcel;;16;54.25;4;8.5;0;0.0;8.5
+;10;17.0;Ott Matthias (1999);;27;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Keller Andreas;*;23;35.25;16;25.5;5;-1.25;8.5

23b;Knup Stephan;;;;;;;;;;35.25
+;;;Winzeler Dominik (2000);;;;;;;;9.75
o;2;9.75;Horner Peter;**;5;57.0;4;8.5;2;-1.25;8.5
o;6;18.25;Reichmuth Beat;;13;55.0;6;18.25;0;0.0;8.5
o;11;26.75;Frei Hanspeter (1999);;14;54.75;11;26.75;0;0.0;8.5

23c;Schoch René (1999);;;;;;;;;;35.25
o;;;Dändliker Shane;;;;;;;;8.5
o;4;8.5;Odermatt Michi;;20;52.75;4;8.5;0;0.0;8.5
+;10;17.0;Ochsner Reto (2000);;27;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Brand Andreas;*;12;55.25;10;27.0;-1;0.25;8.5

23d;Braun Mathias;*;;;;;;;;;35.25
o;;;Schudel Simon;*;;;;;;;8.5
+;4;8.5;Rüegg Roman;*;29;17.0;4;8.5;0;0.0;9.75
o;6;18.25;Horner Peter;**;5;57.0;5;18.5;-1;0.25;8.5
o;11;26.75;Hungerbühler Marcel;;16;54.25;10;27.0;-1;0.25;8.5

23e;Hauser Simon (1998);;;;;;;;;;35.25
o;;;Kammermann Dominik;;;;;;;;8.5
+;4;8.5;Schäfli Severin;;28;25.5;4;8.5;0;0.0;9.75
o;6;18.25;Gysel Hansruedi;;14;54.75;6;18.25;0;0.0;8.5
o;11;26.75;Jöhl Christian;*;15;54.5;10;27.0;-1;0.25;8.5

23f;Schegg Michael;;;;;;;;;;35.25
o;;;Hodler Mathias;;;;;;;;8.5
o;4;8.5;Poltera Andrin (1999);;17;54.0;4;8.5;0;0.0;8.5
o;10;17.0;Winzeler Dominik (2000);;17;54.0;10;17.0;0;0.0;8.5
+;16;25.5;Ott Matthias (1999);;27;34.0;16;25.5;0;0.0;9.75

23g;Schnurrenberger Roger;;;;;;;;;;35.25
o;;;Keller Lukas;;;;;;;;8.5
+;4;8.5;Blaser Gian (1998);;26;34.25;4;8.5;0;0.0;9.75
o;6;18.25;Surbeck Peter;*;12;55.25;5;18.5;-1;0.25;8.5
o;11;26.75;Hersche Stefan;;17;54.0;10;27.0;-1;0.25;8.5

23h;Frauchiger Remo;;;;;;;;;;35.25
o;;;Notz Hans;*;;;;;;;8.5
o;4;8.5;Pianta Christian;;16;54.25;4;8.5;0;0.0;8.5
+;10;17.0;Blaser Gian (1998);;26;34.25;10;17.0;0;0.0;9.75
o;11;26.75;Schnyder Christian;;15;54.5;14;26.0;3;-0.75;8.5

23i;Keller Andreas;*;;;;;;;;;35.25
o;;;Pfister Florian;*;;;;;;;8.5
o;4;8.5;Vestner Roman;*;4;57.25;3;8.75;-1;0.25;8.5
o;10;17.0;Ulmann Fabian (1999);;18;53.75;6;18.25;-4;1.25;8.5
+;16;25.5;Riedi Thomas;;23;35.25;11;26.75;-5;1.25;9.75

24a;Streuli Martin;*;;;;;;;;;34.75
-;;;Jöhl Christian;*;;;;;;;8.75
-;3;8.75;Odermatt Christoph;*;10;55.75;3;8.75;0;0.0;8.75
-;8;17.5;Wittenwiler Roman (1998);;11;55.5;5;18.5;-3;1.0;8.75
o;13;26.25;Aerne Christian;;16;54.25;15;25.75;2;-0.5;8.5

25a;Meier Daniel;;;;;;;;;;34.5
o;;;Pfleghart Remo;;;;;;;;8.5
-;4;8.5;Schnyder Christian;;15;54.5;4;8.5;0;0.0;8.75
-;9;17.25;Winzeler Simon (2000);;18;53.75;8;17.5;-1;0.25;8.75
o;14;26.0;Bürgler Patrick;;17;54.0;15;25.75;1;-0.25;8.5

25b;Elmer Daniel;*;;;;;;;;;34.5
o;;;Surbeck Peter;*;;;;;;;8.5
-;4;8.5;Pfleghart Remo;;14;54.75;2;9.75;-2;1.25;9.0
o;8;17.5;Schuler Martin;;12;55.25;5;18.5;-3;1.0;8.5
o;14;26.0;Aerne Christian;;16;54.25;15;25.75;1;-0.25;8.5

25c;Rüegger Remo (1999);;;;;;;;;;34.5
-;;;Winzeler Simon (2000);;;;;;;;8.75
o;3;8.75;Stahel Felix;*;6;56.75;3;8.75;0;0.0;8.5
o;9;17.25;Schönenberger Christian;;17;54.0;9;17.25;0;0.0;8.5
-;15;25.75;Winzeler Dominik (2000);;17;54.0;11;26.75;-4;1.0;8.75

26a;Blaser Gian (1998);;;;;;;;;;34.25
o;;;Rentsch Christian (1998);;;;;;;;8.5
o;4;8.5;Schnurrenberger Roger;;23;35.25;4;8.5;0;0.0;8.5
o;10;17.0;Frauchiger Remo;;23;35.25;10;17.0;0;0.0;8.5
-;16;25.5;Schnyder Christian;;15;54.5;14;26.0;-2;0.5;8.75

26b;Schönenberger Philipp;;;;;;;;;;34.25
-;;;Schönenberger Christian;;;;;;;;8.75
o;3;8.75;Bühler Hannes;*;5;57.0;3;8.75;0;0.0;8.5
o;9;17.25;Ott Dominik;*;13;55.0;8;17.5;-1;0.25;8.5
o;15;25.75;Straub Paul;;17;54.0;11;26.75;-4;1.0;8.5

26c;Dörig Erich;*;;;;;;;;;34.25
o;;;Wey Nicola;*;;;;;;;8.5
o;4;8.5;Oertig Simon;;17;54.0;2;9.75;-2;1.25;8.5
o;10;17.0;Arztmann Beda;;13;55.0;6;18.25;-4;1.25;8.5
-;16;25.5;Schmucki Ivo;;20;52.75;10;27.0;-6;1.5;8.75

27a;Ott Matthias (1999);;;;;;;;;;34.0
o;;;Sieber Marc (2000);;;;;;;;8.5
o;4;8.5;Junker Nik;;12;55.25;4;8.5;0;0.0;8.5
o;10;17.0;Riedi Thomas;;23;35.25;10;17.0;0;0.0;8.5
o;16;25.5;Schegg Michael;;23;35.25;16;25.5;0;0.0;8.5

27b;Ochsner Reto (2000);;;;;;;;;;34.0
o;;;Ulmann Fabian (1999);;;;;;;;8.5
o;4;8.5;Bill Ruedi;;18;53.75;4;8.5;0;0.0;8.5
o;10;17.0;Schoch René (1999);;23;35.25;10;17.0;0;0.0;8.5
o;16;25.5;Läng Dominick;;19;53.0;14;26.0;-2;0.5;8.5

28a;Schäfli Severin;;;;;;;;;;25.5
o;;;Bucher Roland;;;;;;;;8.5
o;4;8.5;Hauser Simon (1998);;23;35.25;4;8.5;0;0.0;8.5
o;10;17.0;Leuppi Karim;*;16;54.25;9;17.25;-1;0.25;8.5

29a;Rüegg Roman;*;;;;;;;;;17.0
o;;;Brand Andreas;*;;;;;;;8.5
o;4;8.5;Braun Mathias;*;23;35.25;4;8.5;0;0.0;8.5

29b;Bäbler Dominik;*;;;;;;;;;17.0
o;;;Akeret Benno;*;;;;;;;8.5
o;4;8.5;Wolfer Lukas;;17;54.0;3;8.75;-1;0.25;8.5

