3393-2016-06-05_Schaffhauser_Kantonalschwingfest-ST

1a;Forrer Arnold;***;;;;;;;;;58.5
5d;Wickli Beat;**;;;;;;;;;57.0
-;;;Zbinden Marc;*;;;;;;;8.75
+;3;8.75;Wittenwiler Roman (1998);;11;55.5;1;10.0;-2;1.25;10.0
+;4;18.75;Brand Andreas;*;12;55.25;5;18.5;1;-0.25;10.0
+;3;28.75;Schnurrenberger Roman;**;8;56.25;4;28.5;1;-0.25;9.75
o;2;38.5;Kindlimann Fabian;***;2;57.75;4;38.0;2;-0.5;8.5
+;6;47.0;Dumelin David;*;13;55.0;9;46.25;3;-0.75;10.0

5e;Bühler Hannes;*;;;;;;;;;57.0
-;;;Vestner Roman;*;;;;;;;8.75
+;3;8.75;Schönenberger Philipp;;26;34.25;3;8.75;0;0.0;10.0
+;4;18.75;Baumann Rico;*;11;55.5;2;19.75;-2;1.0;9.75
o;4;28.5;Eugster Ruedi;**;5;57.0;4;28.5;0;0.0;8.5
+;8;37.0;Arztmann Beda;;13;55.0;9;36.75;1;-0.25;10.0
+;6;47.0;Wittenwiler Roman (1998);;11;55.5;6;47.0;0;0.0;10.0

5f;Vollenweider Jeremy (1998);*;;;;;;;;;57.0
+;;;Ueltschi Patric;*;;;;;;;9.75
o;2;9.75;Wey Nicola;*;9;56.0;1;10.0;-1;0.25;8.5
+;6;18.25;Straub Paul;;17;54.0;6;18.25;0;0.0;10.0
+;5;28.25;Bill Ruedi;;18;53.75;5;28.25;0;0.0;10.0
+;3;38.25;Rütsche Stefan;*;15;54.5;7;37.25;4;-1.0;9.75
-;2;48.0;Oettli Marco;*;8;56.25;5;47.25;3;-0.75;9.0

6a;Schudel Simon;*;;;;;;;;;56.75
+;;;Braun Mathias;*;;;;;;;9.75
o;2;9.75;Notz Hans;*;9;56.0;1;10.0;-1;0.25;8.75
o;5;18.5;Bucher Roland;;12;55.25;5;18.5;0;0.0;8.5
+;10;27.0;Schiess Christian;;21;52.5;10;27.0;0;0.0;10.0
+;8;37.0;Vogel Thomas;;15;54.5;7;37.25;-1;0.25;9.75
+;7;46.75;Danner Daniel;;14;54.75;9;46.25;2;-0.5;10.0

6b;Stahel Felix;*;;;;;;;;;56.75
-;;;Ott Dominik;*;;;;;;;8.75
+;3;8.75;Rüegger Remo (1999);;25;34.5;3;8.75;0;0.0;9.75
o;5;18.5;Oertig Dominik;*;7;56.5;5;18.5;0;0.0;8.75
+;9;27.25;Poltera Andrin (1999);;17;54.0;9;27.25;0;0.0;10.0
+;7;37.25;Akeret Benno;*;12;55.25;8;37.0;1;-0.25;9.75
+;6;47.0;Rentsch Christian (1998);;10;55.75;6;47.0;0;0.0;9.75

6c;Ammann Rico;*;;;;;;;;;56.75
+;;;Leuppi Karim;*;;;;;;;9.75
-;2;9.75;Pfister Florian;*;11;55.5;2;9.75;0;0.0;9.0
o;4;18.75;Kindlimann Fabian;***;2;57.75;6;18.25;2;-0.5;8.5
