4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
+;18;45.0;Vogel Laurin (2002);;20;54.0;16;45.5;-2;0.5;10.0

16k;Wüthrich Philip;*;;;;;;;;;55.0
+;;;Lemmenmeier Lukas;*;;;;;;;9.75
+;4;9.75;Thalmann Adrian;;2;91.25;2;18.5;-2;8.75;10.0
+;4;19.75;Gloggner Reto;**;8;57.0;4;19.75;0;0.0;9.75
o;5;29.5;Wicki Joel;**;3;59.25;5;29.5;0;0.0;8.5
o;8;38.0;Stöckli Damian;;8;57.0;6;38.5;-2;0.5;8.5
o;12;46.5;Heiniger Marco;*;9;56.75;10;47.0;-2;0.5;8.5

16l;Klauser Nico;;;;;;;;;;55.0
-;;;Krummenacher Roman;;;;;;;;8.75
+;6;8.75;Bussmann Martin;;21;53.75;7;8.5;1;-0.25;9.75
o;8;18.5;Suppiger Thomas;*;16;55.0;10;17.75;2;-0.75;8.5
+;14;27.0;Gloggner Elias (2002);;32;35.5;14;27.0;0;0.0;9.75
o;13;36.75;Stäger Franz (2000);;15;55.25;13;36.75;0;0.0;8.5
+;17;45.25;Waser David (2002);;22;53.5;18;45.0;1;-0.25;9.75

16m;Fessler Linus;**;;;;;;;;;55.0
-;;;Hirsiger Alexander;*;;;;;;;8.75
+;6;8.75;Fässler Dominic;**;34;34.75;6;8.75;0;0.0;10.0
-;7;18.75;Ottiger Lukas;;14;55.5;3;20.0;-4;1.25;9.0
-;11;27.75;Thalmann Adrian;;2;91.25;2;55.5;-9;27.75;8.75
+;14;36.5;Hodler Mathias;;17;54.75;14;36.5;0;0.0;9.75
o;13;46.25;Müller Michael;**;10;56.5;12;46.5;-1;0.25;8.75

16n;Ziegler Manuel;;;;;;;;;;55.0
o;;;Vogel Marcel;;;;;;;;8.5
+;7;8.5;Troxler Silvan (2002);;32;35.5;7;8.5;0;0.0;10.0
o;8;18.5;Lussi Marco;*;9;56.75;11;17.5;3;-1.0;8.5
+;14;27.0;Burri Timo (2001);;33;35.25;15;26.75;1;-0.25;9.75
o;13;36.75;Kälin Roland;**;8;57.0;12;37.0;-1;0.25;8.5
+;17;45.25;Amrein Lukas;;21;53.75;17;45.25;0;0.0;9.75

17a;Arnold Andreas;*;;;;;;;;;54.75
o;;;Muff André;*;;;;;;;8.5
-;7;8.5;Suppiger Thomas;*;16;55.0;5;9.0;-2;0.5;8.75
-;12;17.25;Vogel Manuel;;18;54.5;8;18.5;-4;1.25;8.75
+;18;26.0;Elmiger Matthias;;18;54.5;12;27.5;-6;1.5;10.0
+;16;36.0;Kottmann Jonas (2000);;21;53.75;13;36.75;-3;0.75;10.0
o;14;46.0;Gerber Peter;*;13;55.75;14;46.0;0;0.0;8.75

17b;Spichtig Aldo;;;;;;;;;;54.75
o;;;Murpf Dario;;;;;;;;8.5
+;7;8.5;Hodel Iwan (2002);;37;34.0;7;8.5;0;0.0;10.0
-;8;18.5;Bachmann Roger;*;15;55.25;11;17.5;3;-1.0;9.0
-;12;27.5;Bühler Patrice;;16;55.0;12;27.5;0;0.0;8.75
+;15;36.25;Ziegler Elias;;17;54.75;14;36.5;-1;0.25;10.0
o;13;46.25;Fellmann Roman;*;7;57.25;9;47.25;-4;1.0;8.5

17c;Amgarten Roman;*;;;;;;;;;54.75
o;;;Bättig Martin;*;;;;;;;8.5
+;7;8.5;Renggli Remo (2001);;32;35.5;3;10.0;-4;1.5;9.75
o;9;18.25;Fankhauser Erich;***;5;58.0;9;18.25;0;0.0;8.5
+;15;26.75;Banz Matthias (2001);;19;54.25;13;27.25;-2;0.5;9.75
+;14;36.5;Amrein Lukas;;21;53.75;13;36.75;-1;0.25;9.75
o;13;46.25;Lang Sven;*;9;56.75;11;46.75;-2;0.5;8.5

17d;Hodler Mathias;;;;;;;;;;54.75
o;;;Imfeld Beat;;;;;;;;8.5
o;7;8.5;Scherrer Patrick;;30;36.75;7;8.5;0;0.0;8.5
+;13;17.0;Riedi Rafael (2002);;32;35.5;13;17.0;0;0.0;9.75
+;15;26.75;Marti Pirmin (2001);;33;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Fessler Linus;**;16;55.0;14;36.5;0;0.0;8.5
+;18;45.0;Rohrer Timo (2001);;22;53.5;18;45.0;0;0.0;9.75

17e;Durrer Nando;*;;;;;;;;;54.75
-;;;Suppiger Thomas;*;;;;;;;8.75
-;6;8.75;Kammermann Thomas;*;21;53.75;6;8.75;0;0.0;8.75
+;11;17.5;Widmer Dominik;;19;54.25;8;18.5;-3;1.0;9.75
+;13;27.25;Gisler Stefan;;16;55.0;11;27.75;-2;0.5;9.75
-;12;37.0;Wüest David (2000);;13;55.75;11;37.25;-1;0.25;8.75
-;15;45.75;Bühler Patrice;;16;55.0;14;46.0;-1;0.25;9.0

17f;Achermann Daniel;;;;;;;;;;54.75
+;;;Hodel Michael (2000);;;;;;;;9.75
o;4;9.75;Fellmann Simon;;15;55.25;3;10.0;-1;0.25;8.5
+;9;18.25;Ettlin Kevin (2001);;33;35.25;9;18.25;0;0.0;9.75
o;10;28.0;Fankhauser Reto;*;1;111.25;1;56.5;-9;28.5;8.5
+;14;36.5;Bieri Elias;;19;54.25;13;36.75;-1;0.25;9.75
o;13;46.25;Stucki Christian;*;14;55.5;16;45.5;3;-0.75;8.5

17g;Huser Tobias (2002);;;;;;;;;;54.75
o;;;Durrer Robin;;;;;;;;8.5
+;7;8.5;Blattmann Philipp (2000);;24;53.0;6;8.75;-1;0.25;9.75
o;9;18.25;Scherrer Patrick;;30;36.75;9;18.25;0;0.0;8.5
+;15;26.75;Ettlin Kevin (2001);;33;35.25;15;26.75;0;0.0;9.75
o;14;36.5;Gwerder Marco;;16;55.0;14;36.5;0;0.0;8.5
+;18;45.0;Kottmann Jonas (2000);;21;53.75;17;45.25;-1;0.25;9.75

17h;Bühlmann Daniel (2000);;;;;;;;;;54.75
-;;;Baumann Lukas;;;;;;;;8.75
+;6;8.75;Weber Roman;;24;53.0;7;8.5;1;-0.25;9.75
o;8;18.5;Zimmermann Simon;**;12;56.0;11;17.5;3;-1.0;8.5
-;14;27.0;Wicki Patrick;;24;53.0;14;27.0;0;0.0;8.75
+;17;35.75;Wandeler Roman (2002);;18;54.5;16;36.0;-1;0.25;10.0
-;15;45.75;Hofmann Florian;**;19;54.25;17;45.25;2;-0.5;9.0

17i;Reichmuth Roland;;;;;;;;;;54.75
+;;;Elmiger Matthias;;;;;;;;10.0
o;3;10.0;Heiniger Marco;*;9;56.75;6;8.75;3;-1.25;8.75
+;7;18.75;Häller Nick (2002);;32;35.5;8;18.5;1;-0.25;10.0
o;7;28.75;Portmann Josef;*;10;56.5;9;28.25;2;-0.5;8.75
o;10;37.5;Fankhauser Reto;**;1;111.25;1;75.25;-9;37.75;8.75
o;13;46.25;Thierstein Marco;*;8;57.0;10;47.0;-3;0.75;8.5

17j;Felder Martin;*;;;;;;;;;54.75
o;;;Inderbitzin Daniel;*;;;;;;;8.5
o;7;8.5;Steinauer Adrian;**;9;56.75;7;8.5;0;0.0;8.5
+;13;17.0;Gemsch Stefan;;33;35.25;9;18.25;-4;1.25;9.75
+;15;26.75;Kempf Damian;;32;35.5;14;27.0;-1;0.25;9.75
+;14;36.5;Rüttimann Daniel;;18;54.5;12;37.0;-2;0.5;9.75
o;13;46.25;Kälin Roland;**;8;57.0;10;47.0;-3;0.75;8.5

17k;Ziegler Elias;;;;;;;;;;54.75
+;;;Schwyzer Samuel (2001);;;;;;;;9.75
+;4;9.75;Gisler Jonas (2001);;18;54.5;3;10.0;-1;0.25;9.75
o;5;19.5;Bucher Roland;*;27;46.75;8;18.5;3;-1.0;8.5
o;10;28.0;Schmid Simon (2000);*;11;56.25;12;27.5;2;-0.5;8.5
o;14;36.5;Spichtig Aldo;;17;54.75;15;36.25;1;-0.25;8.5
+;18;45.0;Bucher Sandro (2000);;29;45.0;18;45.0;0;0.0;9.75

18a;Gisler Jonas (2001);;;;;;;;;;54.5
+;;;Amrein Thomas;;;;;;;;10.0
o;3;10.0;Ziegler Elias;;17;54.75;4;9.75;1;-0.25;8.75
o;7;18.75;Egli Damian;**;14;55.5;9;18.25;2;-0.5;8.5
+;13;27.25;Widmer Dominik;;19;54.25;13;27.25;0;0.0;10.0
o;11;37.25;Fink Bruno;*;9;56.75;13;36.75;2;-0.5;8.5
-;15;45.75;Wyrsch Silvio;*;18;54.5;15;45.75;0;0.0;8.75

18b;Elmiger Andreas;;;;;;;;;;54.5
o;;;Rüttimann Daniel;;;;;;;;8.5
+;7;8.5;Banz Matthias (2001);;19;54.25;3;10.0;-4;1.5;10.0
-;8;18.5;Zimmermann Daniel;*;18;54.5;11;17.5;3;-1.0;8.75
-;13;27.25;Bürgi Reto;*;33;35.25;16;26.5;3;-0.75;8.75
+;16;36.0;Von Euw Adi;;23;53.25;17;35.75;1;-0.25;10.0
o;14;46.0;Baumann Lukas;;13;55.75;14;46.0;0;0.0;8.5

18c;Hurschler Adrian;;;;;;;;;;54.5
o;;;Wicki Kevin;;;;;;;;8.5
-;7;8.5;Fallegger Joel;;18;54.5;5;9.0;-2;0.5;8.75
+;12;17.25;Egli Samuel;;37;34.0;13;17.0;1;-0.25;10.0
o;13;27.25;Vogel Marcel;;14;55.5;14;27.0;1;-0.25;8.5
+;17;35.75;Marti Philipp (2002);;19;54.25;17;35.75;0;0.0;10.0
-;15;45.75;Kammermann Thomas;*;21;53.75;18;45.0;3;-0.75;8.75

18d;Rüttimann Daniel;;;;;;;;;;54.5
+;;;Elmiger Andreas;;;;;;;;9.75
o;4;9.75;Felder Seppi;*;13;55.75;6;8.75;2;-1.0;8.75
-;8;18.5;Kammermann Dominik;;21;53.75;8;18.5;0;0.0;8.75
+;13;27.25;Ziegler Dominik;;25;52.75;13;27.25;0;0.0;9.75
o;12;37.0;Felder Martin;*;17;54.75;14;36.5;2;-0.5;8.75
-;15;45.75;Heiniger Luca;;18;54.5;15;45.75;0;0.0;8.75

18e;Ulrich Livio;;;;;;;;;;54.5
+;;;Achermann Ueli (2001);;;;;;;;10.0
+;3;10.0;Herger Lukas;*;40;17.5;6;8.75;3;-1.25;9.75
o;4;19.75;Baumann Roger;*;12;56.0;6;19.0;2;-0.75;8.5
-;9;28.25;Wicki David;;18;54.5;8;28.5;-1;0.25;9.0
o;11;37.25;Bättig Martin;*;12;56.0;11;37.25;0;0.0;8.5
-;15;45.75;Hurschler Michael;;19;54.25;16;45.5;1;-0.25;8.75

18f;Zimmermann Raffael (2000);;;;;;;;;;54.5
o;;;Ottiger Lukas;;;;;;;;8.5
o;7;8.5;Vogel Laurin (2002);;20;54.0;6;8.75;-1;0.25;8.75
+;12;17.25;Leisibach Gian (2002);;37;34.0;13;17.0;1;-0.25;10.0
-;13;27.25;Wandeler Roman (2002);;18;54.5;14;27.0;1;-0.25;9.0
o;15;36.25;Stadelmann Pius;*;18;54.5;17;35.75;2;-0.5;8.5
+;19;44.75;Aregger Fabian (2001);;20;54.0;16;45.5;-3;0.75;9.75

18g;Wyrsch Silvio;*;;;;;;;;;54.5
o;;;Blaser Roman;*;;;;;;;8.5
o;7;8.5;Linggi Bruno;**;10;56.5;6;8.75;-1;0.25;8.5
+;13;17.0;Lischer Daniel;;33;35.25;9;18.25;-4;1.25;10.0
-;14;27.0;Beffa Mario;;15;55.25;10;28.0;-4;1.0;8.75
+;17;35.75;Bussmann Martin;;21;53.75;13;36.75;-4;1.0;10.0
-;15;45.75;Gisler Jonas (2001);;18;54.5;15;45.75;0;0.0;8.75

18h;Vogel Manuel;;;;;;;;;;54.5
o;;;Beffa Mario;;;;;;;;8.5
+;7;8.5;Elmiger Elias (2001);;36;34.25;7;8.5;0;0.0;10.0
-;8;18.5;Arnold Andreas;*;17;54.75;12;17.25;4;-1.25;9.0
o;12;27.5;Lemmenmeier Lukas;*;14;55.5;14;27.0;2;-0.5;8.5
+;16;36.0;von Rickenbach Pirmin (2002);;24;53.0;16;36.0;0;0.0;10.0
o;14;46.0;Zgraggen Fabian;*;12;56.0;14;46.0;0;0.0;8.5

18i;Elmiger Matthias;;;;;;;;;;54.5
o;;;Reichmuth Roland;;;;;;;;8.5
+;7;8.5;Hodel Martin;;18;54.5;5;9.0;-2;0.5;10.0
-;8;18.5;Bürgi Reto;*;33;35.25;11;17.5;3;-1.0;9.0
o;12;27.5;Arnold Andreas;*;17;54.75;18;26.0;6;-1.5;8.5
-;16;36.0;Kammermann Dominik;;21;53.75;16;36.0;0;0.0;8.75
+;19;44.75;Burri Ueli;;22;53.5;18;45.0;-1;0.25;9.75

18j;Widmer Simon;;;;;;;;;;54.5
o;;;Widmer Dominik;;;;;;;;8.5
+;7;8.5;Odermatt Andreas;;20;54.0;6;8.75;-1;0.25;10.0
o;8;18.5;Gwerder Guido;**;13;55.75;11;17.5;3;-1.0;8.5
-;14;27.0;von Rickenbach Pirmin (2002);;24;53.0;13;27.25;-1;0.25;9.0
+;16;36.0;Blattmann Philipp (2000);;24;53.0;16;36.0;0;0.0;10.0
o;14;46.0;Waser Dominik;**;14;55.5;16;45.5;2;-0.5;8.5

18k;Hodel Martin;;;;;;;;;;54.5
-;;;Gisler Stefan;;;;;;;;9.0
o;5;9.0;Elmiger Matthias;;18;54.5;7;8.5;2;-0.5;8.5
o;11;17.5;Kempf Damian;;32;35.5;12;17.25;1;-0.25;8.5
+;18;26.0;Birrer David (2002);;36;34.25;19;25.75;1;-0.25;10.0
+;16;36.0;Amrein Thomas;;22;53.5;16;36.0;0;0.0;10.0
o;14;46.0;Bucher Roland;*;27;46.75;11;46.75;-3;0.75;8.5

18l;Wandeler Roman (2002);;;;;;;;;;54.5
+;;;Rohrer Timo (2001);;;;;;;;9.75
-;4;9.75;Birchler Fabian (2000);;21;53.75;3;10.0;-1;0.25;8.75
o;8;18.5;Zimmermann Martin;**;9;56.75;10;17.75;2;-0.75;8.5
-;14;27.0;Zimmermann Raffael (2000);;18;54.5;13;27.25;-1;0.25;9.0
o;16;36.0;Bühlmann Daniel (2000);;17;54.75;17;35.75;1;-0.25;8.5
+;20;44.5;Blattmann Philipp (2000);;24;53.0;20;44.5;0;0.0;10.0

18m;Heiniger Luca;;;;;;;;;;54.5
+;;;Waser David (2002);;;;;;;;10.0
+;3;10.0;Bienz Romeo;;19;54.25;4;9.75;1;-0.25;9.75
o;4;19.75;Fellmann Roman;*;7;57.25;8;18.5;4;-1.25;8.5
-;9;28.25;Bucher Christian;*;14;55.5;14;27.0;5;-1.25;9.0
o;11;37.25;Schmid Simon (2000);*;11;56.25;11;37.25;0;0.0;8.5
-;15;45.75;Rüttimann Daniel;;18;54.5;15;45.75;0;0.0;8.75

18n;Fallegger Joel;;;;;;;;;;54.5
-;;;Rohrer André;;;;;;;;9.0
-;5;9.0;Hurschler Adrian;;18;54.5;7;8.5;2;-0.5;8.75
+;10;17.75;Füglister Florian (2002);;33;35.25;13;17.0;3;-0.75;10.0
o;11;27.75;Wyss Kilian;**;15;55.25;15;26.75;4;-1.0;8.5
+;15;36.25;Grüter Marcel;;19;54.25;16;36.0;1;-0.25;9.75
o;14;46.0;Graber Michael;*;12;56.0;14;46.0;0;0.0;8.5

18o;Zimmermann Daniel;*;;;;;;;;;54.5
-;;;Zgraggen Fabian;*;;;;;;;8.75
o;6;8.75;Schmid Simon (2000);*;11;56.25;6;8.75;0;0.0;8.75
-;11;17.5;Elmiger Andreas;;18;54.5;8;18.5;-3;1.0;8.75
+;17;26.25;Hodel Michael (2000);;19;54.25;13;27.25;-4;1.0;10.0
o;15;36.25;Lang Sven;*;9;56.75;13;36.75;-2;0.5;8.5
+;19;44.75;Wicki Patrick;;24;53.0;20;44.5;1;-0.25;9.75

18p;Wicki David;;;;;;;;;;54.5
+;;;Troxler Silvan (2002);;;;;;;;10.0
+;3;10.0;Ulrich Marco;*;41;17.0;7;8.5;4;-1.5;10.0
o;3;20.0;Gwerder Michael (2000);*;9;56.75;6;19.0;3;-1.0;8.5
-;8;28.5;Ulrich Livio;;18;54.5;9;28.25;1;-0.25;9.0
o;10;37.5;Zurﬂuh Michael;*;12;56.0;11;37.25;1;-0.25;8.5
o;14;46.0;Wüest David (2000);;13;55.75;14;46.0;0;0.0;8.5

18q;Gander Martin;;;;;;;;;;54.5
+;;;Thalmann Adrian;;;;;;;;9.75
+;4;9.75;Wyss Christian;;24;53.0;3;10.0;-1;0.25;10.0
-;4;19.75;Schnider Markus;*;19;54.25;8;18.5;4;-1.25;8.75
-;8;28.5;Gerber Peter;*;13;55.75;13;27.25;5;-1.25;9.0
o;10;37.5;Schmidiger Marco;*;9;56.75;12;37.0;2;-0.5;8.5
o;14;46.0;Thalmann Adrian;;2;91.25;2;81.5;-12;35.5;8.5

18r;Durrer Ueli;;;;;;;;;;54.5
o;;;Thalmann Adrian;;;;;;;;8.5
+;7;8.5;Schmid Joel;;35;34.5;6;8.75;-1;0.25;10.0
-;8;18.5;Kammermann Thomas;*;21;53.75;11;17.5;3;-1.0;8.75
+;13;27.25;Renggli Remo (2001);;32;35.5;14;27.0;1;-0.25;10.0
o;11;37.25;Felder Seppi;*;13;55.75;12;37.0;1;-0.25;8.5
-;15;45.75;Bieri Elias;;19;54.25;16;45.5;1;-0.25;8.75

18s;Doppmann Ueli;;;;;;;;;;54.5
+;;;Krummenacher Fabian;;;;;;;;10.0
-;3;10.0;Keller Janik;*;31;36.0;5;9.0;2;-1.0;8.75
+;7;18.75;Banz Matthias (2001);;19;54.25;8;18.5;1;-0.25;9.75
-;8;28.5;Scherer Niklaus;*;20;54.0;10;28.0;2;-0.5;9.0
o;10;37.5;Widmer Adrian;*;12;56.0;10;37.5;0;0.0;8.5
o;14;46.0;Durrer Robin;;14;55.5;15;45.75;1;-0.25;8.5

18t;Stadelmann Pius;*;;;;;;;;;54.5
o;;;Amgarten Martin;*;;;;;;;8.5
-;7;8.5;Lussi Marco;*;9;56.75;6;8.75;-1;0.25;8.75
+;12;17.25;Marti Philipp (2002);;19;54.25;8;18.5;-4;1.25;9.75
-;14;27.0;Durrer Robin;;14;55.5;8;28.5;-6;1.5;8.75
+;17;35.75;Zimmermann Raffael (2000);;18;54.5;15;36.25;-2;0.5;10.0
o;15;45.75;Gut Koni;;13;55.75;10;47.0;-5;1.25;8.75

19a;Bienz Romeo;;;;;;;;;;54.25
+;;;Kottmann Jonas (2000);;;;;;;;9.75
o;4;9.75;Heiniger Luca;;18;54.5;3;10.0;-1;0.25;8.5
+;9;18.25;Marti Pirmin (2001);;33;35.25;9;18.25;0;0.0;9.75
-;10;28.0;Stucki Christian;*;14;55.5;12;27.5;2;-0.5;9.0
-;12;37.0;Wicki Kevin;;19;54.25;12;37.0;0;0.0;8.75
o;15;45.75;Lemmenmeier Lukas;*;14;55.5;15;45.75;0;0.0;8.5

19b;Bieri Elias;;;;;;;;;;54.25
+;;;Bühler Ramon (2002);;;;;;;;10.0
+;3;10.0;Egli Christian (2000);;20;54.0;4;9.75;1;-0.25;9.75
o;4;19.75;Rohrer Ueli;*;11;56.25;8;18.5;4;-1.25;8.5
o;9;28.25;Lussi Marco;*;9;56.75;13;27.25;4;-1.0;8.5
o;13;36.75;Achermann Daniel;;17;54.75;14;36.5;1;-0.25;8.75
-;16;45.5;Durrer Ueli;;18;54.5;15;45.75;-1;0.25;8.75

19c;Banz Matthias (2001);;;;;;;;;;54.25
+;;;Achermann Patrick (2000);;;;;;;;10.0
o;3;10.0;Elmiger Andreas;;18;54.5;7;8.5;4;-1.5;8.5
o;8;18.5;Doppmann Ueli;;18;54.5;7;18.75;-1;0.25;8.75
o;13;27.25;Amgarten Roman;*;17;54.75;15;26.75;2;-0.5;8.5
o;17;35.75;Baumann Lukas;;13;55.75;16;36.0;-1;0.25;8.5
+;21;44.25;Weber Roman;;24;53.0;20;44.5;-1;0.25;10.0

19d;Widmer Dominik;;;;;;;;;;54.25
+;;;Widmer Simon;;;;;;;;10.0
o;3;10.0;Wicki Kevin;;19;54.25;3;10.0;0;0.0;8.5
o;8;18.5;Durrer Nando;*;17;54.75;11;17.5;3;-1.0;8.75
o;13;27.25;Gisler Jonas (2001);;18;54.5;13;27.25;0;0.0;8.5
+;17;35.75;Ziegler Dominik;;25;52.75;17;35.75;0;0.0;10.0
o;15;45.75;Fassbind René;*;14;55.5;16;45.5;1;-0.25;8.5

19e;Hurschler Michael;;;;;;;;;;54.25
+;;;Lischer Daniel;;;;;;;;9.75
+;4;9.75;Peter Lukas (2001);;33;35.25;4;9.75;0;0.0;10.0
o;4;19.75;Felder Seppi;*;13;55.75;8;18.5;4;-1.25;8.5
o;9;28.25;Hirsiger Alexander;*;16;55.0;11;27.75;2;-0.5;8.5
o;13;36.75;Scherrer Fabian (2002);;16;55.0;13;36.75;0;0.0;8.75
-;16;45.5;Ulrich Livio;;18;54.5;15;45.75;-1;0.25;8.75

19f;Schnider Markus;*;;;;;;;;;54.25
o;;;Baumann Roger;*;;;;;;;8.5
+;7;8.5;Zwyer Simon;;21;53.75;4;9.75;-3;1.25;10.0
-;8;18.5;Gander Martin;;18;54.5;4;19.75;-4;1.25;8.75
+;13;27.25;Burri Ueli;;22;53.5;10;28.0;-3;0.75;10.0
o;11;37.25;Wyrsch Marco;**;8;57.0;11;37.25;0;0.0;8.5
o;15;45.75;Bucher Christian;*;14;55.5;15;45.75;0;0.0;8.5

19g;Rust Sandro;;;;;;;;;;54.25
o;;;Gwerder Marco;;;;;;;;8.5
-;7;8.5;Achermann Ueli (2001);;32;35.5;7;8.5;0;0.0;8.75
-;12;17.25;Gloggner André (2001);;25;52.75;13;17.0;1;-0.25;8.75
+;18;26.0;Peter Lukas (2001);;33;35.25;15;26.75;-3;0.75;9.75
-;17;35.75;Schmid Joel;;35;34.5;21;34.5;4;-1.25;8.75
+;20;44.5;von Rickenbach Pirmin (2002);;24;53.0;20;44.5;0;0.0;9.75

19h;Wicki Kevin;;;;;;;;;;54.25
+;;;Hurschler Adrian;;;;;;;;10.0
+;3;10.0;Widmer Dominik;;19;54.25;3;10.0;0;0.0;9.75
o;4;19.75;Inderbitzin Daniel;*;10;56.5;8;18.5;4;-1.25;8.75
o;8;28.5;Gwerder Guido;**;13;55.75;12;27.5;4;-1.0;8.5
-;12;37.0;Bienz Romeo;;19;54.25;12;37.0;0;0.0;8.75
o;15;45.75;Vogel Marcel;;14;55.5;16;45.5;1;-0.25;8.5

19i;Zanini David (2000);;;;;;;;;;54.25
-;;;Fischer Maurus (2001);;;;;;;;8.75
+;6;8.75;Giger Janik (2002);;14;55.5;7;8.5;1;-0.25;9.75
-;8;18.5;Fässler Dominic;**;34;34.75;12;17.25;4;-1.25;8.75
+;13;27.25;Marti Philipp (2002);;19;54.25;14;27.0;1;-0.25;9.75
-;12;37.0;Kammermann Thomas;*;21;53.75;15;36.25;3;-0.75;8.75
o;15;45.75;Kaufmann Reto (2002);;14;55.5;15;45.75;0;0.0;8.5

19j;Hodel Michael (2000);;;;;;;;;;54.25
o;;;Achermann Daniel;;;;;;;;8.5
-;7;8.5;Suter Raphael (2000);;20;54.0;6;8.75;-1;0.25;8.75
+;12;17.25;Bühler Ramon (2002);;37;34.0;13;17.0;1;-0.25;10.0
o;13;27.25;Zimmermann Daniel;*;18;54.5;17;26.25;4;-1.0;8.5
o;17;35.75;Vogel Laurin (2002);;20;54.0;17;35.75;0;0.0;8.75
+;20;44.5;Gloggner André (2001);;25;52.75;21;44.25;1;-0.25;9.75

19k;Hofmann Florian;**;;;;;;;;;54.25
+;;;Fässler Dominic;**;;;;;;;9.75
o;4;9.75;Amgarten Martin;*;10;56.5;4;9.75;0;0.0;8.5
+;9;18.25;Rohrer André;;19;54.25;7;18.75;-2;0.5;9.75
-;10;28.0;Gut Koni;;13;55.75;8;28.5;-2;0.5;8.75
o;13;36.75;Moos Christoph;*;15;55.25;13;36.75;0;0.0;8.5
-;17;45.25;Bühlmann Daniel (2000);;17;54.75;15;45.75;-2;0.5;9.0

19l;Rohrer André;;;;;;;;;;54.25
-;;;Fallegger Joel;;;;;;;;9.0
+;5;9.0;Burri Timo (2001);;33;35.25;7;8.5;2;-0.5;9.75
o;7;18.75;Hofmann Florian;**;19;54.25;9;18.25;2;-0.5;8.5
+;13;27.25;Theiler Thomas;;32;35.5;14;27.0;1;-0.25;9.75
-;12;37.0;Egli Adrian (2002);;20;54.0;13;36.75;1;-0.25;8.75
o;15;45.75;Bühler Kilian (2000);;12;56.0;14;46.0;-1;0.25;8.5

19m;Bucheli Dario (2001);;;;;;;;;;54.25
o;;;Ulrich Damian;;;;;;;;8.75
+;6;8.75;Bühler Ramon (2002);;37;34.0;7;8.5;1;-0.25;10.0
o;7;18.75;Zurﬂuh Michael;*;12;56.0;9;18.25;2;-0.5;8.5
o;13;27.25;Bühler Kilian (2000);;12;56.0;12;27.5;-1;0.25;8.5
+;17;35.75;Weber Roman;;24;53.0;17;35.75;0;0.0;10.0
o;15;45.75;Villiger Cyrill;*;28;46.0;14;46.0;-1;0.25;8.5

19n;Marti Philipp (2002);;;;;;;;;;54.25
o;;;Wicki Fabian (2001);;;;;;;;8.5
+;7;8.5;Elmiger Elias (2001);;36;34.25;7;8.5;0;0.0;10.0
o;8;18.5;Stadelmann Pius;*;18;54.5;12;17.25;4;-1.25;8.5
o;14;27.0;Zanini David (2000);;19;54.25;13;27.25;-1;0.25;8.75
o;17;35.75;Hurschler Adrian;;18;54.5;17;35.75;0;0.0;8.5
+;21;44.25;Ziegler Dominik;;25;52.75;21;44.25;0;0.0;10.0

19o;Grüter Marcel;;;;;;;;;;54.25
-;;;Meier Andreas;;;;;;;;9.0
o;5;9.0;Ming Christian 2;;14;55.5;7;8.5;2;-0.5;8.5
+;11;17.5;Hodel Iwan (2002);;37;34.0;13;17.0;2;-0.5;10.0
o;12;27.5;Bachmann Roger;*;15;55.25;16;26.5;4;-1.0;8.5
o;16;36.0;Fallegger Joel;;18;54.5;15;36.25;-1;0.25;8.5
+;20;44.5;Wyss Christian;;24;53.0;20;44.5;0;0.0;9.75

20a;Schuler Koni;;;;;;;;;;54.0
+;;;Zgraggen Peter;;;;;;;;10.0
+;3;10.0;Amrein Lukas;;21;53.75;4;9.75;1;-0.25;10.0
o;3;20.0;Bättig Martin;*;12;56.0;8;18.5;5;-1.5;8.5
o;8;28.5;Egli Damian;**;14;55.5;10;28.0;2;-0.5;8.5
o;12;37.0;Kurmann Jvo;;15;55.25;13;36.75;1;-0.25;8.5
o;16;45.5;Ming Christian 2;;14;55.5;16;45.5;0;0.0;8.5

20b;Fischer Markus (2000);;;;;;;;;;54.0
o;;;Kaufmann Reto (2002);;;;;;;;8.5
+;7;8.5;Waser David (2002);;22;53.5;7;8.5;0;0.0;10.0
+;8;18.5;Elmiger Elias (2001);;36;34.25;13;17.0;5;-1.5;10.0
o;8;28.5;Vogel Remo;**;10;56.5;9;28.25;1;-0.25;8.5
o;12;37.0;Baumann Roger;*;12;56.0;11;37.25;-1;0.25;8.5
o;16;45.5;Troxler Jonas (2000);;14;55.5;16;45.5;0;0.0;8.5

20c;Scherer Niklaus;*;;;;;;;;;54.0
o;;;Fassbind René;*;;;;;;;8.5
+;7;8.5;Müller Roger;*;14;55.5;7;8.5;0;0.0;9.75
+;9;18.25;Baumann Lukas;;13;55.75;7;18.75;-2;0.5;9.75
-;10;28.0;Doppmann Ueli;;18;54.5;8;28.5;-2;0.5;9.0
o;12;37.0;Steinauer Adrian;**;9;56.75;12;37.0;0;0.0;8.5
o;16;45.5;Bissig Fabian;;13;55.75;15;45.75;-1;0.25;8.5

20d;Suter Raphael (2000);;;;;;;;;;54.0
-;;;Odermatt Andreas;;;;;;;;8.75
