4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
+;11;37.25;Schnider Markus;*;19;54.25;11;37.25;0;0.0;9.75
+;10;47.0;Kurmann Jvo;;15;55.25;11;46.75;1;-0.25;10.0

9a;Lang Sven;*;;;;;;;;;56.75
-;;;Bürgi Reto;*;;;;;;;8.75
+;6;8.75;Imfeld Beat;;30;36.75;4;9.75;-2;1.0;9.75
o;8;18.5;von Ah Benji;***;26;47.75;8;18.5;0;0.0;8.5
+;14;27.0;Wyss Christian;;24;53.0;13;27.25;-1;0.25;9.75
+;13;36.75;Zimmermann Daniel;*;18;54.5;15;36.25;2;-0.5;10.0
+;11;46.75;Amgarten Roman;*;17;54.75;13;46.25;2;-0.5;10.0

9b;Zimmermann Martin;**;;;;;;;;;56.75
-;;;Doppmann Urs;*;;;;;;;8.75
-;6;8.75;Gerber Peter;*;13;55.75;7;8.5;1;-0.25;9.0
+;10;17.75;Wandeler Roman (2002);;18;54.5;8;18.5;-2;0.75;10.0
+;11;27.75;Scherrer Patrick;;30;36.75;9;28.25;-2;0.5;10.0
-;9;37.75;Hirsiger Alexander;*;16;55.0;10;37.5;1;-0.25;9.0
+;11;46.75;Kurmann Toni;*;16;55.0;13;46.25;2;-0.5;10.0

9c;Lussi Marco;*;;;;;;;;;56.75
-;;;Kurmann Toni;*;;;;;;;8.75
-;6;8.75;Stadelmann Pius;*;18;54.5;7;8.5;1;-0.25;8.75
+;11;17.5;Ziegler Manuel;;16;55.0;8;18.5;-3;1.0;9.75
+;13;27.25;Bieri Elias;;19;54.25;9;28.25;-4;1.0;9.75
+;12;37.0;Lemmenmeier Lukas;*;14;55.5;12;37.0;0;0.0;10.0
+;10;47.0;Wigger Simon;;15;55.25;11;46.75;1;-0.25;9.75

9d;Schmidiger Marco;*;;;;;;;;;56.75
+;;;Moos Christoph;*;;;;;;;9.75
o;4;9.75;Bieri Marcel;**;6;57.75;4;9.75;0;0.0;8.5
+;9;18.25;Bissig Fabian;;13;55.75;7;18.75;-2;0.5;10.0
-;9;28.25;Fassbind René;*;14;55.5;9;28.25;0;0.0;8.75
+;12;37.0;Gander Martin;;18;54.5;10;37.5;-2;0.5;10.0
+;10;47.0;Muff Armin;**;13;55.75;10;47.0;0;0.0;9.75

9e;Michel Jonas;*;;;;;;;;;56.75
+;;;Muff Armin;**;;;;;;;10.0
+;3;10.0;Thierstein Marco;*;8;57.0;4;9.75;1;-0.25;9.75
-;4;19.75;Schmid Simon (2000);*;11;56.25;7;18.75;3;-1.0;8.75
o;8;28.5;Fankhauser Erich;***;5;58.0;9;28.25;1;-0.25;8.5
+;12;37.0;Ming Christian 2;;14;55.5;12;37.0;0;0.0;10.0
+;10;47.0;Gisler Stefan;;16;55.0;12;46.5;2;-0.5;9.75

9f;Steinauer Adrian;**;;;;;;;;;56.75
o;;;Gloggner Reto;**;;;;;;;8.5
+;7;8.5;Felder Martin;*;17;54.75;7;8.5;0;0.0;9.75
+;9;18.25;Amrein Thomas;;22;53.5;7;18.75;-2;0.5;9.75
-;10;28.0;Müller Michael;**;10;56.5;8;28.5;-2;0.5;9.0
+;12;37.0;Scherer Niklaus;*;20;54.0;12;37.0;0;0.0;9.75
+;11;46.75;Bachmann Roger;*;15;55.25;12;46.5;1;-0.25;10.0

9g;Gwerder Michael (2000);*;;;;;;;;;56.75
-;;;Graber Michael;*;;;;;;;9.0
+;5;9.0;Troxler Jonas (2000);;14;55.5;3;10.0;-2;1.0;10.0
+;6;19.0;Wicki David;;18;54.5;3;20.0;-3;1.0;9.75
+;7;28.75;Fankhauser Reto;**;1;111.25;1;56.5;-6;27.75;9.75
o;6;38.5;Gloggner Philipp;***;6;57.75;7;38.25;1;-0.25;8.5
+;10;47.0;Barmet Sven;;14;55.5;10;47.0;0;0.0;9.75

9h;Heiniger Marco;*;;;;;;;;;56.75
-;;;Linggi Bruno;**;;;;;;;8.75
+;6;8.75;Reichmuth Roland;;17;54.75;3;10.0;-3;1.25;9.75
+;8;18.5;Durrer Robin;;14;55.5;3;20.0;-5;1.5;10.0
+;8;28.5;Bucher Roland;*;27;46.75;9;28.25;1;-0.25;9.75
-;7;38.25;Blaser Roman;*;12;56.0;8;38.0;1;-0.25;8.75
+;10;47.0;Wüthrich Philip;*;16;55.0;12;46.5;2;-0.5;9.75

9i;Fink Bruno;*;;;;;;;;;56.75
o;;;Wyrsch Marco;**;;;;;;;8.5
+;7;8.5;Achermann Simon;;13;55.75;3;10.0;-4;1.5;10.0
o;8;18.5;Ulrich Andreas;***;7;57.25;11;17.5;3;-1.0;8.5
+;14;27.0;Baumann Lukas;;13;55.75;12;27.5;-2;0.5;9.75
+;13;36.75;Gisler Jonas (2001);;18;54.5;11;37.25;-2;0.5;10.0
+;11;46.75;Moos Christoph;*;15;55.25;11;46.75;0;0.0;10.0

10a;Inderbitzin Daniel;*;;;;;;;;;56.5
+;;;Felder Martin;*;;;;;;;10.0
o;3;10.0;Suppiger Werner;**;8;57.0;6;8.75;3;-1.25;8.5
+;8;18.5;Wicki Kevin;;19;54.25;4;19.75;-4;1.25;9.75
+;9;28.25;Gloggner Reto;**;8;57.0;8;28.5;-1;0.25;10.0
o;7;38.25;Vogel Remo;**;10;56.5;7;38.25;0;0.0;8.5
+;11;46.75;Wyss Sven (2001);;14;55.5;10;47.0;-1;0.25;9.75

10b;Vogel Remo;**;;;;;;;;;56.5
+;;;Bucher Roland;*;;;;;;;10.0
+;3;10.0;Rohrer Ueli;*;11;56.25;4;9.75;1;-0.25;9.75
o;4;19.75;Bieri Marcel;**;6;57.75;4;19.75;0;0.0;8.5
+;9;28.25;Fischer Markus (2000);;20;54.0;8;28.5;-1;0.25;10.0
+;7;38.25;Inderbitzin Daniel;*;10;56.5;7;38.25;0;0.0;9.75
o;6;48.0;von Ah Benji;***;26;47.75;7;47.75;1;-0.25;8.5

10c;Müller Michael;**;;;;;;;;;56.5
-;;;Ulrich Andreas;***;;;;;;;8.75
+;6;8.75;Schürpf Bruno;*;12;56.0;3;10.0;-3;1.25;9.75
+;8;18.5;Zumstein Patrick;;27;46.75;4;19.75;-4;1.25;10.0
-;8;28.5;Steinauer Adrian;**;9;56.75;10;28.0;2;-0.5;9.0
-;10;37.5;Fankhauser Reto;*;1;111.25;1;75.25;-9;37.75;9.0
+;12;46.5;Fessler Linus;**;16;55.0;13;46.25;1;-0.25;10.0

10d;Reichmuth Armin;*;;;;;;;;;56.5
+;;;Portmann Josef;*;;;;;;;10.0
+;3;10.0;Scherrer Fabian (2002);;16;55.0;4;9.75;1;-0.25;10.0
-;3;20.0;Zurﬂuh Roman;**;10;56.5;4;19.75;1;-0.25;9.0
o;6;29.0;Suppiger Werner;**;8;57.0;7;28.75;1;-0.25;8.75
+;9;37.75;Thalmann Adrian;;2;91.25;2;73.0;-7;35.25;10.0
o;7;47.75;Fankhauser Erich;***;5;58.0;6;48.0;-1;0.25;8.75

10e;Zurﬂuh Roman;**;;;;;;;;;56.5
+;;;Wyss Kilian;**;;;;;;;9.75
+;4;9.75;Beffa Mario;;15;55.25;4;9.75;0;0.0;10.0
-;4;19.75;Reichmuth Armin;*;10;56.5;3;20.0;-1;0.25;9.0
-;7;28.75;Zurﬂuh Michael;*;12;56.0;9;28.25;2;-0.5;9.0
-;9;37.75;Rohrer Ueli;*;11;56.25;7;38.25;-2;0.5;9.0
+;11;46.75;Fellmann Simon;;15;55.25;12;46.5;1;-0.25;9.75

10f;Linggi Bruno;**;;;;;;;;;56.5
-;;;Heiniger Marco;*;;;;;;;8.75
+;6;8.75;Wyrsch Silvio;*;18;54.5;7;8.5;1;-0.25;10.0
+;7;18.75;Zürcher Ueli (2000);;12;56.0;3;20.0;-4;1.25;9.75
o;8;28.5;Fellmann Roman;*;7;57.25;8;28.5;0;0.0;8.5
+;12;37.0;Achermann Simon;;13;55.75;11;37.25;-1;0.25;9.75
+;11;46.75;Fankhauser Reto;**;1;111.25;1;93.75;-10;47.0;9.75

10g;Amgarten Martin;*;;;;;;;;;56.5
+;;;Stadelmann Pius;*;;;;;;;9.75
+;4;9.75;Hofmann Florian;**;19;54.25;4;9.75;0;0.0;10.0
o;4;19.75;Gloggner Philipp;***;6;57.75;8;18.5;4;-1.25;8.5
+;9;28.25;Wyss Sven (2001);;14;55.5;8;28.5;-1;0.25;9.75
o;8;38.0;Portmann Josef;*;10;56.5;7;38.25;-1;0.25;8.5
+;12;46.5;Scherrer Fabian (2002);;16;55.0;12;46.5;0;0.0;10.0

10h;Portmann Josef;*;;;;;;;;;56.5
o;;;Reichmuth Armin;*;;;;;;;8.5
+;7;8.5;Wyss Kilian;**;15;55.25;7;8.5;0;0.0;10.0
+;8;18.5;Lang Julian;;14;55.5;4;19.75;-4;1.25;9.75
+;9;28.25;Reichmuth Roland;;17;54.75;7;28.75;-2;0.5;10.0
+;7;38.25;Amgarten Martin;*;10;56.5;8;38.0;1;-0.25;9.75
o;6;48.0;Ulrich Andreas;***;7;57.25;8;47.5;2;-0.5;8.5

11a;Bernet Christoph;*;;;;;;;;;56.25
+;;;Villiger Cyrill;*;;;;;;;9.75
-;4;9.75;von Ah Benji;***;26;47.75;7;8.5;3;-1.25;8.75
o;8;18.5;Portmann Fabian;;27;46.75;3;20.0;-5;1.5;8.75
+;13;27.25;Bucher Sandro (2000);;29;45.0;10;28.0;-3;0.75;10.0
-;11;37.25;Bucher Roland;*;27;46.75;12;37.0;1;-0.25;9.0
+;13;46.25;Zumstein Patrick;;27;46.75;11;46.75;-2;0.5;10.0

11b;Arnold Fabian;*;;;;;;;;;56.25
+;;;Lemmenmeier Lukas;*;;;;;;;9.75
