1865-2015-06-14_Stoos-Schwinget-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;;;Roth Martin;*;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Krähenbühl Tobias;**;11;55.5;6;18.5;0;0.0;8.5
+;10;27.0;Rüegg Roman;*;23;35.25;11;26.75;1;-0.25;10.0
+;9;37.0;Stalder Remo;***;16;54.25;8;37.25;-1;0.25;10.0
o;7;47.0;Räbmatter Patrick;**;6;56.75;8;46.75;1;-0.25;8.5

11e;Rychen Roger;**;;;;;;;;;55.5
o;;;Müllestein Mike;**;;;;;;;8.5
+;5;8.5;Suter David;**;22;35.5;4;8.75;-1;0.25;10.0
+;6;18.5;Zurfluh Markus;**;23;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Fankhauser Erich;***;6;56.75;3;28.75;-1;0.25;8.5
o;9;37.0;Schelbert Ralf;*;11;55.5;8;37.25;-1;0.25;8.5
+;13;45.5;Suppiger Werner;**;18;53.5;15;45.0;2;-0.5;10.0

11f;Krähenbühl Tobias;**;;;;;;;;;55.5
o;;;Mathis Marcel;***;;;;;;;8.5
+;5;8.5;Zimmermann Daniel;*;21;52.75;4;8.75;-1;0.25;10.0
+;6;18.5;Murer Andy;*;11;55.5;6;18.5;0;0.0;10.0
o;4;28.5;Laimbacher Philipp;***;1;58.5;4;28.5;0;0.0;8.5
+;9;37.0;Kempf Elias;**;17;54.0;10;36.75;1;-0.25;10.0
o;7;47.0;Müllestein Mike;**;4;57.25;6;47.25;-1;0.25;8.5

12a;Egli Pirmin;*;;;;;;;;;55.25
+;;;Gassmann Fabian;**;;;;;;;9.75
+;2;9.75;Riget Tobias;**;20;53.0;3;9.0;1;-0.75;10.0
o;2;19.75;Grab Martin;***;2;58.25;3;19.5;1;-0.25;8.5
+;5;28.25;Kohler Fredi;**;14;54.75;6;28.0;1;-0.25;9.75
-;5;38.0;Burkhalter Stefan;***;8;56.25;7;37.5;2;-0.5;8.75
o;8;46.75;Zwyssig Raphael;***;5;57.0;7;47.0;-1;0.25;8.5

12b;Schneider Domenic;**;;;;;;;;;55.25
o;;;Fankhauser Erich;***;;;;;;;8.5
+;5;8.5;Egli Damian;**;25;34.75;4;8.75;-1;0.25;9.75
-;7;18.25;Betschart Rainer;**;15;54.5;5;18.75;-2;0.5;8.75
+;10;27.0;Ulrich Florian;*;15;54.5;8;27.5;-2;0.5;10.0
+;9;37.0;Suppiger Werner;**;18;53.5;11;36.5;2;-0.5;9.75
o;8;46.75;von Ah Benji;***;3;57.5;5;47.5;-3;0.75;8.5

12c;Nötzli Bruno;***;;;;;;;;;55.25
+;;;Kohler Fredi;**;;;;;;;9.75
o;2;9.75;Burkhalter Stefan;***;8;56.25;1;10.0;-1;0.25;8.5
-;7;18.25;Leuppi Samir;**;16;54.25;6;18.5;-1;0.25;8.75
+;10;27.0;Nägeli Marco;*;16;54.25;9;27.25;-1;0.25;9.75
o;10;36.75;Räbmatter Patrick;**;6;56.75;10;36.75;0;0.0;8.5
+;14;45.25;Stalder Remo;***;16;54.25;12;45.75;-2;0.5;10.0

12d;Odermatt Sepp;**;;;;;;;;;55.25
+;;;Vogel Beat;*;;;;;;;10.0
o;1;10.0;Müllestein Mike;**;4;57.25;2;9.75;1;-0.25;8.5
o;6;18.5;Laimbacher Adrian;***;7;56.5;8;17.75;2;-0.75;8.5
+;10;27.0;Alpiger Nick;**;24;35.0;13;26.25;3;-0.75;10.0
o;9;37.0;Bieri Christoph;***;7;56.5;11;36.5;2;-0.5;8.5
+;13;45.5;Leuppi Samir;**;16;54.25;12;45.75;-1;0.25;9.75

12e;Studinger Stephan;**;;;;;;;;;55.25
o;;;Gloggner Reto;**;;;;;;;8.5
+;5;8.5;Bättig Martin;*;18;53.5;4;8.75;-1;0.25;9.75
+;7;18.25;Kempf Elias;**;17;54.0;6;18.5;-1;0.25;9.75
o;6;28.0;Laimbacher Adrian;***;7;56.5;7;27.75;1;-0.25;8.5
-;11;36.5;Bieri Marcel;**;11;55.5;10;36.75;-1;0.25;8.75
+;14;45.25;Heinzer Stefan;*;19;53.25;16;44.75;2;-0.5;10.0

12f;Gasser Stefan;**;;;;;;;;;55.25
o;;;Kindlimann Fabian;***;;;;;;;8.5
+;5;8.5;Rüegg Fabian;;26;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;Riget Tobias;**;20;53.0;9;17.5;3;-1.0;8.5
+;10;27.0;Bühler Ernst;**;25;34.75;13;26.25;3;-0.75;9.75
o;10;36.75;Rhyner Michael;**;10;55.75;8;37.25;-2;0.5;8.5
+;14;45.25;Forster Adrian;**;21;52.75;18;44.25;4;-1.0;10.0

13a;Erb Roger;**;;;;;;;;;55.0
+;;;Bieri Marcel;**;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;7;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Ulrich Florian;*;15;54.5;5;18.75;-2;0.5;9.75
-;6;28.0;Höfliger Andreas;*;19;53.25;8;27.5;2;-0.5;8.75
o;10;36.75;Müllestein Mike;**;4;57.25;8;37.25;-2;0.5;8.5
+;14;45.25;Gwerder Carlo;**;21;52.75;18;44.25;4;-1.0;9.75

13b;Schneider Mario;**;;;;;;;;;55.0
o;;;Schurtenberger Sven;**;;;;;;;8.5
+;5;8.5;Omlin Toni;*;22;35.5;4;8.75;-1;0.25;9.75
o;7;18.25;Laimbacher Philipp;***;1;58.5;6;18.5;-1;0.25;8.5
+;11;26.75;Zurfluh Markus;**;23;35.25;11;26.75;0;0.0;9.75
+;11;36.5;Gwerder Carlo;**;21;52.75;14;35.75;3;-0.75;10.0
o;9;46.5;Fankhauser Erich;***;6;56.75;7;47.0;-2;0.5;8.5

14a;Blatter Lorenz;*;;;;;;;;;54.75
-;;;Egli Damian;**;;;;;;;8.75
-;4;8.75;Lüönd Andreas;**;26;34.5;5;8.5;1;-0.25;8.75
o;9;17.5;Gwerder Carlo;**;21;52.75;9;17.5;0;0.0;8.5
+;14;26.0;Scherer Christian;*;27;34.25;15;25.75;1;-0.25;10.0
-;13;36.0;Betschart Remo;**;14;54.75;13;36.0;0;0.0;8.75
+;16;44.75;Höfliger Andreas;*;19;53.25;16;44.75;0;0.0;10.0

14b;Scheuber Lutz;**;;;;;;;;;54.75
-;;;Riget Tobias;**;;;;;;;9.0
+;3;9.0;Fässler Dominic;*;22;35.5;1;10.0;-2;1.0;10.0
-;4;19.0;Kindlimann Fabian;***;9;56.0;6;18.5;2;-0.5;8.75
+;7;27.75;Bieri Marcel;**;11;55.5;5;28.25;-2;0.5;10.0
o;6;37.75;Zwyssig Raphael;***;5;57.0;8;37.25;2;-0.5;8.5
o;10;46.25;Bieri Christoph;***;7;56.5;9;46.5;-1;0.25;8.5

14c;Betschart Remo;**;;;;;;;;;54.75
-;;;Alpiger Nick;**;;;;;;;9.0
+;3;9.0;Stüdeli Thomas;**;16;54.25;4;8.75;1;-0.25;9.75
o;5;18.75;von Ah Benji;***;3;57.5;5;18.75;0;0.0;8.5
-;9;27.25;Kocher Remo;**;16;54.25;10;27.0;1;-0.25;8.75
-;13;36.0;Blatter Lorenz;*;14;54.75;13;36.0;0;0.0;8.75
+;16;44.75;Steiner Michael;**;19;53.25;16;44.75;0;0.0;10.0

14d;Kohler Fredi;**;;;;;;;;;54.75
o;;;Nötzli Bruno;***;;;;;;;8.5
